date,spy_open,spy_high,spy_low,spy_close,spy_close_prev_day,spy_volume,expiration_date,atm_strike,atm_call_ticker,atm_call_open,atm_call_high,atm_call_low,atm_call_close,atm_call_volume,atm_call_vwap,atm_put_ticker,atm_put_open,atm_put_high,atm_put_low,atm_put_close,atm_put_volume,atm_put_vwap,plus_1_strike,plus_1_call_ticker,plus_1_call_open,plus_1_call_high,plus_1_call_low,plus_1_call_close,plus_1_call_volume,plus_1_call_vwap,plus_1_put_ticker,plus_1_put_open,plus_1_put_high,plus_1_put_low,plus_1_put_close,plus_1_put_volume,plus_1_put_vwap,plus_2_strike,plus_2_call_ticker,plus_2_call_open,plus_2_call_high,plus_2_call_low,plus_2_call_close,plus_2_call_volume,plus_2_call_vwap,plus_2_put_ticker,plus_2_put_open,plus_2_put_high,plus_2_put_low,plus_2_put_close,plus_2_put_volume,plus_2_put_vwap,plus_3_strike,plus_3_call_ticker,plus_3_call_open,plus_3_call_high,plus_3_call_low,plus_3_call_close,plus_3_call_volume,plus_3_call_vwap,plus_3_put_ticker,plus_3_put_open,plus_3_put_high,plus_3_put_low,plus_3_put_close,plus_3_put_volume,plus_3_put_vwap,minus_1_strike,minus_1_call_ticker,minus_1_call_open,minus_1_call_high,minus_1_call_low,minus_1_call_close,minus_1_call_volume,minus_1_call_vwap,minus_1_put_ticker,minus_1_put_open,minus_1_put_high,minus_1_put_low,minus_1_put_close,minus_1_put_volume,minus_1_put_vwap,minus_2_strike,minus_2_call_ticker,minus_2_call_open,minus_2_call_high,minus_2_call_low,minus_2_call_close,minus_2_call_volume,minus_2_call_vwap,minus_2_put_ticker,minus_2_put_open,minus_2_put_high,minus_2_put_low,minus_2_put_close,minus_2_put_volume,minus_2_put_vwap
2024-12-31,589.905,590.6399,584.42,586.08,588.22,57052654.0,2024-12-31,588,O:SPY241231C00588000,3.0,3.68,0.01,0.01,285592,0.8642,O:SPY241231P00588000,1.3,3.62,0.83,1.56,196916,1.7124,589,O:SPY241231C00589000,2.58,3.02,0.01,0.01,243838,1.0214,O:SPY241231P00589000,1.67,4.6,1.13,2.6,130013,1.96,590,O:SPY241231C00590000,1.98,2.43,0.01,0.01,346162,0.8783,O:SPY241231P00590000,2.16,5.55,1.53,3.62,102620,2.4672,591,O:SPY241231C00591000,1.56,1.91,0.01,0.01,223941,0.7943,O:SPY241231P00591000,2.6,6.51,1.98,4.52,16078,3.1804,587,O:SPY241231C00587000,3.87,4.41,0.01,0.01,267041,0.9555,O:SPY241231P00587000,1.0,2.8,0.5,0.63,266984,1.332,586,O:SPY241231C00586000,4.62,5.2,0.17,0.39,226714,1.0956,O:SPY241231P00586000,0.73,2.04,0.02,0.03,327059,1.0635
2025-01-02,589.39,591.13,580.5,584.64,586.08,50079975.0,2025-01-02,586,O:SPY250102C00586000,4.14,5.39,0.01,0.03,176158,0.7455,O:SPY250102P00586000,0.83,5.55,0.3,0.86,209496,1.17,587,O:SPY250102C00587000,3.06,4.56,0.01,0.01,248151,0.9669,O:SPY250102P00587000,1.11,6.3,0.42,2.18,219784,1.4299,588,O:SPY250102C00588000,2.55,3.71,0.01,0.01,323729,0.8774,O:SPY250102P00588000,1.4,7.27,0.59,3.08,159853,1.6819,589,O:SPY250102C00589000,1.88,2.95,0.01,0.01,268604,0.8126,O:SPY250102P00589000,1.71,8.41,0.83,4.12,81845,1.8562,585,O:SPY250102C00585000,4.83,6.24,0.06,0.27,207675,0.721,O:SPY250102P00585000,0.63,4.58,0.18,0.18,229342,0.9775,584,O:SPY250102C00584000,5.52,7.01,0.26,1.01,182292,0.8078,O:SPY250102P00584000,0.45,3.75,0.01,0.02,206059,0.8623
2025-01-03,587.53,592.6,586.43,591.95,584.64,37868659.0,2025-01-03,585,O:SPY250103C00585000,3.47,7.5,2.58,6.68,13926,4.5068,O:SPY250103P00585000,0.98,1.14,0.01,0.01,203749,0.4348,586,O:SPY250103C00586000,2.78,6.53,1.94,5.6,19500,3.3466,O:SPY250103P00586000,1.24,1.51,0.01,0.01,153431,0.5855,587,O:SPY250103C00587000,2.16,5.55,1.4,4.61,39383,2.4553,O:SPY250103P00587000,1.66,1.97,0.01,0.01,174331,0.78,588,O:SPY250103C00588000,1.63,4.55,0.97,3.67,146155,1.9284,O:SPY250103P00588000,2.12,2.54,0.01,0.01,299428,0.8176,584,O:SPY250103C00584000,4.23,8.5,3.27,7.78,6220,5.2027,O:SPY250103P00584000,0.7,0.86,0.01,0.01,106069,0.3254,583,O:SPY250103C00583000,5.04,9.53,4.07,8.63,4579,6.0792,O:SPY250103P00583000,0.54,0.64,0.01,0.01,78346,0.2412
2025-01-06,596.27,599.7,593.6,595.36,591.95,47123442.0,2025-01-06,592,O:SPY250106C00592000,4.56,7.73,1.75,3.42,10519,4.6804,O:SPY250106P00592000,0.34,0.49,0.01,0.01,145173,0.0867,593,O:SPY250106C00593000,3.77,6.7,0.86,2.87,15998,3.6062,O:SPY250106P00593000,0.3,0.57,0.01,0.01,229286,0.1499,594,O:SPY250106C00594000,2.88,5.7,0.25,1.86,60641,1.5294,O:SPY250106P00594000,0.75,0.78,0.01,0.01,295491,0.2394,595,O:SPY250106C00595000,2.15,4.76,0.05,0.77,175383,0.8655,O:SPY250106P00595000,0.9,2.54,0.01,0.01,437214,0.4402,591,O:SPY250106C00591000,5.38,8.66,3.05,4.68,4459,6.2463,O:SPY250106P00591000,0.25,0.3,0.01,0.01,119536,0.062,590,O:SPY250106C00590000,6.3,9.65,3.62,5.75,8133,7.1239,O:SPY250106P00590000,0.19,0.22,0.01,0.01,82690,0.0582
2025-01-07,597.42,597.75,586.78,588.63,595.36,60205552.0,2025-01-07,595,O:SPY250107C00595000,3.29,3.78,0.01,0.01,226831,0.5363,O:SPY250107P00595000,0.58,8.16,0.58,6.03,125441,1.8221,596,O:SPY250107C00596000,2.38,2.56,0.01,0.01,180100,0.57,O:SPY250107P00596000,0.91,9.19,0.82,7.1,94704,1.709,597,O:SPY250107C00597000,1.65,1.87,0.01,0.01,203813,0.6016,O:SPY250107P00597000,1.26,9.65,1.15,8.0,72329,2.0129,598,O:SPY250107C00598000,1.29,1.31,0.01,0.01,258177,0.3604,O:SPY250107P00598000,1.59,10.13,1.59,9.04,15619,2.5819,594,O:SPY250107C00594000,3.87,4.2,0.01,0.01,306098,0.6544,O:SPY250107P00594000,0.44,7.17,0.39,5.34,131644,1.5947,593,O:SPY250107C00593000,4.76,5.19,0.01,0.01,327027,0.8209,O:SPY250107P00593000,0.29,6.14,0.24,4.0,206826,1.4293
2025-01-08,588.7,590.5799,585.195,589.49,588.63,47222672.0,2025-01-08,589,O:SPY250108C00589000,1.52,2.07,0.23,0.36,482449,0.9468,O:SPY250108P00589000,2.36,4.04,0.02,0.05,229962,1.2507,590,O:SPY250108C00590000,1.5,1.55,0.01,0.01,484723,0.587,O:SPY250108P00590000,2.69,4.89,0.23,0.7,82607,1.8639,591,O:SPY250108C00591000,1.07,1.18,0.01,0.01,275572,0.3802,O:SPY250108P00591000,3.44,5.83,1.1,1.71,17715,2.9432,592,O:SPY250108C00592000,0.8,0.8,0.01,0.01,192429,0.2396,O:SPY250108P00592000,4.14,6.8,1.83,2.65,6577,3.9278,588,O:SPY250108C00588000,2.68,2.73,0.45,1.4,321149,1.3981,O:SPY250108P00588000,2.35,3.25,0.01,0.01,453560,1.1734,587,O:SPY250108C00587000,2.98,3.69,0.73,2.78,165517,1.7542,O:SPY250108P00587000,1.23,2.5,0.01,0.01,398285,1.0824
2025-01-10,585.88,585.95,578.55,580.49,589.49,73060046.0,2025-01-10,589,O:SPY250110C00589000,0.83,0.86,0.01,0.01,84918,0.1738,O:SPY250110P00589000,4.01,10.22,3.7,8.23,5612,6.9118,590,O:SPY250110C00590000,0.58,0.61,0.01,0.01,111472,0.1639,O:SPY250110P00590000,4.71,11.42,4.6,10.03,7628,8.251,591,O:SPY250110C00591000,0.4,0.43,0.01,0.01,35751,0.1335,O:SPY250110P00591000,5.65,12.29,5.59,11.0,2148,9.5618,592,O:SPY250110C00592000,0.28,0.39,0.01,0.01,25180,0.0926,O:SPY250110P00592000,6.5,13.78,6.5,11.85,2189,10.3414,588,O:SPY250110C00588000,1.18,1.19,0.01,0.01,120300,0.1989,O:SPY250110P00588000,3.31,9.4,2.97,7.79,10567,5.6431,587,O:SPY250110C00587000,1.59,1.74,0.01,0.01,202894,0.2511,O:SPY250110P00587000,2.68,8.44,2.68,6.86,11608,4.736
2025-01-13,575.77,581.75,575.35,581.39,580.49,47770060.0,2025-01-13,580,O:SPY250113C00580000,0.63,2.15,0.17,1.72,505821,0.7197,O:SPY250113P00580000,4.71,5.09,0.01,0.01,278297,1.078,581,O:SPY250113C00581000,0.44,0.9,0.1,0.76,307708,0.4128,O:SPY250113P00581000,5.53,5.86,0.01,0.01,85572,1.3455,582,O:SPY250113C00582000,0.29,0.54,0.01,0.05,212253,0.2089,O:SPY250113P00582000,6.43,6.78,0.28,0.29,11678,2.2543,583,O:SPY250113C00583000,0.2,0.35,0.01,0.01,187457,0.1029,O:SPY250113P00583000,7.28,7.72,1.0,1.0,5634,4.0826,579,O:SPY250113C00579000,0.89,3.16,0.3,2.71,465301,1.1359,O:SPY250113P00579000,4.0,4.28,0.01,0.01,271341,1.0171,578,O:SPY250113C00578000,1.17,4.03,0.51,3.7,363507,1.3871,O:SPY250113P00578000,3.33,3.55,0.01,0.01,368387,1.0835
2025-01-14,584.36,585.0,578.35,582.19,581.39,48377580.0,2025-01-14,581,O:SPY250114C00581000,4.05,4.53,0.11,1.99,253488,1.1017,O:SPY250114P00581000,0.85,3.05,0.01,0.01,257144,0.9477,582,O:SPY250114C00582000,3.45,3.79,0.03,0.94,331976,0.9197,O:SPY250114P00582000,1.22,3.77,0.01,0.01,252561,1.1294,583,O:SPY250114C00583000,2.82,3.06,0.01,0.1,395033,0.8552,O:SPY250114P00583000,1.53,4.7,0.07,0.1,253048,1.3445,584,O:SPY250114C00584000,2.25,2.41,0.01,0.01,413695,0.7543,O:SPY250114P00584000,1.88,5.67,0.85,1.03,122429,1.8913,580,O:SPY250114C00580000,5.16,5.4,0.38,2.73,231163,1.406,O:SPY250114P00580000,0.68,2.33,0.01,0.01,373649,0.743,579,O:SPY250114C00579000,6.0,6.25,0.9,3.96,74719,1.853,O:SPY250114P00579000,0.49,1.73,0.01,0.01,293335,0.5742
2025-01-15,590.325,593.94,589.195,592.78,582.19,56885159.0,2025-01-15,582,O:SPY250115C00582000,8.49,12.01,7.55,10.58,4857,10.0883,O:SPY250115P00582000,0.25,0.32,0.01,0.01,63041,0.085,583,O:SPY250115C00583000,7.54,10.81,6.63,9.71,7418,8.4069,O:SPY250115P00583000,0.3,0.42,0.01,0.01,46027,0.1206,584,O:SPY250115C00584000,6.68,9.89,5.8,8.68,4986,7.516,O:SPY250115P00584000,0.38,0.56,0.01,0.01,56893,0.158,585,O:SPY250115C00585000,5.73,9.07,4.82,7.6,9934,6.6924,O:SPY250115P00585000,0.5,0.73,0.01,0.01,122985,0.2106,581,O:SPY250115C00581000,9.38,12.82,8.46,11.69,9329,10.3614,O:SPY250115P00581000,0.22,0.24,0.01,0.01,59945,0.0661,580,O:SPY250115C00580000,10.07,13.79,9.19,12.18,5639,11.5459,O:SPY250115P00580000,0.13,0.18,0.01,0.01,62205,0.0606
