date,spy_open,spy_high,spy_low,spy_close,spy_close_prev_day,spy_volume,expiration_date,minus_2_strike,minus_1_strike,atm_strike,plus_1_strike,plus_2_strike,plus_3_strike,minus_2_call_ticker,minus_1_call_ticker,atm_call_ticker,plus_1_call_ticker,plus_2_call_ticker,plus_3_call_ticker,minus_2_call_open,minus_1_call_open,atm_call_open,plus_1_call_open,plus_2_call_open,plus_3_call_open,minus_2_call_high,minus_1_call_high,atm_call_high,plus_1_call_high,plus_2_call_high,plus_3_call_high,minus_2_call_low,minus_1_call_low,atm_call_low,plus_1_call_low,plus_2_call_low,plus_3_call_low,minus_2_call_close,minus_1_call_close,atm_call_close,plus_1_call_close,plus_2_call_close,plus_3_call_close,minus_2_call_volume,minus_1_call_volume,atm_call_volume,plus_1_call_volume,plus_2_call_volume,plus_3_call_volume,minus_2_call_vwap,minus_1_call_vwap,atm_call_vwap,plus_1_call_vwap,plus_2_call_vwap,plus_3_call_vwap,minus_2_put_ticker,minus_1_put_ticker,atm_put_ticker,plus_1_put_ticker,plus_2_put_ticker,plus_3_put_ticker,minus_2_put_open,minus_1_put_open,atm_put_open,plus_1_put_open,plus_2_put_open,plus_3_put_open,minus_2_put_high,minus_1_put_high,atm_put_high,plus_1_put_high,plus_2_put_high,plus_3_put_high,minus_2_put_low,minus_1_put_low,atm_put_low,plus_1_put_low,plus_2_put_low,plus_3_put_low,minus_2_put_close,minus_1_put_close,atm_put_close,plus_1_put_close,plus_2_put_close,plus_3_put_close,minus_2_put_volume,minus_1_put_volume,atm_put_volume,plus_1_put_volume,plus_2_put_volume,plus_3_put_volume,minus_2_put_vwap,minus_1_put_vwap,atm_put_vwap,plus_1_put_vwap,plus_2_put_vwap,plus_3_put_vwap
2024-12-31,589.905,590.6399,584.42,586.08,588.22,57052654.0,2024-12-31,586,587,588,589,590,591,O:SPY241231C00586000,O:SPY241231C00587000,O:SPY241231C00588000,O:SPY241231C00589000,O:SPY241231C00590000,O:SPY241231C00591000,4.62,3.87,3.0,2.58,1.98,1.56,5.2,4.41,3.68,3.02,2.43,1.91,0.17,0.01,0.01,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,226714,267041,285592,243838,346162,223941,1.0956,0.9555,0.8642,1.0214,0.8783,0.7943,O:SPY241231P00586000,O:SPY241231P00587000,O:SPY241231P00588000,O:SPY241231P00589000,O:SPY241231P00590000,O:SPY241231P00591000,0.73,1.0,1.3,1.67,2.16,2.6,2.04,2.8,3.62,4.6,5.55,6.51,0.02,0.5,0.83,1.13,1.53,1.98,0.03,0.63,1.56,2.6,3.62,4.52,327059,266984,196916,130013,102620,16078,1.0635,1.332,1.7124,1.96,2.4672,3.1804
2025-01-02,589.39,591.13,580.5,584.64,586.08,50079975.0,2025-01-02,584,585,586,587,588,589,O:SPY250102C00584000,O:SPY250102C00585000,O:SPY250102C00586000,O:SPY250102C00587000,O:SPY250102C00588000,O:SPY250102C00589000,5.52,4.83,4.14,3.06,2.55,1.88,7.01,6.24,5.39,4.56,3.71,2.95,0.26,0.06,0.01,0.01,0.01,0.01,1.01,0.27,0.03,0.01,0.01,0.01,182292,207675,176158,248151,323729,268604,0.8078,0.721,0.7455,0.9669,0.8774,0.8126,O:SPY250102P00584000,O:SPY250102P00585000,O:SPY250102P00586000,O:SPY250102P00587000,O:SPY250102P00588000,O:SPY250102P00589000,0.45,0.63,0.83,1.11,1.4,1.71,3.75,4.58,5.55,6.3,7.27,8.41,0.01,0.18,0.3,0.42,0.59,0.83,0.02,0.18,0.86,2.18,3.08,4.12,206059,229342,209496,219784,159853,81845,0.8623,0.9775,1.17,1.4299,1.6819,1.8562
2025-01-03,587.53,592.6,586.43,591.95,584.64,37868659.0,2025-01-03,583,584,585,586,587,588,O:SPY250103C00583000,O:SPY250103C00584000,O:SPY250103C00585000,O:SPY250103C00586000,O:SPY250103C00587000,O:SPY250103C00588000,5.04,4.23,3.47,2.78,2.16,1.63,9.53,8.5,7.5,6.53,5.55,4.55,4.07,3.27,2.58,1.94,1.4,0.97,8.63,7.78,6.68,5.6,4.61,3.67,4579,6220,13926,19500,39383,146155,6.0792,5.2027,4.5068,3.3466,2.4553,1.9284,O:SPY250103P00583000,O:SPY250103P00584000,O:SPY250103P00585000,O:SPY250103P00586000,O:SPY250103P00587000,O:SPY250103P00588000,0.54,0.7,0.98,1.24,1.66,2.12,0.64,0.86,1.14,1.51,1.97,2.54,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,78346,106069,203749,153431,174331,299428,0.2412,0.3254,0.4348,0.5855,0.78,0.8176
2025-01-06,596.27,599.7,593.6,595.36,591.95,47123442.0,2025-01-06,590,591,592,593,594,595,O:SPY250106C00590000,O:SPY250106C00591000,O:SPY250106C00592000,O:SPY250106C00593000,O:SPY250106C00594000,O:SPY250106C00595000,6.3,5.38,4.56,3.77,2.88,2.15,9.65,8.66,7.73,6.7,5.7,4.76,3.62,3.05,1.75,0.86,0.25,0.05,5.75,4.68,3.42,2.87,1.86,0.77,8133,4459,10519,15998,60641,175383,7.1239,6.2463,4.6804,3.6062,1.5294,0.8655,O:SPY250106P00590000,O:SPY250106P00591000,O:SPY250106P00592000,O:SPY250106P00593000,O:SPY250106P00594000,O:SPY250106P00595000,0.19,0.25,0.34,0.3,0.75,0.9,0.22,0.3,0.49,0.57,0.78,2.54,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,82690,119536,145173,229286,295491,437214,0.0582,0.062,0.0867,0.1499,0.2394,0.4402
2025-01-07,597.42,597.75,586.78,588.63,595.36,60205552.0,2025-01-07,593,594,595,596,597,598,O:SPY250107C00593000,O:SPY250107C00594000,O:SPY250107C00595000,O:SPY250107C00596000,O:SPY250107C00597000,O:SPY250107C00598000,4.76,3.87,3.29,2.38,1.65,1.29,5.19,4.2,3.78,2.56,1.87,1.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,327027,306098,226831,180100,203813,258177,0.8209,0.6544,0.5363,0.57,0.6016,0.3604,O:SPY250107P00593000,O:SPY250107P00594000,O:SPY250107P00595000,O:SPY250107P00596000,O:SPY250107P00597000,O:SPY250107P00598000,0.29,0.44,0.58,0.91,1.26,1.59,6.14,7.17,8.16,9.19,9.65,10.13,0.24,0.39,0.58,0.82,1.15,1.59,4.0,5.34,6.03,7.1,8.0,9.04,206826,131644,125441,94704,72329,15619,1.4293,1.5947,1.8221,1.709,2.0129,2.5819
2025-01-08,588.7,590.5799,585.195,589.49,588.63,47222672.0,2025-01-08,587,588,589,590,591,592,O:SPY250108C00587000,O:SPY250108C00588000,O:SPY250108C00589000,O:SPY250108C00590000,O:SPY250108C00591000,O:SPY250108C00592000,2.98,2.68,1.52,1.5,1.07,0.8,3.69,2.73,2.07,1.55,1.18,0.8,0.73,0.45,0.23,0.01,0.01,0.01,2.78,1.4,0.36,0.01,0.01,0.01,165517,321149,482449,484723,275572,192429,1.7542,1.3981,0.9468,0.587,0.3802,0.2396,O:SPY250108P00587000,O:SPY250108P00588000,O:SPY250108P00589000,O:SPY250108P00590000,O:SPY250108P00591000,O:SPY250108P00592000,1.23,2.35,2.36,2.69,3.44,4.14,2.5,3.25,4.04,4.89,5.83,6.8,0.01,0.01,0.02,0.23,1.1,1.83,0.01,0.01,0.05,0.7,1.71,2.65,398285,453560,229962,82607,17715,6577,1.0824,1.1734,1.2507,1.8639,2.9432,3.9278
2025-01-10,585.88,585.95,578.55,580.49,589.49,73060046.0,2025-01-10,587,588,589,590,591,592,O:SPY250110C00587000,O:SPY250110C00588000,O:SPY250110C00589000,O:SPY250110C00590000,O:SPY250110C00591000,O:SPY250110C00592000,1.59,1.18,0.83,0.58,0.4,0.28,1.74,1.19,0.86,0.61,0.43,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,202894,120300,84918,111472,35751,25180,0.2511,0.1989,0.1738,0.1639,0.1335,0.0926,O:SPY250110P00587000,O:SPY250110P00588000,O:SPY250110P00589000,O:SPY250110P00590000,O:SPY250110P00591000,O:SPY250110P00592000,2.68,3.31,4.01,4.71,5.65,6.5,8.44,9.4,10.22,11.42,12.29,13.78,2.68,2.97,3.7,4.6,5.59,6.5,6.86,7.79,8.23,10.03,11.0,11.85,11608,10567,5612,7628,2148,2189,4.736,5.6431,6.9118,8.251,9.5618,10.3414
2025-01-13,575.77,581.75,575.35,581.39,580.49,47770060.0,2025-01-13,578,579,580,581,582,583,O:SPY250113C00578000,O:SPY250113C00579000,O:SPY250113C00580000,O:SPY250113C00581000,O:SPY250113C00582000,O:SPY250113C00583000,1.17,0.89,0.63,0.44,0.29,0.2,4.03,3.16,2.15,0.9,0.54,0.35,0.51,0.3,0.17,0.1,0.01,0.01,3.7,2.71,1.72,0.76,0.05,0.01,363507,465301,505821,307708,212253,187457,1.3871,1.1359,0.7197,0.4128,0.2089,0.1029,O:SPY250113P00578000,O:SPY250113P00579000,O:SPY250113P00580000,O:SPY250113P00581000,O:SPY250113P00582000,O:SPY250113P00583000,3.33,4.0,4.71,5.53,6.43,7.28,3.55,4.28,5.09,5.86,6.78,7.72,0.01,0.01,0.01,0.01,0.28,1.0,0.01,0.01,0.01,0.01,0.29,1.0,368387,271341,278297,85572,11678,5634,1.0835,1.0171,1.078,1.3455,2.2543,4.0826
2025-01-14,584.36,585.0,578.35,582.19,581.39,48377580.0,2025-01-14,579,580,581,582,583,584,O:SPY250114C00579000,O:SPY250114C00580000,O:SPY250114C00581000,O:SPY250114C00582000,O:SPY250114C00583000,O:SPY250114C00584000,6.0,5.16,4.05,3.45,2.82,2.25,6.25,5.4,4.53,3.79,3.06,2.41,0.9,0.38,0.11,0.03,0.01,0.01,3.96,2.73,1.99,0.94,0.1,0.01,74719,231163,253488,331976,395033,413695,1.853,1.406,1.1017,0.9197,0.8552,0.7543,O:SPY250114P00579000,O:SPY250114P00580000,O:SPY250114P00581000,O:SPY250114P00582000,O:SPY250114P00583000,O:SPY250114P00584000,0.49,0.68,0.85,1.22,1.53,1.88,1.73,2.33,3.05,3.77,4.7,5.67,0.01,0.01,0.01,0.01,0.07,0.85,0.01,0.01,0.01,0.01,0.1,1.03,293335,373649,257144,252561,253048,122429,0.5742,0.743,0.9477,1.1294,1.3445,1.8913
2025-01-15,590.325,593.94,589.195,592.78,582.19,56885159.0,2025-01-15,580,581,582,583,584,585,O:SPY250115C00580000,O:SPY250115C00581000,O:SPY250115C00582000,O:SPY250115C00583000,O:SPY250115C00584000,O:SPY250115C00585000,10.07,9.38,8.49,7.54,6.68,5.73,13.79,12.82,12.01,10.81,9.89,9.07,9.19,8.46,7.55,6.63,5.8,4.82,12.18,11.69,10.58,9.71,8.68,7.6,5639,9329,4857,7418,4986,9934,11.5459,10.3614,10.0883,8.4069,7.516,6.6924,O:SPY250115P00580000,O:SPY250115P00581000,O:SPY250115P00582000,O:SPY250115P00583000,O:SPY250115P00584000,O:SPY250115P00585000,0.13,0.22,0.25,0.3,0.38,0.5,0.18,0.24,0.32,0.42,0.56,0.73,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,62205,59945,63041,46027,56893,122985,0.0606,0.0661,0.085,0.1206,0.158,0.2106
