date,ticker,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,day_change,day_change_percent,day_close,day_high,day_low,day_open,day_previous_close,day_volume,day_vwap,day_last_updated,delta,gamma,theta,vega,implied_volatility,break_even_price,open_interest,underlying_ticker,underlying_price,underlying_change_to_break_even,underlying_last_updated,underlying_timeframe
2025-08-18,O:SPY250829C00645000,call,american,2025-08-29,100,645.0,-4.52,-97.0,0.14,3.18,0.03,2.98,4.66,653172.0,0.6829,1.75644e+18,,,,,20.0,,16147,SPY,,,,
2025-08-22,O:SPY250829C00645000,call,american,2025-08-29,100,645.0,-4.52,-97.0,0.14,3.18,0.03,2.98,4.66,653172.0,0.6829,1.75644e+18,,,,,20.0,,16147,SPY,,,,
2025-08-20,O:SPY250829C00645000,call,american,2025-08-29,100,645.0,-4.52,-97.0,0.14,3.18,0.03,2.98,4.66,653172.0,0.6829,1.75644e+18,,,,,20.0,,16147,SPY,,,,
2025-08-25,O:SPY250829C00645000,call,american,2025-08-29,100,645.0,-4.52,-97.0,0.14,3.18,0.03,2.98,4.66,653172.0,0.6829,1.75644e+18,,,,,20.0,,16147,SPY,,,,
2025-08-26,O:SPY250829C00645000,call,american,2025-08-29,100,645.0,-4.52,-97.0,0.14,3.18,0.03,2.98,4.66,653172.0,0.6829,1.75644e+18,,,,,20.0,,16147,SPY,,,,
2025-08-21,O:SPY250829C00645000,call,american,2025-08-29,100,645.0,-4.52,-97.0,0.14,3.18,0.03,2.98,4.66,653172.0,0.6829,1.75644e+18,,,,,20.0,,16147,SPY,,,,
2025-08-19,O:SPY250829C00645000,call,american,2025-08-29,100,645.0,-4.52,-97.0,0.14,3.18,0.03,2.98,4.66,653172.0,0.6829,1.75644e+18,,,,,20.0,,16147,SPY,,,,
2025-08-26,O:SPY250829P00644000,put,american,2025-08-29,100,644.0,-0.33,-94.3,0.02,1.72,0.02,0.31,0.35,392448.0,0.743,1.75644e+18,,,,,20.0,,15854,SPY,,,,
2025-08-22,O:SPY250829P00644000,put,american,2025-08-29,100,644.0,-0.33,-94.3,0.02,1.72,0.02,0.31,0.35,392448.0,0.743,1.75644e+18,,,,,20.0,,15854,SPY,,,,
2025-08-20,O:SPY250829P00644000,put,american,2025-08-29,100,644.0,-0.33,-94.3,0.02,1.72,0.02,0.31,0.35,392448.0,0.743,1.75644e+18,,,,,20.0,,15854,SPY,,,,
