pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,144,158,156,152,152
NNNNP,204,183,184,201,202
NNNPN,209,187,194,198,201
NNNPP,242,238,239,219,238
NNPNN,192,204,192,197,191
NNPNP,226,240,243,224,243
NNPPN,222,220,243,209,197
NNPPP,308,301,281,312,273
NPNNN,201,214,208,186,200
NPNNP,238,224,210,227,232
NPNPN,245,224,249,249,250
NPNPP,283,297,294,276,309
NPPNN,220,229,219,235,233
NPPNP,273,303,309,283,266
NPPPN,292,294,269,300,306
NPPPP,455,464,436,445,467
PNNNN,197,182,197,202,196
PNNNP,221,250,233,238,249
PNNPN,235,248,227,236,217
PNNPP,279,286,282,251,292
PNPNN,246,214,221,235,248
PNPNP,295,303,282,335,285
PNPPN,310,308,275,290,296
PNPPP,450,404,464,461,474
PPNNN,231,216,232,259,218
PPNNP,296,285,277,282,282
PPNPN,272,279,321,284,291
PPNPP,429,442,457,494,451
PPPNN,281,280,322,265,294
PPPNP,448,475,469,459,435
PPPPN,463,497,455,429,423
PPPPP,1393,1350,1359,1366,1388
