pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,1388,135.2871,0.0975,0.0968,0.0007,23693,0.2848,0.7784,14.8800
PPNPP,451,38.2335,0.0848,0.0821,0.0027,45644,0.1871,0.8424,14.8800
PNPPP,474,35.8361,0.0756,0.0770,-0.0014,50902,0.2271,0.8150,14.8800
NPPPP,467,34.4918,0.0739,0.0753,-0.0015,48331,0.1636,0.8594,14.8800
PPPNP,435,23.4596,0.0539,0.0698,-0.0159,48506,0.3175,0.7590,14.8800
PPPPN,423,21.9437,0.0519,0.0403,0.0115,43224,0.2645,0.7908,14.8800
NPPPN,306,9.0786,0.0297,0.0254,0.0043,63159,0.1470,0.8718,14.8800
PNNPP,292,8.4284,0.0289,0.0256,0.0032,66748,0.1472,0.8717,14.8800
PNPPN,296,6.8067,0.0230,0.0198,0.0032,58184,0.1209,0.8921,14.8800
PNPNP,285,5.6174,0.0197,0.0181,0.0016,58897,0.1421,0.8756,14.8800
NPNPP,309,5.5461,0.0179,0.0165,0.0015,63347,0.1623,0.8604,14.8800
PPNPN,291,5.3287,0.0183,0.0149,0.0034,62038,0.1885,0.8414,14.8800
PPNNP,282,4.6478,0.0165,0.0157,0.0008,54517,0.1148,0.8970,14.8800
PPPNN,294,4.4203,0.0150,0.0073,0.0077,63653,0.1800,0.8475,14.8800
NNPPP,273,3.3584,0.0123,0.0171,-0.0048,71575,0.1227,0.8907,14.8800
NPPNP,266,2.5709,0.0097,0.0096,0.0000,55377,0.1273,0.8871,14.8800
NPPNN,233,-12.1240,-0.0520,-0.0585,0.0064,63816,0.1370,0.8795,14.8800
NNPPN,197,-12.2862,-0.0624,-0.0633,0.0010,66182,0.1056,0.9045,14.8800
PNNPN,217,-13.3361,-0.0615,-0.0581,-0.0034,71008,0.1421,0.8756,14.8800
NNNPP,238,-13.5374,-0.0569,-0.0573,0.0004,66402,0.1147,0.8971,14.8800
NNPNP,243,-13.9644,-0.0575,-0.0563,-0.0011,71494,0.1044,0.9055,14.8800
NPNPN,250,-14.8040,-0.0592,-0.0600,0.0008,69251,0.1382,0.8785,14.8800
PNPNN,248,-15.2282,-0.0614,-0.0640,0.0026,71688,0.1307,0.8844,14.8800
PPNNN,218,-15.2950,-0.0702,-0.0719,0.0017,66358,0.1151,0.8968,14.8800
NPNNP,232,-15.7899,-0.0681,-0.0663,-0.0018,69100,0.1307,0.8844,14.8800
PNNNP,249,-18.1669,-0.0730,-0.0748,0.0019,71159,0.1434,0.8746,14.8800
NNPNN,191,-27.6336,-0.1447,-0.1451,0.0004,76733,0.1145,0.8973,14.8800
PNNNN,196,-27.6485,-0.1411,-0.1454,0.0043,72821,0.1389,0.8781,14.8800
NPNNN,200,-29.2676,-0.1463,-0.1471,0.0007,70840,0.1420,0.8757,14.8800
NNNPN,201,-30.8353,-0.1534,-0.1495,-0.0039,82647,0.1519,0.8682,14.8800
NNNNP,202,-30.9642,-0.1533,-0.1563,0.0030,71995,0.1408,0.8766,14.8800
NNNNN,152,-39.3039,-0.2586,-0.2616,0.0030,72596,0.2205,0.8194,14.8800
