pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,-31.6184,-28.5657,-31.392,-26.9927,-30.6113
NNNNP,-24.6121,-22.5896,-19.5406,-20.1251,-18.501
NNNPN,-20.1635,-23.9885,-31.2795,-21.7984,-20.57
NNNPP,-9.6258,-13.6618,-8.839,-9.4622,-9.0071
NNPNN,-24.9729,-24.1181,-21.4317,-27.0328,-22.8414
NNPNP,-8.3136,-11.4688,-9.1616,-15.5035,-12.1192
NNPPN,-11.7842,-11.8449,-12.4149,-7.52,-12.3337
NNPPP,1.7101,4.8718,1.7581,7.1515,5.6887
NPNNN,-27.0535,-21.4825,-21.3111,-23.2184,-25.481
NPNNP,-10.1748,-10.2243,-10.1403,-12.6387,-16.397
NPNPN,-11.2069,-14.335,-14.064,-11.2913,-16.3111
NPNPP,-0.0215,3.4623,-1.4547,1.1831,5.1559
NPPNN,-11.0241,-14.8352,-17.1588,-10.2156,-10.6282
NPPNP,1.519,7.022,2.1502,2.6932,0.3617
NPPPN,2.978,5.7328,3.6175,5.4232,7.2982
NPPPP,29.8476,27.1973,27.9078,33.9424,29.9082
PNNNN,-20.4423,-22.742,-18.2005,-20.9266,-26.2301
PNNNP,-12.0474,-13.0776,-12.295,-10.727,-11.5
PNNPN,-11.1301,-7.3524,-10.7061,-11.8706,-10.3032
PNNPP,3.6399,3.1174,8.7136,10.7417,0.1261
PNPNN,-8.6604,-9.2415,-6.0404,-12.8674,-12.0038
PNPNP,-0.9319,2.889,3.9729,1.7911,-3.4566
PNPPN,4.4073,-0.7914,4.8324,-2.9895,2.1058
PNPPP,36.3064,26.8389,25.8881,28.8281,32.5204
PPNNN,-13.9373,-10.2694,-11.6229,-14.9477,-14.0199
PPNNP,1.8481,4.822,7.0361,5.1123,8.4149
PPNPN,8.3783,2.9891,3.535,-1.8454,1.5446
PPNPP,20.892,24.0412,28.0446,33.432,30.113
PPPNN,2.2517,5.5569,0.8652,3.0333,-1.3199
PPPNP,21.2264,25.4114,38.0941,27.7987,35.974
PPPPN,28.5086,33.9026,22.7837,22.3725,19.182
PPPPP,105.1573,91.7539,86.9537,87.4672,104.1011
