pattern,mean_change,total_occurrences,min_change,max_change,change_std
PPPPP,7.53084,389,6.2013,9.9379,1.4398659270918253
PNPPP,2.8444000000000003,186,1.2004,5.2262,1.7145103382598779
PPPNP,2.64768,186,0.9215,5.3092,2.078842317733599
PPNPP,2.37404,176,1.1524,3.7483,1.0315185931431385
NPPPP,3.03872,167,1.5115,7.0912,2.3547973791814867
PPPPN,2.13734,166,0.3955,5.9539,2.205087455862012
NPPPN,0.10797999999999996,119,-0.5219,1.77,0.949461261453041
PNPNP,0.51334,115,0.1404,0.9348,0.3819243092551193
PNNPP,0.56098,107,0.1322,0.8217,0.27363199191615
PPNNP,0.73032,106,0.0134,1.5189,0.5405047058074517
PPNPN,0.5202,105,-0.0678,1.03,0.43265247601279255
NNPPP,0.59234,99,0.1151,1.3057,0.44650824516463306
PPPNN,0.33174000000000003,99,-0.7506,1.3502,0.7560906678434802
NPNPP,0.4323600000000001,98,-0.8358,1.5097,0.8804303623796716
NPPNP,0.49466,95,-0.7076,1.7207,0.9485217145643002
PNPPN,0.78798,88,0.0991,1.1703,0.4869606934856242
NPNPN,-0.9320600000000001,87,-1.0666,-0.7519,0.1259522647672522
NPNNP,-0.5782999999999999,86,-0.7166,-0.3207,0.15926818577481192
PNNPN,-0.5998600000000001,85,-1.2759,-0.0218,0.4604204415531526
PNNNP,-0.9335000000000001,78,-1.59,-0.201,0.5236455957992964
NNPPN,-0.91252,77,-1.7301,-0.335,0.5486890576638102
PNPNN,-0.72606,77,-1.0819,-0.43,0.2348510017010786
NNPNP,-0.7599,70,-1.5815,-0.3498,0.49111835131666576
NPPNN,-0.8541000000000001,70,-1.2902,-0.3889,0.40599474750296954
NNNPP,-0.77504,69,-1.17,-0.5308,0.24957673769804747
NNPNN,-1.18134,63,-1.4982,-0.6738,0.35894354430745795
PPNNN,-0.59496,63,-0.93,-0.2358,0.33361151508903286
NPNNN,-1.2523,54,-2.0863,-0.6856,0.6407731657927008
NNNPN,-0.9756199999999999,48,-1.5589,-0.7473,0.3331953135924934
NNNNP,-0.74488,39,-0.8385,-0.58,0.11679990154105441
NNNNN,-1.28714,39,-1.965,-0.95,0.4448783968681779
PNNNN,-0.86588,39,-1.8057,-0.545,0.5299459095039796
