date,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
2024-09-03,,,,,,,,,,,,,,564.22,563.9,563.87,563.96,563.96,563.39,562.99,562.9,562.94,562.85,562.35,561.8,561.96,561.88,561.11,561.06,561.04,561.29,561.3,561.4,561.21,561.14,561.08,560.81,560.91,560.61,561.03,560.95,560.91,561.19,561.18,560.96,561.04,561.14,561.36,561.29,561.09,560.84,560.75,561.11,560.91,561.01,561.3,561.27,560.99,560.82,560.78,561.05,560.85,561.109,561.2,561.04,561.21,561.04,561.1,561.38,561.16,561.3,561.11,560.7,560.78,560.61,560.55,560.73,561.03,560.48,560.24,559.6105,559.73,559.3,558.41,559.08,557.39,557.58,556.54,556.95,557.0,557.19,556.32,556.25,556.08,555.29,555.2792,555.3399,556.155,556.22,556.4099,556.17,556.13,556.38,556.4,556.45,555.88,555.94,556.03,555.6,556.015,555.56,555.985,556.14,555.79,555.65,555.4999,555.475,555.22,555.08,555.0699,554.9,555.1468,555.41,554.8599,555.15,555.8,555.67,554.7705,555.43,554.735,554.74,554.72,554.34,553.5399,553.4,553.44,553.14,553.14,553.04,553.585,553.33,553.085,552.99,552.6801,552.6301,552.7,552.58,552.73,552.655,552.72,552.53,552.19,551.14,550.92,550.79,550.925,552.16,552.42,552.36,552.28,551.78,551.39,551.24,551.3,551.33,551.21,551.1,551.62,551.6599,551.61,551.55,551.44,551.4,551.5,551.39,551.38,551.38,551.35,551.41,551.39,551.44,551.44,551.03,551.43,551.51,551.75,551.52,551.7,551.79,551.71,551.63,551.4,551.33,551.24,551.1399,551.37,551.47,551.44,551.11,551.22,551.2804,551.1,550.93,551.21,551.0
2024-09-04,,,,,,,,,,,,,,550.17,549.93,550.12,550.0,549.99,550.3,550.65,550.31,549.95,550.08,550.25,550.18,550.5,550.03,550.08,550.52,550.41,550.31,550.53,550.64,550.73,550.71,550.2,550.47,550.35,550.22,550.0,549.87,549.93,549.95,550.14,550.14,550.04,550.16,550.0,549.75,549.61,549.76,549.7,549.73,549.61,549.92,550.06,550.0,549.73,549.68,549.74,549.85,550.01,550.2802,549.9,549.81,549.82,549.97,549.68,549.888,550.418,550.63,550.6397,550.6,550.39,550.41,550.299,550.23,550.21,550.141,551.39,551.15,551.54,552.115,552.35,552.49,551.533,552.43,551.8914,551.719,552.21,552.49,553.0329,553.08,553.53,553.035,553.354,553.98,554.33,553.39,553.195,553.295,552.905,552.14,552.11,551.795,551.691,551.86,552.2773,551.8499,551.29,551.61,551.1101,551.5815,552.17,552.12,552.95,552.8,551.78,551.9999,552.31,552.34,551.62,552.03,551.71,551.66,551.475,551.215,551.17,551.16,550.93,551.14,551.0199,550.95,550.755,550.9177,551.25,550.83,551.09,551.36,550.94,550.4,550.4401,550.5401,550.485,550.07,549.79,549.63,549.65,549.725,550.52,550.72,550.34,550.5999,551.115,551.23,551.125,550.84,550.81,550.5,550.22,550.1383,550.24,550.55,550.78,550.58,550.66,550.66,550.62,550.72,550.81,550.76,550.76,550.7,550.65,550.73,550.7,550.7,550.66,550.7,550.72,550.75,551.0001,551.0,551.0,550.81,550.81,550.9,551.05,551.1,550.981,551.0,551.08,551.01,550.84,550.77,550.6599,550.53,550.39,550.45,550.42,549.95,549.88,549.7678,550.04,550.28
2024-09-05,,,,,,,,,,,,,,551.91,551.85,551.77,551.57,551.81,551.9,551.55,551.63,551.68,551.68,551.85,551.85,551.47,551.38,551.1,551.03,550.6,550.47,550.73,550.51,551.07,551.19,550.98,551.09,550.84,550.92,551.17,551.17,551.14,551.07,551.18,551.33,551.37,551.37,551.19,551.33,551.57,551.4,551.1,551.12,551.239,551.6,551.61,551.39,551.25,550.69,550.9,550.74,550.43,550.43,550.64,549.68,549.37,549.87,550.64,549.982,550.22,550.45,550.1,550.42,550.59,550.91,550.94,550.94,550.92,550.89,550.7,551.42,551.59,551.26,551.8,551.96,553.04,552.9,551.82,552.29,553.45,552.97,553.02,552.83,552.15,550.91,550.81,550.3899,549.9404,550.31,549.23,549.31,548.81,547.9186,547.75,548.09,547.88,548.0204,547.75,547.49,548.02,548.32,547.64,547.64,548.25,548.5595,548.48,548.375,548.78,548.51,548.4599,548.71,548.5908,548.35,548.46,548.51,548.56,547.8199,548.28,548.811,549.78,550.36,550.0899,550.68,550.49,550.4921,550.26,550.55,550.2599,550.0,550.28,550.37,550.32,550.675,550.59,550.17,550.0299,549.86,549.47,548.6401,548.92,549.2801,550.2,549.39,548.5905,548.91,548.72,549.57,550.14,550.05,549.83,549.32,549.2,549.22,549.11,549.03,549.2,549.12,549.1,549.19,549.1,549.0,549.14,549.1,549.14,549.07,549.15,549.19,549.19,549.12,549.24,549.33,549.35,549.12,549.0,549.0,548.91,548.801,548.95,548.93,548.92,548.96,549.1,549.11,549.0,548.99,548.9,548.71,548.84,548.77,548.9,548.88,548.9108,549.06,549.03,549.05
2024-09-06,,,,,,,,,,,,,,546.53,546.45,546.56,546.2,546.2,546.44,546.41,546.03,545.93,545.68,545.53,545.81,545.7,545.65,545.72,545.68,545.89,545.94,546.16,546.16,545.79,546.14,546.37,546.08,546.08,546.29,546.24,546.13,546.05,546.31,546.2,545.97,545.84,545.92,545.92,545.95,546.12,546.21,546.09,546.27,546.32,546.12,546.43,546.32,546.31,546.56,546.77,546.79,547.06,546.68,546.44,546.8,547.105,546.16,548.14,549.12,548.21,550.1,549.5,549.73,549.46,549.81,549.95,549.73,550.13,549.86,551.08,549.23,549.94,549.68,548.35,547.8901,547.66,547.48,547.1244,546.99,545.77,544.7,544.13,544.18,542.62,542.7,541.82,542.22,543.491,542.37,542.28,541.25,541.6207,541.5,542.07,541.65,541.2598,540.985,540.92,540.58,540.4799,540.7287,540.61,540.29,540.5,539.9,540.77,540.26,540.7238,539.95,539.885,540.135,540.52,541.11,541.37,541.13,541.98,540.83,540.7999,540.3105,540.15,540.0999,540.45,540.64,539.99,540.01,540.0743,539.8481,539.63,539.99,539.81,539.815,540.3,540.1573,540.25,540.45,540.9777,541.21,541.1,540.93,541.38,541.33,540.92,540.36,540.34,541.3,540.31,540.43,539.99,540.08,539.95,539.42,538.94,538.72,538.52,538.32,538.35,538.48,537.99,538.68,538.73,538.81,538.7713,538.9,538.95,539.01,539.02,538.97,538.92,538.91,538.6532,538.9005,538.6,538.68,538.65,538.66,538.63,538.7,538.79,538.79,538.72,538.78,538.8,538.67,538.68,538.74,538.74,538.74,538.72,538.76,538.75,538.84,538.77,538.77,538.75,538.8
2024-09-09,,,,,,,,,,,,,,543.7,543.5,543.59,543.44,543.33,543.42,543.38,543.38,543.14,543.59,543.62,543.57,543.57,543.85,544.02,544.03,544.29,544.29,544.2,544.0,544.0,544.13,543.98,544.33,544.48,544.65,544.66,544.46,544.47,544.51,544.31,544.21,544.1,544.2,544.1,543.98,544.15,544.19,544.43,544.411,544.45,544.76,544.17,544.07,544.01,544.04,543.83,543.97,543.74,543.74,543.43,543.58,543.25,543.24,543.65,543.7,543.7101,543.63,544.0,544.06,544.0215,543.91,544.07,544.2,544.04,544.62,545.01,545.04,544.665,544.67,545.05,545.3,545.36,545.5601,546.04,545.46,544.95,544.73,544.18,544.12,543.78,544.1501,544.2,543.31,543.5302,543.62,542.95,542.93,543.53,544.2,544.87,545.31,545.275,545.77,545.88,545.99,546.39,546.27,546.25,546.63,546.62,546.89,547.09,547.03,547.3211,547.3508,547.4205,547.49,547.41,547.65,547.3805,547.46,547.19,547.33,546.72,547.145,546.01,546.61,546.26,545.7401,545.2701,545.26,545.031,545.38,545.37,544.9698,545.16,544.36,545.26,545.3,545.17,545.11,544.65,545.185,544.84,544.87,544.8681,545.59,545.61,545.69,545.9325,545.7,545.64,546.42,546.44,546.55,546.66,547.23,547.23,547.38,547.4,547.32,547.3,547.1,547.1,547.13,547.16,547.2,547.2,547.29,547.25,547.28,547.29,547.35,547.26,547.32,547.2803,547.27,547.52,547.29,547.03,546.95,547.1,547.14,547.1,547.08,546.9017,546.93,546.92,546.87,546.82,546.86,546.99,547.05,547.29,547.22,547.2,547.2,547.3292,547.3,547.0,547.13
2024-09-10,,,,,,,,,,,,,,547.08,546.95,546.86,546.91,546.66,546.79,546.41,546.2,546.32,546.3,546.2,546.2,545.58,545.11,545.14,545.2,545.25,545.25,545.27,545.58,546.01,546.07,546.11,545.94,545.94,546.1,545.81,545.52,545.81,546.23,546.68,546.56,546.34,546.3,546.01,545.98,546.43,546.48,546.31,546.25,546.55,546.68,546.5,546.19,546.43,546.9,546.96,546.86,546.93,547.15,547.56,547.74,547.76,547.85,547.71,547.81,548.21,548.05,548.12,548.12,548.2,548.15,548.12,548.26,548.47,548.33,548.14,547.89,548.51,548.0101,548.23,547.8699,547.7805,547.78,545.88,546.22,545.85,547.08,546.37,546.94,546.334,546.65,546.19,546.52,546.47,546.915,546.9988,547.29,547.3303,547.45,547.19,546.5125,546.4995,545.98,545.07,544.18,543.77,543.96,543.6099,544.22,544.45,544.29,544.58,544.68,544.91,545.05,545.76,545.14,545.55,545.79,546.68,546.72,546.84,546.36,546.78,546.89,546.97,546.834,546.94,546.99,547.53,547.6399,547.59,547.6901,547.66,547.8801,548.1899,548.24,548.245,548.19,548.24,548.2199,548.16,548.2283,548.425,548.37,548.55,548.76,548.72,548.17,548.41,548.6,548.81,548.82,548.7,548.67,548.71,548.55,548.34,548.22,548.19,548.15,548.21,548.19,548.26,548.47,548.42,548.57,548.57,548.55,548.57,548.57,548.55,548.55,548.55,548.6,548.6,548.6,548.35,548.25,548.4,548.4,548.35,548.25,548.34,548.31,548.39,548.49,548.45,548.46,548.6,548.63,548.65,548.5804,548.68,548.68,548.62,548.663,548.53,548.42,548.28,548.3
2024-09-11,,,,,,,,,,,,,,547.63,547.85,547.39,547.72,547.57,547.77,547.34,547.16,546.85,547.09,546.76,546.75,546.97,547.04,547.3,547.18,546.84,546.76,547.2,547.26,547.18,547.21,547.33,547.55,547.69,547.49,547.48,547.6,547.6,547.29,547.5,547.5,547.6,547.63,547.64,547.69,547.55,547.58,547.689,547.73,547.7,547.71,547.83,548.21,548.221,548.3,548.33,548.24,548.06,548.24,548.28,548.39,548.18,548.54,546.6,546.96,546.61,547.5,547.56,548.06,548.93,548.65,548.71,549.18,549.27,548.7,546.62,546.15,546.16,545.43,545.08,544.69,544.17,543.9,542.2,541.56,541.67,541.2425,540.63,540.85,540.3499,540.0999,540.37,541.16,541.1699,541.69,542.6,542.48,541.93,542.43,542.68,544.1024,544.7235,544.86,544.29,544.5,545.87,545.65,546.1084,546.21,546.31,546.78,546.69,547.26,546.81,546.81,547.45,547.3113,548.06,548.39,548.85,548.65,548.28,548.89,549.13,549.26,549.6,550.61,549.96,550.0,550.2,550.31,550.0905,549.9963,550.548959,551.0075,551.51,551.8,552.27,552.1,551.215,551.67,551.5099,552.08,552.26,552.62,553.05,553.33,553.4,552.92,552.74,553.2705,554.03,554.36,554.15,554.51,554.36,554.61,554.5,554.42,554.41,554.54,554.46,554.39,554.4696,554.41,554.46,554.46,554.39,554.3,554.45,554.32,554.27,554.29,554.27,554.34,554.33,554.38,554.29,554.27,554.24,554.33,554.24,554.25,554.41,554.43,554.331,554.409,554.33,554.36,554.43,554.35,554.32,554.38,554.35,554.31,554.34,554.25,554.27,554.26,554.27,554.31
2024-09-12,,,,,,,,,,,,,,555.16,555.29,555.36,555.35,555.4,555.25,555.25,555.65,555.89,555.89,555.66,555.56,555.55,556.0,556.11,556.18,556.24,556.01,556.09,555.99,555.88,555.72,555.58,555.58,555.66,555.67,555.88,555.64,555.6,555.6,555.6,555.89,556.02,556.03,555.85,555.59,555.39,555.57,555.51,555.59,555.54,555.6,555.5,555.63,555.65,555.81,555.83,555.93,556.05,556.08,556.0,556.15,556.08,556.1237,555.35,555.13,555.79,555.5114,555.36,555.16,555.32,555.5707,555.5,555.32,555.2599,555.01,554.85,554.81,554.69,553.22,553.87,553.77,553.435,553.8984,555.41,555.8599,555.61,555.8,556.13,555.2,555.58,555.61,555.43,554.45,555.28,555.5,556.38,555.65,555.5099,554.93,555.04,555.05,554.74,554.6499,554.72,554.5,555.0899,555.0692,555.15,555.25,555.21,555.38,555.487,555.22,555.57,555.825,556.62,557.12,557.15,557.3166,557.41,557.57,557.98,557.84,558.01,558.47,558.44,558.79,559.11,559.14,559.12,558.555,558.65,558.55,559.064,559.09,559.1,559.27,559.13,558.81,557.85,558.68,558.26,558.65,558.63,558.94,558.73,558.76,558.74,558.9801,559.0402,558.43,558.3101,559.02,558.72,558.28,558.32,558.48,558.48,558.68,558.61,558.59,559.09,558.45,558.54,558.32,558.31,558.3,558.27,558.46,558.4009,558.43,558.43,558.33,558.42,558.36,558.38,558.43,558.59,558.6,558.75,558.799,558.74,558.82,558.83,558.74,558.9,559.0,559.0,559.03,559.12,559.35,559.1825,559.21,559.16,559.16,559.2,559.2,559.38,559.46,559.25,559.24
2024-09-13,,,,,,,,,,,,,,559.34,559.69,559.89,559.87,559.88,559.75,559.53,559.7,559.7,560.0,559.8,559.78,559.86,560.15,560.25,560.17,560.23,560.23,560.31,560.49,560.48,560.44,560.28,560.38,560.38,560.53,560.53,560.37,560.4,560.45,560.49,560.25,560.25,560.25,560.36,560.4,560.18,560.07,560.11,560.16,560.18,560.38,560.3,559.86,560.03,560.07,560.18,560.28,560.31,560.19,560.3,560.3,560.27,560.18,560.07,559.87,559.9,560.13,560.2701,560.3,560.1925,560.39,560.28,560.16,560.08,559.69,560.3101,560.36,560.83,561.12,560.995,560.9301,561.03,561.16,561.26,561.56,562.27,561.12,560.97,561.69,562.39,562.27,561.6999,561.86,561.9,561.625,561.69,561.7,562.0299,561.85,562.06,561.95,562.34,562.615,562.6953,562.66,562.64,562.3203,561.96,561.8201,561.65,561.57,561.59,561.55,561.52,561.3999,562.145,562.19,562.35,562.43,562.51,562.68,562.43,562.76,562.57,562.97,562.88,562.8889,562.85,562.57,562.16,562.79,562.42,562.3501,561.55,561.4099,561.34,561.33,561.47,561.41,561.32,561.44,561.188,561.3,561.37,561.64,561.7437,561.8,561.84,561.65,561.86,561.83,562.17,561.94,561.62,561.83,561.75,561.91,561.98,561.95,561.88,561.89,561.77,561.58,561.65,561.63,561.5785,561.69,561.75,561.7497,561.58,561.61,561.69,561.55,561.6,561.6,561.6,561.75,561.75,561.75,561.65,561.84,561.84,561.81,561.68,561.58,561.65,561.58,561.58,561.7,561.7,561.7599,561.75,561.75,561.75,561.75,561.7327,561.7327,561.47,561.47,561.47,561.65
2024-09-16,,,,,,,,,,,,,,562.55,562.5,562.36,562.37,562.54,562.57,562.49,562.39,562.39,562.33,562.42,562.56,562.56,562.49,562.62,562.65,562.64,562.59,562.59,562.57,562.53,562.35,562.35,562.3,562.08,562.0,562.05,562.14,562.1,561.77,561.77,561.71,561.97,561.97,562.21,562.11,562.12,562.01,562.01,561.81,561.6,561.61,561.64,561.7,561.66,561.89,561.65,561.71,561.51,561.82,561.72,561.5,561.43,561.53,561.52,561.78,561.49,561.34,561.41,561.53,561.56,561.59,561.56,561.5,561.49,561.76,561.14,560.99,561.03,561.805,562.75,562.48,562.3509,562.4,562.5,562.5,561.92,561.4788,560.1399,560.75,561.14,561.0299,560.76,560.7298,560.49,560.94,561.11,561.195,561.385,560.83,561.25,560.8572,560.67,560.8505,561.33,561.27,560.89,561.17,560.82,560.5999,560.6,561.3899,561.12,561.18,561.16,561.31,561.4,561.5699,561.43,561.54,561.5105,561.55,561.66,561.715,561.713407,562.2601,562.25,562.24,562.34,562.5005,562.18,562.3,562.44,562.275,562.37,562.55,562.5712,562.485,562.135,562.3,562.08,562.6975,562.38,562.475,562.09,562.24,562.04,562.26,562.55,562.57,562.68,562.62,562.925,562.86,562.53,562.63,562.45,562.5,562.63,562.59,562.49,562.55,562.47,562.43,562.3515,562.34,562.2,562.3,562.3,562.28,562.21,562.15,562.24,562.2,562.15,562.26,562.01,562.11,562.39,562.541,562.58,562.791,562.84,562.71,562.8475,562.84,562.84,562.8,562.8,562.66,562.81,562.71,562.5,562.59,562.52,562.68,562.597,562.55,562.59,562.57,562.56,562.44
