date,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
2024-09-03,,,,,,,,,,,,,,564.22,564.19,564.05,563.96,563.96,563.45,563.15,562.9,562.94,562.89,562.74,562.31,562.02,562.01,561.64,561.1,561.18,561.41,561.3,561.45,561.35,561.21,561.25,561.08,561.08,560.92,561.03,561.0,561.06,561.19,561.35,561.08,561.13,561.14,561.41,561.34,561.33,561.1,560.93,561.2,561.13,561.12,561.36,561.45,561.24,561.07,560.88,561.07,564.0,561.109,561.2,561.24,563.68,561.1,561.1,561.43,561.43,561.35,561.37,561.14,560.8,560.88,560.6975,560.73,561.1215,561.03,560.81,560.32,559.86,559.69,559.29,559.205,559.14,557.67,557.66,557.07,557.3,557.5303,557.18,556.54,556.44,556.2,555.62,555.68,556.2799,556.7895,556.72,556.765,556.43,556.63,556.61,556.99,556.48,556.29,556.1299,556.15,556.1592,556.22,556.0088,556.5,556.3,555.77,555.72,555.67,555.51,555.228,555.249,555.15,555.19,555.61,555.48,555.1699,555.87,555.82,555.73,555.49,555.42,556.9787,554.91,554.88,554.38,553.7299,553.63,553.62,553.5393,553.45,553.82,553.77,553.48,553.35,553.11,552.8568,552.93,553.025,553.16,552.818,553.04,552.77,552.755,552.2047,551.18,550.95,551.29,552.25,552.55,552.38,552.28,552.25,551.82,551.53,551.61,551.48,551.29,551.29,551.62,551.71,551.64,551.6,551.55,551.5,551.5,551.39,551.42,551.41,551.42,551.42,551.42,551.5,551.8,551.35,551.45,551.6,551.79,551.75,551.7,551.79,551.79,551.76,551.631,551.4,551.27,551.2,551.37,551.5,551.47,551.43,551.22,551.3455,551.1,551.2,551.21,551.2855
2024-09-04,,,,,,,,,,,,,,550.4,550.04,550.12,550.15,550.2,550.3,550.65,550.72,550.11,550.14,550.25,550.37,550.5,550.29,550.09,550.52,550.56,550.32,550.53,550.64,550.73,550.9,550.51,550.47,550.69,550.32,550.18,549.87,549.95,550.0,550.14,550.14,550.04,550.16,550.0,549.79,549.79,549.8,550.01,549.73,549.83,549.93,550.18,550.34,550.03,549.77,549.74,550.08,550.78,550.29,550.3,549.91,549.91,550.15,550.06,549.888,550.418,550.77,550.69,550.72,550.59,550.53,550.46,550.36,550.31,550.42,551.41,551.63,552.36,552.205,552.41,552.555,552.54,552.68,552.78,552.65,552.35,552.49,553.0329,553.43,553.53,553.6193,553.37,554.0,554.38,554.43,553.78,553.43,553.45,553.02,552.33,552.26,551.9999,552.31,552.39,552.24,551.95,551.6695,551.86,551.92,552.2399,552.4172,552.99,553.09,552.8501,552.15,552.47,552.38,552.34,552.13,552.28,551.92,552.065,551.54,551.33,551.38,551.5,551.65,551.2,551.15,551.07,551.23,551.3,551.43,551.13,551.52,551.74,550.99,550.79,550.82,550.66,550.75,550.19,549.94,549.98,550.04,550.53,550.83,550.75,550.69,551.26,551.34,551.96,551.87,550.95,551.1458,550.6,551.1375,550.4,550.65,550.83,550.69,550.66,550.71,550.68,550.8,550.81,550.76,550.76,550.79,550.73,550.73,550.7,550.7,550.7,550.7,550.72,550.75,551.03,551.021,551.06,551.0,550.81,550.9282,551.05,551.1602,550.981,551.1,551.09,551.0399,550.95,550.9,550.79,550.67,550.54,550.57,550.52,550.42,550.14,549.94,550.04,550.29
2024-09-05,,,,,,,,,,,,,,552.04,551.95,551.77,551.79,551.81,551.9,551.77,551.69,551.73,551.73,551.85,551.85,551.57,551.45,551.23,551.25,550.95,550.72,550.73,550.51,551.07,551.25,551.35,551.09,551.09,551.25,551.17,551.17,551.14,551.08,551.21,551.43,551.37,551.37,551.28,551.33,551.62,551.6,551.32,551.2,551.26,551.6,551.72,551.63,551.34,551.31,550.9,550.9,551.95,550.49,550.64,550.61,549.74,549.93,551.4,550.63,550.26,550.52,550.5,550.62,550.7,550.91,550.98,551.06,551.09,551.07,551.55,552.13,551.78,552.27,551.85,552.09,553.36,553.58,552.93,552.41,553.55,553.7995,553.55,553.11,552.87,552.18,550.9389,551.07,550.54,550.48,550.48,549.75,549.53,548.84,548.18,548.54,548.35,548.39,548.32,547.9989,548.3499,548.51,548.33,547.88,548.3,548.62,548.6,548.65,548.94,548.79,548.6696,549.3,548.96,548.58,551.1547,548.54,548.56,548.56,548.3,549.15,549.845,550.61,550.47,550.7,550.93,550.76,550.72,550.77,550.71,550.278,550.53,550.63,550.5,550.72,551.18,550.67,550.17,550.12,549.855,549.55,548.95,549.44,550.26,550.2,549.39,549.07,549.16,549.57,550.15,550.13,550.08,550.32,549.55,549.24,549.25,549.32,549.29,549.37,549.1,549.2,549.29,549.09,549.14,549.15,549.14,549.15,549.15,549.19,549.19,549.25,549.284,549.33,549.4,549.4,549.11,549.03,549.0,548.9,548.95,549.0,548.92,548.96,549.1,549.11,549.0,549.01,548.94,548.85,548.84,548.77,548.91,548.94,548.9215,549.09,549.05,549.1024
2024-09-06,,,,,,,,,,,,,,547.0,546.61,546.56,546.6,546.2,546.46,546.5,546.46,546.01,545.8,545.73,545.81,545.77,545.86,545.72,545.68,545.89,546.0,546.16,546.16,545.96,546.14,546.41,546.08,546.08,546.3,546.24,546.19,546.16,546.31,546.3,546.24,546.09,545.92,545.92,546.0,546.18,546.22,546.31,546.35,546.38,546.42,546.43,546.43,546.38,546.56,546.77,546.82,549.06,547.1,546.6005,546.93,547.13,547.36,549.76,549.61,549.11,550.16,550.36,549.86,550.02,550.21,550.019,550.26,550.6,550.1,551.134,551.6,550.38,550.65,549.77,548.96,548.26,548.09,547.88,547.37,547.23,545.79,545.17,544.44,544.2,543.24,542.86,542.3499,545.505,544.12,542.9,542.47,542.16,541.84,542.65,542.15,541.83,541.31,541.02,541.28,541.03,541.07,541.03,540.74,540.61,540.7799,540.81,541.18,540.7866,540.7467,540.13,540.42,540.69,541.3395,541.53,541.5,542.0,542.0,540.96,540.79,540.4,540.33,540.57,541.05,540.85,540.2,540.39,540.34,540.17,540.08,540.27,539.9,540.33,540.31,540.25,540.65,541.07,541.34,541.43,541.32,541.45,541.88,541.39,541.05,540.73,541.45,541.7,540.54,542.91,540.26,540.09,540.0974,539.47,539.13,538.8,538.65,538.42,538.53,538.44,538.68,538.75,538.81,538.8223,538.93,538.98,539.02,539.0292,539.03,538.97,538.91,538.95,538.9005,538.83,538.7,538.65,538.69,538.63,538.7,538.8,538.79,538.82,538.86,538.8,538.8,538.8,538.74,538.74,538.74,538.74,538.79,538.79,538.85,538.96,538.77,538.79,538.8
2024-09-09,,,,,,,,,,,,,,543.82,543.84,543.71,543.5,543.33,543.42,543.51,543.51,543.28,543.59,543.64,543.61,543.57,543.85,544.02,544.17,544.29,544.29,544.35,544.14,544.09,544.15,544.18,544.33,544.48,544.65,544.7,544.76,544.59,544.51,544.52,544.35,544.28,544.28,544.11,544.09,544.39,544.28,544.48,544.55,544.47,544.81,544.72,544.14,544.34,544.07,543.99,544.08,544.7,543.82,543.74,543.778,543.67,543.43,543.75,543.84,543.77,543.8,544.0,544.12,544.15,544.12,544.14,544.2398,544.04,544.81,545.16,545.27,545.1,544.92,545.33,545.49,545.52,545.66,546.39,546.2495,545.67,545.12,544.7701,544.488,544.2295,544.18,544.4,544.43,543.8899,543.99,543.615,543.04,543.53,544.2699,545.1,545.31,545.44,545.81,545.93,545.99,546.6,546.47,546.54,546.66,546.73,547.0,547.12,547.33,547.58,547.6,547.61,547.68,547.67,547.71,547.68,547.61,547.465,547.44,547.32,547.2441,547.33,546.7,546.601,546.35,545.85,545.38,545.33,545.54,545.46,545.645,545.23,545.25,545.36,545.42,545.51,545.3,545.0899,545.28,545.205,545.23,544.91,545.63,545.98,546.13,546.18,545.95,546.0,546.51,546.72,546.71,546.7693,547.36,547.31,547.3998,547.4,547.43,547.37,547.32,547.1,547.13,547.18,547.2,547.2,547.29,547.28,547.28,547.29,547.35,547.26,547.33,547.36,547.35,547.52,547.5,547.28,547.1,547.1,547.14,547.19,547.08,547.08,546.93,546.92,546.9,546.95,546.87,546.99,547.05,547.33,547.29,547.21,547.3,547.3292,547.35,547.3,547.2
2024-09-10,,,,,,,,,,,,,,547.18,547.11,546.92,546.91,546.88,546.86,546.7,546.2,546.36,546.38,546.2,546.2,546.0,545.61,545.14,545.2,545.25,545.25,545.4,545.6,546.1,546.12,546.11,546.14,546.14,546.26,546.02,545.6,545.88,546.25,546.68,546.69,546.34,546.44,546.29,546.0,546.43,546.63,546.54,546.44,546.55,546.71,546.62,546.57,546.59,546.96,546.96,547.03,547.05,547.15,547.62,547.8,547.78,547.86,547.87,547.86,548.29,548.24,548.15,548.1985,548.2,548.25,548.15,548.3,548.5,548.4887,548.66,548.32,548.52,548.5665,548.31,548.58,547.995,548.11,547.785,546.455452,546.48,547.28,547.2464,547.12,547.17,546.85,546.69,546.53,546.68,546.9771,547.32,547.445,547.36,547.7,547.73,547.3,546.91,546.5795,545.98,545.2468,544.3798,544.26,544.2499,544.26,544.55,544.62,544.588,544.85,545.1,545.09,545.8,545.82,545.57,545.92,546.71,546.96,546.87,546.85,546.82,546.965,547.14,547.15,547.1899,547.17,547.73,547.66,547.76,547.95,547.8,547.94,548.35,548.3,548.36,548.31,548.33,548.32,548.31,548.35,548.43,548.455,548.615,548.79,548.88,548.72,548.56,548.75,548.86,549.15,548.94,548.74,548.76,548.77,548.51,548.34,548.26,548.2496,548.2296,548.24,548.26,548.49,548.48,548.67,548.57,548.66,548.66,548.66,548.558,548.558,548.558,548.6,548.61,548.6,548.55,548.25,548.4,548.4,548.44,548.36,548.34,548.31,548.4,548.49,548.5,548.46,548.6,548.63,548.65,548.61,548.68,548.69,548.65,548.663,548.62,548.52,548.4,548.31
2024-09-11,,,,,,,,,,,,,,547.92,547.86,547.54,547.72,547.82,547.77,547.64,547.3,547.1,547.09,547.0,546.83,546.98,547.04,547.3,547.22,547.02,546.77,547.2,547.3,547.27,547.21,547.33,547.55,547.69,547.62,547.48,547.6,547.6,547.29,547.5,547.5,547.63,547.68,547.64,547.69,547.7,547.58,547.72,547.73,547.75,547.71,547.83,548.21,548.24,548.3,548.35,548.3,548.3287,548.27,548.38,548.39,548.42,548.54,548.58,547.47,547.09,547.58,547.67,548.41,549.03,548.9,548.99,549.21,549.34,549.26,548.76,547.05,546.58,546.27,545.5,545.43,544.78,544.23,543.995,542.32,542.39,541.93,541.27,541.37,540.86,540.66,540.43,541.2273,541.26,542.23,542.7699,542.9,542.5,542.5,543.03,544.19,544.885,545.28,544.9893,544.6,545.88,546.44,546.15,546.25,546.7,546.82,547.17,547.36,547.5,547.13,547.52,547.55,548.27,548.93,549.19,548.9599,548.65,549.1099,549.2399,549.28,549.665,550.65,550.82,550.13,550.32,550.52,550.57,550.399,550.55,551.14,551.56,551.8,552.69,552.3321,552.14,552.01,551.65,552.2089,552.5,552.98,553.12,553.41,553.48,553.42,553.14,553.33,554.12,555.36,554.625,554.6618,554.87,554.64,554.72,554.49,554.58,554.54,554.54,554.5,554.4696,554.46,554.49,554.49,554.47,554.38,554.5,554.35,554.3,554.3,554.34,554.34,554.38,554.42,554.42,554.33,554.28,554.33,554.4,554.36,554.42,554.43,554.35,554.409,554.4,554.36,554.43,554.4296,554.32,554.38,554.36,554.39,554.34,554.3,554.27,554.26,554.3,554.34
2024-09-12,,,,,,,,,,,,,,556.0,555.29,555.42,555.45,555.4,555.4,555.4,555.68,556.0,555.91,555.66,555.72,555.57,556.0,556.25,556.22,556.25,556.05,556.14,556.15,556.0,555.97,555.69,555.69,555.66,555.73,555.88,555.75,555.6,555.61,555.6,555.89,556.02,556.05,555.85,555.66,555.74,555.57,555.61,555.59,555.6,555.67,555.64,555.76,555.65,555.81,555.83,555.93,556.49,556.08,556.1,556.25,556.28,556.3,556.85,555.4,555.79,556.13,555.41,555.35,555.44,555.71,555.75,555.69,555.48,555.38,555.15,555.365,555.37,554.88,553.98,553.909,554.08,554.0599,555.55,556.0,556.0,555.9,556.28,556.15,555.77,555.68,555.68,555.86,555.31,555.66,556.64,556.4899,555.778,555.59,555.39,555.5,555.48,554.795,555.0269,554.96,555.12,555.16,555.18,555.26,555.545,555.54,555.49,555.62,555.7,555.86,556.69,557.24,557.32,557.44,557.49,557.69,558.03,558.09,558.041,558.54,558.54,558.84,559.18,559.37,559.32,559.16,558.79,558.74,559.12,559.32,559.32,559.4,559.345,559.2,558.88,558.75,558.72,558.79,558.79,558.94,558.91,558.89,558.89,559.08,559.22,559.19,558.8,559.07,559.09,558.71,558.39,558.48,558.5,558.71,558.7,558.64,559.09,558.66,558.6,558.52,558.31,558.49,558.4,558.46,558.51,558.5,558.5,558.36,558.42,558.36,558.38,558.43,558.6,558.71,558.75,558.799,558.7875,558.9,558.92,558.78,558.9,559.0175,559.0,559.05,559.12,559.4,559.311,559.26,559.16,559.16,559.2,559.22,559.4,559.47,559.54,559.27
2024-09-13,,,,,,,,,,,,,,559.67,559.69,559.89,559.87,559.93,559.82,559.81,559.73,559.75,560.0,560.0,559.86,559.98,560.15,560.25,560.17,560.23,560.23,560.31,560.5,560.6,560.45,560.32,560.38,560.38,560.53,560.53,560.43,560.45,560.45,560.49,560.36,560.25,560.25,560.41,560.4,560.68,560.24,560.13,560.18,560.21,560.38,560.36,560.2,560.07,560.19,560.29,560.28,560.5117,560.33,560.3,560.44,560.4,560.279,560.32,560.2229,559.95,560.13,560.34,560.43,560.28,560.4,560.36,560.24,560.12,560.3,560.36,560.61,560.87,561.28,561.2017,561.16,561.8,561.27,561.68,561.85,562.3,562.36,561.17,561.72,562.57,562.51,562.28,562.07,562.02,562.06,561.97,561.885,562.11,562.14,562.17,562.22,562.44,562.79,562.7799,562.8,562.94,562.75,562.45,561.94,561.93,561.76,561.7,561.65,561.7299,561.55,562.16,562.23,562.4,562.65,562.56,562.74,562.71,562.8098,562.88,563.03,563.01,562.97,563.0,562.91,562.65,562.98,562.84,562.49,562.38,561.67,561.44,561.46,561.87,561.7786,561.46,561.465,561.43,561.48,561.43,561.82,561.78,561.97,561.95,561.87,561.86,562.075,562.185,562.34,562.01,561.9,561.83,561.93,561.98,562.11,561.95,561.9,561.82,561.77,561.68,561.65,561.5785,561.69,561.75,561.76,561.7025,561.6608,561.69,561.933358,561.6,561.6,561.6,561.75,561.75,561.75,561.75,561.85,561.85,561.81,561.75,561.66,561.65,561.58,561.58,561.7,561.7,561.7599,561.75,561.75,561.75,561.75,561.7327,561.7327,561.65,561.65,561.65,561.65
2024-09-16,,,,,,,,,,,,,,562.55,562.55,562.46,562.39,562.54,562.6,562.51,562.39,562.39,562.41,562.42,562.56,562.56,562.5,562.65,562.74,562.65,562.59,562.59,562.62,562.55,562.4,562.4,562.37,562.34,562.12,562.05,562.14,562.1,561.77,561.77,561.72,561.97,561.97,562.21,562.11,562.18,562.07,562.01,561.88,561.8,561.65,561.7,561.74,561.82,561.9,561.84,561.73,562.3,561.82,561.8898,561.6615,561.49,561.54,561.66,561.8042,561.74,561.49,561.51,561.59,561.7,561.65,561.56,561.61,561.55,561.79,562.135,561.19,561.25,561.83,562.765,562.92,562.82,562.66,562.61,562.71,562.53,561.97,561.47,561.06,561.25,561.17,561.34,560.98,560.72,561.12,561.27,561.28,561.42,561.54,561.25,561.25,560.905,560.89,561.35,561.42,561.3699,561.28,561.32,561.0,560.68,561.42,561.5,561.4,561.3,561.32,561.51,561.61,561.57,561.58,561.67,561.68,561.66,561.91,561.78,562.34,562.39,562.36,562.5,562.55,562.52,562.35,562.58,562.54,562.56,562.6,562.62,562.69,562.4999,562.31,562.3799,562.72,562.71,562.5967,562.54,562.29,562.24,562.27,562.63,562.67,562.75,562.78,562.97,563.11,562.92,562.66,562.748,562.59,562.63,562.6785,562.59,562.55,562.51,562.7488,562.41,562.38,562.4351,562.3,562.3,562.28,562.251,562.2794,562.24,562.24,562.22,562.26,562.24,562.35,562.46,562.606,562.59,562.8,562.84,562.88,562.8475,562.84,562.84,562.8,562.8,562.75,562.81,562.798,562.63,562.59,562.53,562.74,562.7097,562.55,562.6,562.61,562.61,562.55
