date,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
2024-09-03,,,,,,,,,,,,,,563.5,563.9,563.87,563.8,563.8,563.26,562.97,562.75,562.76,562.78,562.35,561.8,561.63,561.81,561.0,560.9,560.89,561.24,560.7,561.27,561.19,561.1,561.05,560.81,560.5,560.56,560.55,560.86,560.91,560.95,561.1,560.75,561.03,560.92,561.17,561.26,561.05,560.6,560.65,560.76,560.91,560.89,561.3,561.27,560.95,560.7,560.78,561.0,560.6294,560.78,560.98,560.981,561.161,560.95,560.93,561.03,561.16,561.3,561.11,560.62,560.55,560.61,560.43,560.41,560.7,560.26,559.93,559.42,559.24,559.16,558.14,558.21,557.09,556.93,556.5,556.3215,556.72,556.75,556.02,556.1,556.0,555.28,555.1,555.23,555.15,555.86,556.1738,555.95,555.95,556.02,555.96,556.3,555.73,555.84,555.66,555.47,555.56,555.44,555.21,555.8,555.75,555.25,555.39,555.17,554.96,554.755,554.91,554.82,554.81,555.05,554.68,554.76,555.0601,555.55,554.7,554.7501,554.51,554.56,554.63,554.26,553.23,553.33,553.34,553.07,552.94,553.01,552.93,553.17,553.04,552.94,552.63,552.47,552.5301,552.54,552.56,552.58,552.595,552.31,552.16,550.99,550.27,549.51,550.38,550.81,552.01,552.15,552.05,551.4,551.3,551.17,551.3,551.3,551.17,551.09,551.17,551.53,551.59,551.55,551.4,551.39,551.45,551.38,551.35,551.35,551.34,551.35,551.39,551.35,551.3,551.0,551.03,551.4,551.66,551.49,551.66,551.76,551.69,551.63,551.4,551.1862,551.2215,551.03,551.051,551.44,551.43,551.08,551.12,551.2245,550.9804,550.93,550.7,551.0
2024-09-04,,,,,,,,,,,,,,549.96,549.88,549.85,549.87,549.99,550.13,550.5,550.31,549.95,550.08,550.03,550.18,550.03,550.0,550.08,550.13,550.41,550.26,550.19,550.46,550.73,550.7,550.2,550.35,550.35,550.21,550.0,549.8,549.93,549.95,549.91,549.91,550.04,550.03,550.0,549.75,549.6,549.46,549.69,549.63,549.61,549.63,549.89,550.0,549.65,549.68,549.63,549.77,548.66,550.03,549.88,549.77,549.76,549.75,549.68,549.65,549.86,550.34,550.5,550.5,550.32,550.3,550.25,550.19,550.18,550.08,550.03,551.035,551.13,551.235,551.67,551.89,550.025,550.83,551.46,551.16,551.42,551.55,552.22,552.45,552.8,552.54,552.96,553.32,553.76,553.37,553.01,552.87,552.59,552.0905,551.42,551.68,551.49,551.69,551.8,551.34,551.23,551.07,551.09,551.13,551.48,551.82,552.0708,552.7518,551.74,551.47,551.82,551.9,551.46,551.61,551.61,551.33,551.39,551.04,551.0,550.95,550.88,550.93,550.6811,550.75,550.67,550.58,550.77,550.76,550.6,551.01,550.9,550.32,550.37,550.26,550.08,550.02,549.67,549.52,549.46,549.63,549.71,550.1,550.08,550.08,550.5539,550.76,550.73,549.64,550.5,550.41,550.18,549.88,549.99,550.25,550.58,550.56,550.55,550.59,550.62,550.66,550.76,550.71,550.71,550.67,550.65,550.63,550.65,550.7,550.66,550.7,550.72,550.73,550.75,551.0,551.0,550.81,550.81,550.82,550.95,551.09,550.95,551.0,551.08,551.01,550.84,550.75,550.6599,550.53,550.35,550.27,550.42,549.95,549.52,549.7678,549.901,550.01
2024-09-05,,,,,,,,,,,,,,551.83,551.64,551.67,551.57,551.52,551.76,551.55,551.58,551.63,551.63,551.69,551.69,551.44,551.35,551.1,551.03,550.6,550.42,550.7,550.51,550.8,551.11,550.98,550.92,550.75,550.92,551.08,551.08,551.02,551.07,550.95,551.33,551.25,551.25,551.1,551.2,551.36,551.4,551.0,551.12,551.0,551.09,551.56,551.39,551.16,550.69,550.6,550.6,549.95,550.24,550.35,549.68,549.3,549.29,549.81,549.8,549.7,550.05,549.87,550.11,550.25,550.27,550.77,550.9,550.92,550.81,550.68,550.65,551.4,550.91,551.13,551.63,551.97,552.71,551.6,551.56,552.305,552.76,552.6801,552.695,552.0701,550.8,550.44,550.33,549.23,549.85,548.98,549.03,548.47,547.82,547.4,547.71,547.7195,547.78,547.66,547.36,547.4,547.89,547.37,547.1,547.53,548.2,548.23,548.31,548.39,548.42,548.28,548.4,548.48,548.0,548.3106,547.78,548.24,547.75,547.73,548.3,548.76,549.7101,550.02,550.07,550.23,550.3601,550.21,550.1406,550.22,549.85,549.9699,550.1465,550.1,550.31,550.44,550.12,549.69,549.71,549.43,548.14,548.41,548.82,549.25,549.34,548.35,548.27,548.04,548.45,549.38,549.72,549.61,549.2,549.2,549.04,549.11,549.03,549.05,549.04,549.02,549.05,549.08,549.0,549.04,549.09,549.1,549.0,549.15,549.19,549.19,549.04,549.24,549.2,549.23,549.12,549.0,548.99,548.91,548.73,548.92,548.81,548.88,548.91,548.98,549.09,549.0,548.99,548.8,548.65,548.6704,548.77,548.8604,548.88,548.9104,548.9,548.9,548.99
2024-09-06,,,,,,,,,,,,,,546.2,546.37,546.37,546.2,546.2,546.27,546.41,546.03,545.91,545.64,545.45,545.57,545.7,545.65,545.62,545.37,545.59,545.94,546.02,546.02,545.67,545.76,546.05,546.08,546.08,546.11,546.18,546.07,546.05,546.25,546.19,545.97,545.66,545.88,545.88,545.87,545.89,546.08,546.09,546.17,546.25,546.11,546.1,546.18,546.23,546.25,546.55,546.73,545.55,546.68,546.43,546.36,546.79,545.71,545.47,548.02,548.03,548.01,549.46,549.5,549.28,549.44,549.61,549.73,549.71,549.77,549.84,549.15,548.46,549.53,548.31,547.83,547.41,547.03,546.56,546.33,545.68,544.64,544.005,543.71,542.59,542.57,541.82,541.56,542.13,542.29,541.87,540.96,541.12,541.25,541.4105,541.33,541.1,540.52,540.26,540.55,540.4,540.34,540.43,540.13,540.1,539.84,539.85,540.17,540.08,539.73,539.66,539.7,539.91,540.29,541.03,541.0305,541.07,540.8,540.4815,540.17,539.97,539.93,539.89,540.45,539.93,539.84,539.91,539.74,539.54,539.44,539.62,539.55,539.72,539.75,539.71,540.15,540.4,540.86,540.86,540.86,540.94,541.292,540.92,540.215,540.2,540.31,539.86,539.67,539.74,539.84,539.56,539.39,538.75,538.7,538.5,538.3,538.2,538.31,537.86,538.0,538.6,538.7,538.77,538.8,538.94,538.8,538.86,538.97,538.92,538.8601,538.6532,538.61,538.6,538.6,538.56,538.65,538.62,538.66,538.73,538.71,538.72,538.73,538.65,538.67,538.68,538.72,538.72,538.72,538.72,538.74,538.73,538.79,538.77,538.77,538.74,538.73
2024-09-09,,,,,,,,,,,,,,542.22,543.5,543.56,543.35,543.15,543.42,543.38,543.38,543.14,543.2,543.62,543.57,543.52,543.75,543.88,543.86,544.06,544.26,544.16,544.0,544.0,544.13,543.94,544.0,544.22,544.43,544.56,544.46,544.29,544.38,544.31,544.21,543.98,544.1,543.98,543.94,543.6,544.02,544.25,544.41,544.44,544.42,544.1,543.92,543.96,543.81,543.8,543.86,541.97,543.66,543.4,543.44,543.25,543.24,543.27,543.6,543.7,543.54,543.66,544.0,543.99,543.88,543.9,543.88,543.91,544.0255,544.06,544.78,544.485,544.37,544.5,545.02,545.2,545.14,545.59,545.33,544.6912,544.69,543.94,543.84,543.695,543.62,543.925,543.31,543.08,543.3601,542.8239,542.68,542.83,543.32,544.14,544.73,545.15,545.22,545.5125,545.81,545.76,545.98,546.18,546.2,546.44,546.53,546.83,546.77,547.015,547.3135,547.36,547.3701,547.2,547.38,547.34,547.2202,547.14,547.21,546.55,546.5801,545.985,545.84,546.24,545.575,545.19,545.0401,545.02,544.9,544.98,544.904,544.67,544.18,544.2501,545.16,545.05,544.99,544.63,544.615,544.75,544.84,544.46,544.74,545.44,545.5,545.69,545.43,544.98,545.63,546.21,546.41,546.54,546.67,547.16,547.28,547.22,547.32,547.28,547.1,547.05,547.05,547.16,547.12,547.16,547.2,547.25,547.25,547.26,547.22,547.26,547.28,547.26,547.27,547.27,547.29,546.9,546.95,547.0,547.08,547.08,547.08,546.9,546.89,546.86,546.85,546.82,546.86,546.88,546.94,547.17,547.22,547.2,547.2,547.1806,547.3,547.0,547.02
2024-09-10,,,,,,,,,,,,,,547.07,546.93,546.86,546.91,546.66,546.67,546.41,546.13,546.26,546.3,546.2,546.2,545.58,545.11,544.92,544.86,545.11,545.11,545.19,545.25,545.76,546.03,546.11,545.72,545.72,546.1,545.74,545.52,545.52,545.87,546.19,546.55,546.33,546.3,546.01,545.86,545.98,546.36,546.31,546.2,546.21,546.35,546.45,546.07,546.17,546.6,546.87,546.86,545.35,546.85,547.21,547.58,547.7,547.78,547.68,547.68,547.87,548.05,547.99,548.01,548.04,548.07,548.06,548.02,548.23,548.26,547.96,547.82,547.77,547.95,547.63,547.68,547.565,546.86,545.71,545.5493,545.6602,545.85,546.27,546.3411,546.2505,546.06,545.66,545.94,546.25,546.11,546.73,546.973861,546.98,547.345,547.09,546.36,546.41,545.83,544.913,544.12,543.38,543.6999,543.56,543.49,544.012,544.13,544.1101,544.36,544.58,544.6264,544.9,545.13,545.03,545.49,545.8001,546.58,546.29,546.25,546.29,546.64,546.855,546.74,546.78,546.84,547.0,547.4,547.38,547.53,547.23,547.5,547.83,547.96,548.03,548.12,547.91,548.0197,548.01,547.97,548.18,548.24,548.37,548.46,548.54,548.14,548.195,548.32,548.26,548.65,548.43,548.59,548.63,548.54,548.28,548.19,548.13,548.13,548.16,548.13,548.21,548.29,548.3863,548.5,548.57,548.55,548.51,548.51,548.5,548.5,548.5,548.55,548.59,548.6,548.35,548.25,548.22,548.4,548.3,548.25,548.34,548.31,548.3,548.34,548.44,548.46,548.49,548.6,548.6001,548.5804,548.61,548.68,548.6,548.63,548.5,548.42,548.28,548.04
2024-09-11,,,,,,,,,,,,,,546.52,547.55,547.39,547.4,547.57,547.7,547.34,547.12,546.85,546.77,546.73,546.75,546.68,546.9,547.23,547.16,546.84,546.55,546.89,547.25,547.18,547.0,547.25,547.55,547.59,547.49,547.4,547.6,547.6,547.14,547.32,547.32,547.53,547.63,547.62,547.69,547.48,547.4,547.6,547.67,547.69,547.6,547.73,547.72,548.18,548.18,548.29,548.06,546.1,548.06,548.16,548.2,548.17,548.21,545.53,546.29,546.24,546.69,547.21,547.55,548.14,548.61,548.55,548.75,549.02,548.49,546.62,546.05,545.7,545.01,544.81,544.5101,543.61,543.75,542.13,541.44,541.2,541.14,540.43,540.6,540.07,539.96,539.96,539.98,540.56,541.1021,541.39,542.2607,541.67,541.83,542.31,542.69,543.92,544.7,544.2701,543.0,544.27,545.52,545.36,545.665,545.675,546.18,546.515,546.55,546.51,546.6995,546.78,546.85,547.34,547.93,548.44,548.53,548.12,548.21,548.8201,548.94,549.26,549.55,549.85,549.37,549.75,550.01,550.04,549.7,549.94,550.36,550.98,551.01,551.78,551.58,551.19,551.15,551.24,551.51,551.88,552.13,552.52,552.99,552.86,552.87,552.08,552.56,552.71,554.05,554.04,554.0757,554.33,554.42,554.35,554.41,554.4,554.45,554.39,554.39,554.37,554.36,554.45,554.44,554.3,554.3,554.3,554.29,554.27,554.27,554.27,554.27,554.33,554.27,554.2,554.27,554.23,554.24,554.24,554.22,554.28,554.38,554.331,554.33,554.33,554.35,554.39,554.3,554.29,554.38,554.3403,554.28,554.25,554.25,554.22,554.21,554.25,554.2
2024-09-12,,,,,,,,,,,,,,554.87,555.04,555.29,555.29,555.24,555.25,555.25,555.6,555.57,555.89,555.6,555.56,555.53,555.92,556.08,556.18,556.24,556.01,556.09,555.99,555.88,555.55,555.56,555.56,555.62,555.63,555.75,555.64,555.56,555.57,555.5,555.89,555.84,556.01,555.75,555.59,555.39,555.37,555.44,555.51,555.5,555.47,555.48,555.6,555.6,555.59,555.72,555.83,555.42,555.98,555.94,555.89,556.08,556.09,555.35,555.0,554.99,555.44,555.11,555.16,555.13,555.41,555.5,555.32,555.25,554.81,554.49,554.48,554.48,552.92,552.74,553.33,553.31,553.4,553.82,555.08,555.39,555.6,555.68,554.33,555.03,555.11,555.25,554.32,554.06,555.2,555.32,555.28,555.2,554.66,554.74,554.92,554.63,554.33,554.43,554.2,554.35,554.615,554.835,555.0,555.03,555.2201,555.21,555.17,555.0,555.475,555.825,556.47,557.0,557.04,557.139,557.4,557.23,557.71,557.68,557.9805,558.25,558.44,558.765,558.7808,558.92,558.32,558.44,558.48,558.51,558.96,558.59,559.08,559.0626,558.73,556.54,557.79,558.195,558.27,558.4064,558.495,558.49,558.35,558.51,558.71,558.78,558.23,558.12,558.29,558.63,558.13,558.0,558.25,558.39,558.47,558.55,558.59,558.67,558.45,558.46,558.3,558.22,558.3,558.25,558.36,558.4009,558.41,558.41,558.33,558.42,558.36,558.38,558.34,558.43,558.6,558.63,558.799,558.71,558.74,558.83,558.74,558.85,558.91,559.0,559.0,558.94,559.2,559.1825,559.18,559.12,559.12,559.183,559.1707,559.2,559.43,559.25,559.15
2024-09-13,,,,,,,,,,,,,,559.34,559.32,559.68,559.67,559.8,559.75,559.53,559.67,559.7,559.99,559.8,559.7,559.86,560.07,560.08,560.11,560.23,560.23,560.25,560.36,560.45,560.42,560.28,560.18,560.31,560.44,560.53,560.37,560.28,560.45,560.46,560.25,560.25,560.25,560.29,560.4,559.91,560.05,560.05,559.98,560.18,560.23,560.3,559.86,559.82,560.07,560.11,560.07,559.23,560.1025,560.13,560.28,560.26,560.18,560.04,559.87,559.49,559.91,560.07,560.3,560.1406,560.11,560.24,560.12,559.99,559.6,559.45,560.1969,560.19,560.6,560.91,560.8,559.93,560.67,560.94,561.18,561.45,561.02,560.27,560.64,561.69,562.05,561.5,561.37,561.6759,561.61,561.51,561.61,561.58,561.75,561.78,561.7,561.99,562.35,562.45,562.5601,562.55,562.18,561.68,561.64,561.59,561.52,561.5,561.35,561.45,561.33,561.37,561.99,562.14,562.29,562.37,562.43,562.2,562.411,562.51,562.4,562.66,562.77,562.81,562.4741,561.32,562.13,562.26,562.18,561.55,561.27,561.13,561.18,561.24,561.37,561.11,561.21,561.02,561.19,561.11,561.28,561.46,561.48,561.71,561.26,561.63,561.76,561.72,561.7702,561.49,561.62,561.56,561.64,561.87,561.95,561.88,561.84,561.77,561.56,561.61,561.58,561.5785,561.602,561.7,561.7475,561.58,561.61,561.61,561.55,561.55,561.6,561.6,561.53,561.75,561.7,561.65,561.75,561.75,561.72,561.68,561.58,561.65,561.58,561.58,561.7,561.7,561.69,561.75,561.75,561.75,561.75,561.6,561.6,561.45,561.45,561.45,561.55
2024-09-16,,,,,,,,,,,,,,562.12,562.45,562.3,562.37,562.48,562.54,562.49,562.27,562.27,562.33,562.42,562.45,562.52,562.46,562.58,562.65,562.64,562.59,562.59,562.57,562.53,562.35,562.35,562.3,562.08,562.0,562.02,562.12,562.1,561.77,561.77,561.71,561.79,561.79,562.21,562.11,562.12,562.0,562.01,561.77,561.6,561.52,561.6,561.66,561.62,561.7,561.65,561.58,561.51,561.43,561.67,561.47,561.42,561.432,561.4815,561.4,561.38,561.34,561.3607,561.43,561.51,561.48,561.41,561.5,561.45,561.44,561.13,560.82,560.84,560.9059,561.77,562.3501,561.63,562.28,562.17,562.4001,561.82,561.06,559.9,559.95,560.74,560.39,560.5514,560.52,560.16,560.42,560.9,560.96,560.995,560.79,560.82,560.67,560.64,560.5,560.59,561.09,560.86,560.81,560.67,560.48,560.34,560.59,560.79,561.07,561.09,560.98,561.25,561.33,561.405,561.4026,561.47,561.41,561.32,561.2,561.61,561.7,561.95,562.2,562.24,562.2501,562.16,562.06,562.31,562.19,562.21,562.34,562.39,562.33,561.92,561.84,562.04,562.02,562.38,562.32,562.05,561.98,561.96,562.05,562.21,562.152427,562.54,562.57,562.49,562.55,562.45,562.45,562.43,562.45,562.48,562.54,562.49,562.48,562.439,562.4,562.35,562.33,562.2,562.15,562.2105,562.21,562.21,562.15,562.1501,562.1255,562.15,562.23,562.0,562.1,562.23,562.38,562.52,562.57,562.71,562.71,562.74,562.82,562.8,562.75,562.73,562.66,562.81,562.71,562.43,562.499,562.5,562.53,562.597,562.52,562.57,562.55,562.56,562.44
