date,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
2024-09-03,,,,,,,,,,,,,,563.5,563.97,564.05,563.86,563.86,563.45,563.15,562.88,562.76,562.78,562.74,562.31,561.76,562.01,561.64,560.9,561.0,561.24,561.14,561.27,561.35,561.11,561.18,561.08,560.75,560.92,560.6,561.0,561.0,560.95,561.21,561.08,561.07,561.0,561.17,561.26,561.29,561.07,560.93,560.76,561.13,560.91,561.33,561.35,561.24,560.87,560.8,561.0,561.2883,560.82,561.15,561.2,561.2,561.09,560.95,561.09,561.26,561.3,561.2602,561.14,560.68,560.85,560.64,560.5,560.7,561.03,560.47,560.26,559.595,559.68,559.28,558.42,559.12,557.41,557.56,556.5499,556.94,557.01,557.18,556.33,556.23,556.09,555.28,555.27,555.35,556.13,556.2227,556.37,556.1496,556.11,556.39,556.41,556.46,555.9,555.93,556.02,555.59,556.01,555.55,555.96,556.12,555.77,555.65,555.49,555.48,555.205,555.08,555.0602,554.88,555.11,555.43,554.85,555.17,555.81,555.665,554.77,555.42,554.74,554.74,554.71,554.33,553.53,553.39,553.43,553.1495,553.15,553.04,553.5801,553.33,553.09,553.01,552.7,552.63,552.71,552.6,552.74,552.655,552.74,552.53,552.17,551.11,550.92,550.825,550.92,552.16,552.38,552.28,552.25,551.75,551.41,551.43,551.3,551.24,551.29,551.239,551.61,551.59,551.59,551.55,551.44,551.45,551.39,551.38,551.35,551.42,551.35,551.42,551.4,551.53,551.35,551.03,551.47,551.7,551.75,551.66,551.76,551.79,551.67,551.631,551.3,551.2215,551.2,551.13,551.5,551.47,551.43,551.12,551.2245,551.1,551.18,550.89,551.15
2024-09-04,,,,,,,,,,,,,,550.13,550.04,549.9,549.89,550.2,550.13,550.5,550.71,550.11,550.09,550.1,550.37,550.17,550.29,550.09,550.13,550.5,550.26,550.2,550.47,550.73,550.7,550.51,550.35,550.69,550.32,550.18,549.8,549.95,550.0,549.94,549.94,550.04,550.05,550.0,549.79,549.79,549.53,549.8,549.7,549.73,549.63,549.95,550.16,550.02,549.71,549.68,549.77,549.6,550.03,550.3,549.9,549.82,549.84,549.97,549.79,549.86,550.35,550.6,550.642,550.51,550.3488,550.42,550.26,550.24,550.16,550.2,551.4,551.15,551.52,552.1,552.345,552.54,551.52,552.45,551.94,551.72,552.26,552.49,553.03,553.04,553.53,553.06,553.36,553.97,554.33,553.4,553.2,553.3095,552.88,552.13,552.13,551.8,551.69,551.89,552.24,551.82,551.3,551.62,551.13,551.59,552.18,552.11,552.97,552.79,551.78,552.0,552.32,552.315,551.62,552.0,551.68,551.64,551.46,551.2,551.15,551.18,550.93,551.16,551.0,550.96,550.75,550.92,551.2292,550.84,551.06,551.35,550.94,550.4,550.44,550.54,550.49,550.07,549.802,549.64,549.66,549.71,550.52,550.73,550.34,550.59,551.1,551.24,551.1,550.82,550.77,550.49,550.19,550.11,550.25,550.59,550.67,550.55,550.71,550.62,550.67,550.77,550.71,550.71,550.78,550.7,550.63,550.7,550.7,550.7,550.7,550.72,550.73,550.75,551.021,551.0,551.0,550.81,550.91,550.95,551.09,550.95,551.03,551.09,551.0399,550.95,550.9,550.79,550.65,550.54,550.27,550.52,550.42,550.14,549.88,549.901,550.03
2024-09-05,,,,,,,,,,,,,,551.94,551.88,551.76,551.75,551.66,551.83,551.77,551.59,551.73,551.73,551.69,551.69,551.57,551.35,551.18,551.2,550.95,550.42,550.7,550.51,550.8,551.11,551.23,550.92,551.09,551.04,551.08,551.08,551.02,551.08,551.09,551.41,551.25,551.25,551.28,551.2,551.37,551.6,551.32,551.15,551.0,551.25,551.56,551.59,551.33,551.26,550.71,550.86,551.3901,550.49,550.42,550.61,549.73,549.39,549.95,550.63,549.91,550.17,550.41,550.11,550.45,550.51,550.96,550.94,550.93,550.92,550.89,550.71,551.43,551.6,551.31,551.79,551.97,553.0,552.89,551.81,552.32,553.46,552.97,553.015,552.82,552.14,550.86,550.8,550.38,549.96,550.33,549.26,549.31,548.77,547.92,547.76,548.08,547.88,548.02,547.74,547.48,548.01,548.33,547.65,547.61,548.245,548.55,548.47,548.39,548.77,548.51,548.45,548.72,548.58,548.34,548.45,548.5,548.505,547.73,548.3,548.81,549.75,550.34,550.075,550.69,550.48,550.5,550.2799,550.545,550.25,549.99,550.2895,550.38,550.34,550.67,550.59,550.15,550.05,549.85,549.5,548.64,548.9,549.31,550.2,549.39,548.6,548.92,548.71,549.53,550.12,550.02,549.83,549.44,549.17,549.25,549.18,549.09,549.23,549.02,549.05,549.14,549.09,549.04,549.09,549.11,549.15,549.15,549.19,549.19,549.25,549.24,549.2,549.33,549.38,549.11,549.01,549.0,548.9,548.93,549.0,548.88,548.96,548.98,549.09,549.0,549.0,548.87,548.85,548.6704,548.77,548.8604,548.93,548.9215,548.9,549.05,549.06
2024-09-06,,,,,,,,,,,,,,547.0,546.53,546.4,546.6,546.2,546.27,546.5,546.46,545.92,545.8,545.65,545.57,545.77,545.74,545.62,545.49,545.59,546.0,546.02,546.02,545.96,545.76,546.05,546.08,546.08,546.12,546.18,546.19,546.16,546.26,546.2,546.19,546.05,545.88,545.88,545.87,545.95,546.08,546.27,546.23,546.26,546.39,546.17,546.43,546.37,546.32,546.59,546.77,546.05,547.03,546.6,546.3817,546.79,547.08,545.7,548.08,549.08,548.23,550.08,549.5,549.77,549.46,549.9,550.03,549.79,550.04,549.94,551.1,549.26,549.9226,549.665,548.39,547.89,547.67,547.44,547.17,547.04,545.75,544.69,544.14,544.18,542.62,542.72,541.84,542.25,543.52,542.41,542.28,541.29,541.58,541.49,542.1,541.61,541.24,540.97,540.9115,540.53,540.48,540.73,540.5901,540.31,540.4716,539.914,540.76,540.26,540.695,539.94,539.88,540.15,540.54,541.12,541.36,541.08,541.97,540.83,540.79,540.31,540.1239,540.1,540.47,540.65,539.99,540.01,540.09,539.87,539.62,540.0,539.8101,539.84,540.308,540.15,540.24,540.45,540.95,541.21,541.11,540.94,541.385,541.33,540.92,540.37,540.35,541.33,540.3,540.42,539.99,540.09,539.96,539.43,538.98,538.75,538.45,538.38,538.42,538.44,538.04,538.68,538.73,538.8,538.8,538.94,538.85,539.0292,539.03,538.97,538.9,538.95,538.6497,538.83,538.6,538.6,538.69,538.62,538.66,538.8,538.78,538.82,538.73,538.75,538.8,538.795,538.724,538.74,538.74,538.7391,538.74,538.74,538.84,538.96,538.77,538.76,538.73
2024-09-09,,,,,,,,,,,,,,542.72,543.65,543.56,543.47,543.28,543.42,543.41,543.41,543.28,543.25,543.64,543.61,543.57,543.75,543.89,544.07,544.08,544.26,544.35,544.14,544.03,544.15,544.18,544.0,544.26,544.55,544.61,544.75,544.45,544.38,544.5,544.27,544.21,544.1,543.98,544.09,544.1,544.18,544.3,544.49,544.44,544.42,544.71,544.11,544.1,543.96,543.98,543.87,544.07,543.74,543.6915,543.44,543.58,543.25,543.27,543.64,543.7,543.73,543.66,544.06,544.06,544.0,543.97,544.08,544.04,544.0255,544.65,545.03,545.03,544.67,544.67,545.09,545.3,545.35,545.59,546.045,545.47,544.94,544.72,544.18,544.1,543.76,544.155,544.18,543.33,543.54,543.615,542.91,542.93,543.49,544.23,544.88,545.28,545.32,545.76,545.86,545.98,546.4,546.28,546.2317,546.61,546.62,546.9001,547.08,547.03,547.35,547.3638,547.42,547.485,547.42,547.66,547.38,547.44,547.21,547.32,546.71,547.145,546.02,546.6,546.25,545.74,545.28,545.26,545.03,545.4215,545.38,544.96,545.1699,544.36,545.27,545.27,545.14,545.07,544.63,545.205,544.85,544.88,544.84,545.58,545.62,545.69,545.92,545.71,545.66,546.39,546.45,546.54,546.67,547.21,547.28,547.35,547.4,547.3692,547.31,547.09,547.08,547.18,547.13,547.2,547.2,547.28,547.28,547.26,547.29,547.26,547.28,547.28,547.29,547.27,547.5,547.28,547.05,547.0,547.08,547.14,547.08,547.071,546.89,546.86,546.9,546.84,546.87,546.88,546.95,547.17,547.26,547.21,547.22,547.1806,547.35,547.3,547.02
2024-09-10,,,,,,,,,,,,,,547.08,547.05,546.92,546.91,546.77,546.67,546.7,546.15,546.32,546.35,546.2,546.2,546.0,545.61,544.94,544.86,545.14,545.14,545.4,545.27,545.83,546.03,546.11,546.03,546.03,546.26,546.02,545.6,545.56,545.87,546.29,546.69,546.33,546.44,546.29,545.98,546.0,546.51,546.51,546.24,546.21,546.38,546.6,546.5,546.17,546.64,546.94,546.91,546.069,546.88,547.22,547.58,547.78,547.78,547.87,547.72,547.89,548.19,548.11,548.12,548.12,548.21,548.14,548.11,548.23,548.42,548.36,548.18,547.84,548.5,548.03,548.23,547.87,547.77,547.78,545.89,546.2301,545.88,547.09,546.41,546.948,546.31,546.665,546.1992,546.52,546.43,546.98,547.03,547.28,547.36,547.45,547.199,546.52,546.51,545.97,545.1,544.15,543.75,543.94,543.6,544.21,544.46,544.265,544.576,544.69,544.9,545.05,545.75,545.13,545.54,545.84,546.67,546.72,546.85,546.36,546.76,546.855,546.97,546.83,546.96,547.0,547.51,547.63,547.59,547.69,547.66,547.8925,548.19,548.25,548.24,548.195,548.25,548.2,548.17,548.22,548.425,548.37,548.55,548.77,548.72,548.195,548.41,548.6,548.82,548.76,548.7,548.68,548.74,548.51,548.3,548.2,548.15,548.18,548.18,548.21,548.29,548.48,548.5,548.57,548.57,548.53,548.53,548.5001,548.5001,548.5001,548.55,548.59,548.6,548.55,548.25,548.32,548.4,548.3,548.35,548.34,548.31,548.3,548.39,548.44,548.46,548.49,548.6,548.64,548.61,548.61,548.68,548.65,548.63,548.62,548.52,548.4,548.24
2024-09-11,,,,,,,,,,,,,,546.52,547.55,547.54,547.4,547.82,547.7,547.64,547.3,547.1,546.78,547.0,546.76,546.85,546.9,547.23,547.2,547.02,546.71,546.89,547.25,547.27,547.0,547.25,547.55,547.59,547.62,547.4,547.6,547.6,547.14,547.32,547.32,547.63,547.68,547.62,547.69,547.61,547.45,547.6,547.69,547.71,547.7,547.73,547.82,548.24,548.27,548.33,548.3,547.53,548.06,548.161,548.2,548.38,548.27,548.58,546.5,547.0,546.69,547.48,547.55,548.14,548.8585,548.73,548.75,549.18,549.25,548.7,546.63,546.15,546.16,545.42,545.08,544.69,544.17,543.88,542.19,541.58,541.66,541.235,540.65,540.8,540.33,540.07,540.36,541.12,541.15,541.65,542.57,542.49,541.93,542.43,542.7,544.06,544.73,544.88,544.29,544.48,545.8385,545.6532,546.09,546.28,546.3109,546.7801,546.71,547.27,546.82,546.82,547.48,547.34,548.07,548.44,548.84,548.63,548.26,548.9,549.115,549.26,549.595,550.62,549.98,549.98,550.21,550.32,550.105,549.97,550.54,551.0,551.51,551.81,552.285,552.11,551.24,551.65,551.51,552.1,552.27,552.64,553.06,553.325,553.4,552.93,552.73,553.27,554.06,554.33,554.09,554.52,554.42,554.609,554.49,554.47,554.4586,554.54,554.43,554.4,554.43,554.49,554.44,554.47,554.35,554.35,554.35,554.3,554.27,554.34,554.3,554.34,554.41,554.42,554.28,554.27,554.24,554.36,554.28,554.42,554.38,554.35,554.33,554.4,554.35,554.39,554.4296,554.31,554.38,554.36,554.35,554.29,554.3,554.22,554.24,554.2725,554.2
2024-09-12,,,,,,,,,,,,,,554.87,555.14,555.29,555.45,555.24,555.4,555.4,555.68,555.57,555.91,555.6,555.63,555.57,555.92,556.08,556.22,556.25,556.05,556.14,556.15,556.0,555.91,555.63,555.63,555.62,555.63,555.75,555.75,555.56,555.61,555.5,555.89,555.84,556.01,555.75,555.66,555.61,555.37,555.44,555.51,555.57,555.48,555.62,555.62,555.6,555.7,555.79,555.93,555.67,556.0494,556.1,555.89,556.17,556.15,556.15,555.4,555.03,555.79,555.39,555.35,555.23,555.43,555.67,555.49,555.34,555.26,555.01,554.86,554.8,554.69,553.2799,553.86,553.81,553.435,553.88,555.41,555.86,555.63,555.82,556.13,555.24,555.57,555.61,555.43,554.41,555.26,555.48,556.355,555.665,555.51,554.96,555.03,555.04,554.71,554.65,554.78,554.47,555.095,555.06,555.14,555.25,555.24,555.4,555.4783,555.22,555.58,555.83,556.64,557.13,557.21,557.32,557.43,557.55,558.0,557.86,558.0,558.45,558.45,558.78,559.12,559.145,559.1101,558.57,558.645,558.545,559.07,559.0801,559.12,559.28,559.14,558.83,557.84,558.66,558.27,558.64,558.625,558.91,558.73,558.76,558.71,558.98,559.06,558.41,558.3,559.02,558.71,558.27,558.32,558.48,558.48,558.66,558.59,558.71,558.65,558.46,558.52,558.22,558.31,558.37,558.36,558.48,558.41,558.41,558.36,558.42,558.36,558.38,558.34,558.43,558.64,558.63,558.799,558.76,558.74,558.87,558.78,558.85,558.91,559.0,559.0,558.94,559.2,559.311,559.26,559.14,559.14,559.183,559.22,559.2,559.45,559.5,559.2296
2024-09-13,,,,,,,,,,,,,,559.38,559.34,559.69,559.67,559.85,559.8,559.79,559.73,559.75,559.99,560.0,559.86,559.93,560.13,560.1,560.15,560.23,560.23,560.25,560.36,560.5,560.42,560.32,560.18,560.31,560.44,560.53,560.43,560.28,560.45,560.49,560.3,560.25,560.25,560.29,560.4,560.51,560.21,560.09,560.08,560.19,560.25,560.32,560.2,559.82,560.19,560.11,560.13,560.5113,560.33,560.229,560.28,560.35,560.21,560.21,560.08,559.81,559.9125,560.1,560.35,560.22,560.19,560.29,560.23,560.12,560.06,559.71,560.32,560.3699,560.83,561.12,560.995,560.99,561.04,561.18,561.26,561.561,562.3,561.11,560.9799,561.7395,562.41,562.26,561.69,561.85,561.92,561.64,561.7,561.71,562.02,561.8799,562.06,561.99,562.35,562.61,562.71,562.65,562.63,562.325,561.94,561.8299,561.67,561.565,561.63,561.56,561.54,561.4,562.1591,562.19,562.33,562.45,562.505,562.68,562.42,562.7301,562.53,562.97,562.89,562.89,562.86,562.57,562.15,562.79,562.42,562.35,561.52,561.41,561.36,561.34,561.4806,561.39,561.3,561.43,561.19,561.29,561.36,561.64,561.7532,561.8,561.845,561.635,561.84,561.82,562.17,561.95,561.62,561.8,561.76,561.9,561.98,561.95,561.86,561.81,561.77,561.61,561.63,561.5785,561.69,561.7,561.75,561.7025,561.65,561.65,561.61,561.55,561.6,561.6,561.53,561.75,561.7,561.7,561.75,561.75,561.78,561.75,561.66,561.65,561.58,561.58,561.7,561.7,561.69,561.75,561.75,561.75,561.75,561.6007,561.6007,561.65,561.65,561.65,561.55
2024-09-16,,,,,,,,,,,,,,562.21,562.55,562.39,562.39,562.5,562.6,562.51,562.32,562.32,562.4,562.42,562.45,562.52,562.5,562.58,562.74,562.65,562.59,562.59,562.62,562.55,562.4,562.4,562.37,562.34,562.12,562.02,562.12,562.1,561.77,561.77,561.72,561.79,561.79,562.21,562.11,562.14,562.0,562.01,561.88,561.76,561.6,561.7,561.66,561.7,561.7,561.8,561.7,562.14,561.52,561.82,561.66,561.48,561.432,561.56,561.48,561.74,561.49,561.51,561.43,561.55,561.5,561.5,561.559,561.5,561.46,561.74,561.14,560.98,561.05,561.81,562.76,562.47,562.3699,562.39,562.51,562.51,561.91,561.46,560.13,560.77,561.14,561.03,560.8,560.72,560.5,560.94,561.0701,561.2,561.385,560.82,561.25,560.89,560.66,560.85,561.331,561.275,560.88,561.19,560.8019,560.57,560.59,561.38,561.13,561.19,561.155,561.31,561.395,561.57,561.4398,561.55,561.53,561.55,561.6599,561.71,561.71,562.26,562.28,562.24,562.34,562.505,562.19,562.31,562.4401,562.29,562.39,562.54,562.57,562.48,562.13,562.28,562.08,562.68,562.39,562.48,562.09,562.2399,562.05,562.245,562.55,562.57,562.68,562.63,562.93,562.89,562.46,562.6,562.47,562.53,562.6785,562.59,562.48,562.5,562.7488,562.41,562.3501,562.4351,562.2,562.29,562.261,562.251,562.2794,562.22,562.237,562.2025,562.23,562.22,562.1,562.23,562.4,562.55,562.57,562.76,562.88,562.74,562.84,562.8,562.8,562.77,562.74,562.81,562.798,562.63,562.499,562.5,562.53,562.67,562.55,562.57,562.55,562.61,562.55
