date,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
2024-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3160.0,1031.0,951.0,1179.0,0.0,1507.0,1927.0,1666.0,776.0,1047.0,1223.0,4464.0,2187.0,1945.0,10437.0,2616.0,3449.0,530.0,4024.0,19049.0,6649.0,5100.0,4031.0,2069.0,6932.0,9030.0,72091.0,5380.0,4049.0,2053.0,8696.0,21608.0,1777.0,6630.0,2669.0,896.0,17700.0,40731.0,8943.0,12896.0,7623.0,5237.0,6192.0,8442.0,28090.0,14603.0,2618.0,3813.0,38048.0,9127.0,10969.0,24624.0,13782.0,24373.0,5263.0,13192.0,8801.0,3144.0,14507.0,63282.0,15390.0,19058.0,19608.0,23078.0,48900.0,195391.0,1536695.0,630647.0,789447.0,705237.0,868068.0,591893.0,1160052.0,826678.0,2591275.0,717520.0,515787.0,593772.0,555894.0,551412.0,607037.0,845953.0,578107.0,455184.0,817955.0,539089.0,440673.0,484527.0,291105.0,270680.0,392617.0,445337.0,435450.0,304362.0,236099.0,330508.0,275449.0,272450.0,225112.0,308635.0,248063.0,327271.0,248540.0,278346.0,379740.0,331646.0,249229.0,143552.0,240650.0,369367.0,302668.0,245374.0,267040.0,133690.0,968650.0,304125.0,316544.0,316544.0,207697.0,591975.0,620432.0,564983.0,418375.0,723656.0,451085.0,570766.0,552569.0,524826.0,589085.0,460015.0,547375.0,435718.0,352760.0,536375.0,704424.0,414912.0,358682.0,1090430.0,815013.0,1599255.0,1433538.0,2338815.0,3013409.0,3964701.0,542680.0,283366.0,5323383.0,115947.0,91711.0,46490.0,51296.0,48863.0,344517.0,12845.0,30334.0,9941.0,5709.0,5262.0,8418.0,11058.0,580.0,1903.0,10182.0,8923.0,15951.0,3767.0,6705.0,38294.0,33648.0,5096.0,4099.0,16093.0,2781.0,4684.0,2700.0,7673.0,4020.0,2109.0,5208.0,3660.0,627.0,4343.0,6359.0,1237.0,3305.0,1647.0,767.0,545.0,37362.0,2540.0,3584.0,3629.0
2024-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11753.0,6810.0,2206.0,2221.0,1135.0,809.0,2404.0,2139.0,2837.0,2614.0,2998.0,1901.0,3542.0,3212.0,818.0,1956.0,1413.0,2232.0,3389.0,2825.0,454.0,2716.0,1132.0,2350.0,1604.0,949.0,1465.0,1712.0,1091.0,1874.0,1113.0,0.0,701.0,2562.0,682.0,1425.0,30329.0,13386.0,5822.0,1464.0,11531.0,11857.0,7730.0,3824.0,9107.0,7601.0,13458.0,13706.0,91528.0,14848.0,22214.0,7179.0,12266.0,18020.0,8039.0,23074.0,9823.0,34934.0,9594.0,10603.0,13584.0,20974.0,13503.0,10570.0,17367.0,71872.0,1094260.0,853654.0,880733.0,588694.0,463430.0,410405.0,1912560.0,1032556.0,1043153.0,561633.0,533689.0,322036.0,870242.0,1116807.0,647633.0,453683.0,187362.0,381422.0,504324.0,519991.0,715576.0,445745.0,330146.0,567943.0,537816.0,252697.0,229763.0,186919.0,174046.0,731478.0,298761.0,405526.0,204254.0,212518.0,205886.0,220685.0,291982.0,263387.0,317177.0,230885.0,178866.0,141250.0,244309.0,173896.0,172369.0,214446.0,236419.0,280305.0,238103.0,243576.0,255489.0,336759.0,274517.0,239696.0,417239.0,411847.0,413330.0,235743.0,212549.0,227279.0,301107.0,358675.0,404882.0,210934.0,255088.0,291486.0,550313.0,365397.0,468493.0,239407.0,480382.0,799620.0,324646.0,549389.0,823844.0,1043488.0,1571425.0,3874968.0,1723438.0,815741.0,1288568.0,733033.0,193317.0,57329.0,185565.0,152892.0,20237.0,14086.0,5529.0,57695.0,561.0,433.0,0.0,3555.0,5893.0,2448.0,3913.0,1086.0,4081.0,2046.0,126.0,2623.0,24127.0,3311.0,1867.0,3869.0,619.0,2084.0,318.0,2570.0,1585.0,1550.0,330.0,1893.0,3109.0,1157.0,1060.0,3918.0,3268.0,2368.0,1225.0,13424.0,41884.0,8579.0,12444.0,13755.0
2024-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6574.0,54334.0,27095.0,2081.0,2701.0,905.0,2310.0,1968.0,1247.0,0.0,868.0,0.0,4159.0,2879.0,3821.0,3181.0,1018.0,4017.0,808.0,226.0,3309.0,1238.0,4738.0,1844.0,3004.0,1652.0,3083.0,0.0,886.0,1019.0,3498.0,1352.0,1473.0,0.0,2154.0,919.0,135201.0,3249.0,7546.0,2143.0,4317.0,14106.0,7584.0,13122.0,9698.0,26507.0,14140.0,12173.0,50613.0,12725.0,8913.0,78087.0,48236.0,21367.0,201203.0,40548.0,25144.0,22165.0,30445.0,18869.0,13742.0,44032.0,22426.0,22769.0,13721.0,36966.0,1423991.0,1171459.0,492522.0,497780.0,328879.0,399807.0,809104.0,502924.0,485519.0,331053.0,446103.0,625501.0,317640.0,225876.0,302609.0,678687.0,593755.0,461561.0,729442.0,407816.0,476444.0,322358.0,457314.0,662566.0,678439.0,502125.0,422809.0,265503.0,332830.0,287976.0,460710.0,257503.0,349688.0,652257.0,523510.0,432426.0,262672.0,247801.0,269727.0,190220.0,157603.0,372903.0,195551.0,212076.0,298902.0,265893.0,112341.0,187895.0,200164.0,256273.0,261964.0,418736.0,245807.0,409831.0,391657.0,390850.0,516843.0,324648.0,158920.0,203502.0,283425.0,207251.0,185824.0,177019.0,352710.0,223498.0,274545.0,194585.0,217934.0,784390.0,505889.0,398037.0,556674.0,577552.0,600249.0,904360.0,1699489.0,3005478.0,446406.0,282054.0,4151205.0,703255.0,108467.0,29117.0,9585.0,42242.0,25443.0,9589.0,16443.0,11312.0,2434.0,6970.0,8168.0,1873.0,2081.0,12333.0,2848.0,180.0,0.0,2317.0,1016.0,8158.0,21005.0,6061.0,4642.0,2879.0,1734.0,4597.0,1726.0,12412.0,693.0,4163.0,1580.0,2136.0,217.0,3620.0,5118.0,4365.0,420.0,544.0,1848.0,1480.0,2037.0,2400.0,2059.0,4013.0
2024-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6986.0,1342.0,2302.0,993.0,439.0,1094.0,1736.0,6114.0,3493.0,998.0,2906.0,3430.0,735.0,2037.0,493.0,1942.0,2692.0,1054.0,366.0,0.0,72230.0,59579.0,1499.0,255.0,205.0,2268.0,360.0,5559.0,1175.0,1200.0,11185.0,2530.0,23834.0,432.0,0.0,814.0,22402.0,7039.0,4148.0,13728.0,3657.0,22033.0,10352.0,8281.0,6565.0,7362.0,22928.0,36487.0,98855.0,23259.0,16623.0,42672.0,54110.0,44368.0,426191.0,344949.0,113727.0,221901.0,241571.0,56904.0,48591.0,26771.0,27587.0,41839.0,55320.0,69519.0,1916959.0,1053900.0,955848.0,560445.0,773957.0,535224.0,760339.0,461657.0,634955.0,589956.0,515810.0,1126209.0,1173674.0,1097423.0,1029934.0,989892.0,1020482.0,1241155.0,2685814.0,988020.0,781861.0,886588.0,802392.0,741052.0,527625.0,415971.0,445267.0,668318.0,521320.0,588314.0,266971.0,462363.0,361965.0,422939.0,343894.0,412390.0,326205.0,356674.0,314372.0,452255.0,334304.0,396304.0,356802.0,446415.0,455155.0,328052.0,289696.0,382568.0,384469.0,333767.0,263210.0,253771.0,287967.0,344305.0,337616.0,319803.0,247507.0,252327.0,301932.0,351072.0,1302412.0,321536.0,274842.0,325917.0,268003.0,548548.0,527914.0,1078093.0,381326.0,430621.0,761707.0,667308.0,745606.0,1365084.0,1265750.0,1243243.0,3358666.0,5593760.0,1449278.0,449148.0,2797711.0,1634272.0,101824.0,54306.0,42595.0,85579.0,31865.0,54713.0,46093.0,67414.0,18238.0,49044.0,9457.0,31240.0,26295.0,30082.0,3844.0,9231.0,3191.0,3018.0,15775.0,4234.0,3257.0,16684.0,4604.0,2221.0,1381.0,847.0,2285.0,3960.0,2051.0,2586.0,2128.0,899.0,1479.0,1346.0,1658.0,2012.0,2116.0,3029.0,2306.0,1736.0,2534.0,858.0,2573.0,6964.0
2024-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30047.0,9348.0,2933.0,3893.0,1568.0,376.0,1336.0,0.0,3704.0,2237.0,634.0,2992.0,1665.0,877.0,5085.0,2341.0,5131.0,1609.0,1150.0,1408.0,1644.0,456.0,1128.0,2249.0,3124.0,3943.0,4035.0,1947.0,7475.0,850.0,6447.0,1765.0,6224.0,1565.0,2792.0,4436.0,281819.0,23310.0,12884.0,24083.0,4838.0,19892.0,33518.0,12061.0,70550.0,18314.0,23391.0,14454.0,109419.0,12626.0,15215.0,20532.0,22770.0,14125.0,25516.0,11799.0,3895.0,19819.0,25516.0,17539.0,20308.0,13428.0,15084.0,28129.0,27225.0,74944.0,1956921.0,704441.0,469468.0,562082.0,702371.0,481086.0,376602.0,406149.0,629990.0,368925.0,552092.0,583788.0,532115.0,510177.0,532642.0,413238.0,294015.0,375448.0,250790.0,269163.0,236752.0,254677.0,329057.0,262571.0,360486.0,226557.0,644674.0,322517.0,324747.0,490195.0,315350.0,269961.0,459088.0,442003.0,227512.0,275844.0,241419.0,272236.0,272746.0,375590.0,200974.0,264402.0,286912.0,400122.0,194082.0,232711.0,201384.0,158554.0,371071.0,234738.0,507966.0,231732.0,226517.0,254777.0,294199.0,479218.0,263567.0,418010.0,225782.0,340765.0,329312.0,436703.0,417520.0,309361.0,305020.0,367533.0,328935.0,327252.0,484534.0,266764.0,432799.0,443705.0,608014.0,429273.0,603500.0,905756.0,862953.0,2971296.0,600060.0,278137.0,874860.0,63393.0,97481.0,37086.0,56438.0,269484.0,5355.0,45119.0,53818.0,43060.0,370.0,8997.0,2263.0,4078.0,635.0,764.0,838.0,7920.0,756.0,1080.0,2266.0,7763.0,70118.0,9654.0,16584.0,4727.0,3529.0,598.0,3487.0,520.0,7849.0,1539.0,393.0,2559.0,3475.0,497.0,686.0,2988.0,3103.0,2417.0,1308.0,1484.0,11605.0,927.0,7101.0,17797.0
2024-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5462.0,5594.0,3141.0,300.0,3263.0,5042.0,2311.0,2814.0,11979.0,1637.0,308.0,0.0,2698.0,4805.0,5068.0,3613.0,550.0,0.0,75076.0,27197.0,3876.0,1181.0,131.0,53638.0,0.0,1724.0,1745.0,4529.0,8302.0,1236.0,10473.0,3866.0,727.0,478.0,1448.0,1558.0,11736.0,12745.0,9296.0,16860.0,4082.0,8851.0,5261.0,22464.0,6473.0,18542.0,72834.0,19499.0,57570.0,11039.0,94914.0,25448.0,9784.0,22095.0,8489.0,12203.0,28572.0,21221.0,22259.0,32282.0,11181.0,16858.0,7066.0,32807.0,36131.0,47668.0,1440600.0,568487.0,425120.0,423505.0,391214.0,533173.0,409207.0,561123.0,646081.0,555619.0,435623.0,517949.0,329846.0,321527.0,322807.0,240214.0,303404.0,236565.0,297824.0,252597.0,290456.0,244586.0,224247.0,233536.0,280781.0,397151.0,211185.0,365998.0,452281.0,492827.0,656195.0,501940.0,275481.0,307873.0,265612.0,301603.0,158366.0,477269.0,441942.0,241105.0,382259.0,396096.0,276503.0,191361.0,357014.0,434951.0,491298.0,273932.0,175344.0,251647.0,426757.0,418710.0,176133.0,189929.0,504842.0,247040.0,267612.0,476511.0,415966.0,316842.0,375289.0,266098.0,285729.0,396599.0,319196.0,328174.0,337421.0,373038.0,451121.0,377225.0,407100.0,638532.0,510131.0,645044.0,565994.0,663971.0,1048342.0,1947407.0,1115594.0,127993.0,395841.0,59992.0,28474.0,33037.0,13465.0,4128.0,6423.0,6146.0,3686.0,14157.0,3362.0,5752.0,1021.0,4017.0,5533.0,0.0,2707.0,0.0,0.0,1097.0,1358.0,2065.0,17977.0,927.0,6583.0,309.0,1614.0,1523.0,496.0,134.0,1560.0,22978.0,4556.0,272.0,1001.0,344.0,960.0,591.0,454.0,836.0,1372.0,1578.0,2069.0,3986.0,3969.0,38390.0
2024-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,1826.0,913.0,909.0,417.0,3422.0,907.0,6256.0,949.0,7379.0,2846.0,3381.0,6060.0,6624.0,3278.0,10595.0,6841.0,4227.0,1642.0,3395.0,1240.0,1079.0,411.0,532.0,956.0,630.0,593.0,110.0,0.0,298.0,1252.0,0.0,1151.0,487.0,325.0,180.0,6990.0,8670.0,12231.0,4189.0,6950.0,9301.0,1508.0,11259.0,3958.0,20137.0,4300.0,25991.0,50104.0,12834.0,7344.0,4122.0,14446.0,43603.0,344424.0,185007.0,117382.0,94993.0,141478.0,60372.0,87482.0,36446.0,40770.0,68833.0,82825.0,113370.0,1161499.0,823711.0,706415.0,686970.0,1037034.0,687472.0,1163984.0,731018.0,1329119.0,1460289.0,1659691.0,997099.0,1032868.0,862924.0,1112318.0,1167226.0,865768.0,789350.0,1000941.0,847370.0,928221.0,513779.0,488755.0,298835.0,437911.0,607569.0,874860.0,733660.0,710132.0,765587.0,1260268.0,590355.0,559562.0,385044.0,452170.0,331462.0,588192.0,340682.0,631823.0,259325.0,337634.0,400024.0,497535.0,726504.0,605086.0,374558.0,528481.0,463445.0,422786.0,339117.0,496439.0,604162.0,916008.0,611265.0,433403.0,365852.0,404445.0,441171.0,316736.0,1067300.0,571259.0,575983.0,1006949.0,862437.0,856196.0,1001714.0,373153.0,600715.0,469202.0,1182270.0,618353.0,1243390.0,876436.0,790746.0,1123595.0,1348716.0,2295604.0,3909517.0,2097164.0,681456.0,6072103.0,577804.0,86548.0,474090.0,21044.0,8912.0,13208.0,9302.0,20423.0,6578.0,2028.0,4666.0,7345.0,4301.0,8625.0,44764.0,5856.0,2691.0,1430.0,4322.0,7892.0,3490.0,19169.0,2369.0,2360.0,6329.0,2517.0,6404.0,4502.0,1397.0,711.0,717.0,4567.0,786.0,907.0,2194.0,1005.0,665.0,1473.0,4228.0,3006.0,2219.0,547.0,11631.0,6723.0,14012.0
2024-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3645.0,3248.0,1444.0,5769.0,2904.0,1899.0,0.0,3194.0,12372.0,802.0,6809.0,924.0,2712.0,2985.0,1429.0,862.0,1469.0,2658.0,1072.0,808.0,2616.0,5577.0,3877.0,0.0,2091.0,1087.0,1009.0,755.0,874.0,981.0,942.0,280.0,1319.0,10501.0,1436.0,10083.0,48998.0,7863.0,3860.0,2018.0,5447.0,10919.0,18439.0,8806.0,3102.0,11474.0,10182.0,6735.0,53401.0,8667.0,11925.0,19575.0,13845.0,15372.0,110445.0,19631.0,108762.0,52108.0,65453.0,28299.0,20270.0,15465.0,19689.0,18741.0,23721.0,136786.0,1303338.0,695704.0,669394.0,848816.0,607317.0,375629.0,796240.0,393479.0,666869.0,797235.0,436241.0,575241.0,443162.0,673333.0,374026.0,375660.0,453077.0,1088230.0,476291.0,357668.0,600244.0,521305.0,174847.0,372065.0,573117.0,293944.0,277939.0,332386.0,388915.0,212265.0,336178.0,196808.0,170639.0,350676.0,539236.0,217351.0,246804.0,395668.0,210796.0,205076.0,357528.0,592642.0,467509.0,262309.0,830875.0,382053.0,421772.0,453483.0,330844.0,391477.0,328779.0,421859.0,510889.0,544219.0,427459.0,524653.0,538138.0,326926.0,696495.0,488566.0,381081.0,247096.0,366728.0,792444.0,1019662.0,523712.0,606367.0,435957.0,544170.0,486149.0,352032.0,404974.0,615888.0,948065.0,745542.0,1187338.0,1427162.0,3896704.0,338495.0,136422.0,4466539.0,236235.0,286799.0,7194.0,40879.0,3879.0,499274.0,8166.0,30446.0,8802.0,2257.0,18804.0,12280.0,7619.0,5725.0,3949.0,0.0,2247.0,237.0,180.0,1345.0,5979.0,5989.0,3509.0,4344.0,565.0,3583.0,6067.0,1388.0,5356.0,924.0,2960.0,188.0,2722.0,2722.0,8297.0,3130.0,5189.0,1767.0,0.0,595.0,2264.0,12693.0,2014.0,3078.0,3871.0
2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4879.0,2216.0,1138.0,1231.0,1387.0,1065.0,4341.0,1346.0,7016.0,19135.0,3111.0,1981.0,1048.0,1487.0,1677.0,1021.0,662.0,0.0,1362.0,3953.0,3274.0,1717.0,1043.0,1323.0,1672.0,1261.0,323.0,974.0,5216.0,501.0,662.0,2795.0,728.0,597.0,1031.0,624.0,228457.0,13356.0,3893.0,8306.0,5366.0,6688.0,1891.0,1716.0,2248.0,1276.0,2682.0,24091.0,38351.0,11190.0,1659.0,5438.0,13870.0,4429.0,6376.0,10679.0,29102.0,10137.0,15018.0,16849.0,4446.0,20967.0,6064.0,11684.0,11203.0,79415.0,1448005.0,610779.0,411038.0,581305.0,374935.0,352823.0,841276.0,462034.0,418082.0,348058.0,448729.0,603969.0,722731.0,402559.0,592136.0,436041.0,440045.0,346517.0,205741.0,326518.0,426797.0,218574.0,406639.0,297990.0,316468.0,255086.0,283849.0,488648.0,192392.0,358760.0,340651.0,273031.0,391876.0,281576.0,174558.0,292507.0,149252.0,222299.0,302596.0,196858.0,317074.0,272003.0,318750.0,265645.0,191367.0,186275.0,303690.0,192862.0,393544.0,253658.0,211532.0,117874.0,132244.0,460855.0,706344.0,343350.0,302292.0,230444.0,369378.0,423436.0,271431.0,170415.0,355626.0,350100.0,283130.0,184934.0,270045.0,261215.0,253194.0,367568.0,653384.0,304631.0,492611.0,334131.0,365908.0,672284.0,1178678.0,2817390.0,780888.0,510488.0,3113652.0,121079.0,100310.0,46604.0,19872.0,135405.0,4126.0,11585.0,6892.0,22390.0,150.0,499.0,665.0,1966.0,3892.0,1388.0,485.0,448353.0,1225.0,523.0,448.0,2578.0,5527.0,2730.0,21072.0,8840.0,0.0,7667.0,1705.0,2863.0,468.0,105.0,0.0,223.0,0.0,11137.0,2355.0,909.0,2059.0,0.0,583.0,0.0,6131.0,0.0,0.0,2315.0
2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9324.0,1120.0,3135.0,485.0,1083.0,357.0,510.0,1220.0,0.0,947.0,146.0,1350.0,674.0,1081.0,775.0,985.0,1020.0,409.0,315.0,1534.0,759.0,404.0,0.0,731.0,897.0,6205.0,4160.0,927.0,305.0,137.0,0.0,409.0,4117.0,0.0,212.0,454.0,4702.0,2856.0,277.0,1551.0,19800.0,5594.0,15570.0,8663.0,18086.0,5595.0,3720.0,2194.0,33456.0,31545.0,9738.0,63334.0,9374.0,5851.0,15423.0,12643.0,8656.0,13645.0,8219.0,12631.0,32595.0,19161.0,16198.0,6427.0,6602.0,63108.0,1238363.0,822177.0,479270.0,471605.0,558915.0,518910.0,393695.0,372231.0,230329.0,361440.0,321000.0,636700.0,704581.0,638623.0,481613.0,487353.0,415326.0,257455.0,442091.0,400066.0,262885.0,258708.0,418913.0,374302.0,506473.0,220629.0,186045.0,223269.0,246429.0,232252.0,404560.0,248338.0,252221.0,322395.0,285468.0,226586.0,451843.0,623611.0,160443.0,263564.0,357815.0,171290.0,213017.0,161311.0,307400.0,142787.0,127869.0,330574.0,166896.0,177923.0,307620.0,411730.0,234909.0,201059.0,358528.0,318051.0,195861.0,770280.0,224526.0,152556.0,206831.0,217768.0,383112.0,268713.0,268433.0,893631.0,318666.0,157429.0,479784.0,583774.0,488168.0,332074.0,1491091.0,394449.0,315914.0,860342.0,1457239.0,2490642.0,555008.0,99206.0,661995.0,52034.0,21009.0,139493.0,15533.0,10319.0,14346.0,24591.0,4573.0,12522.0,8256.0,8320.0,1152.0,1326.0,2069.0,12163.0,1528.0,7865.0,3963.0,7494.0,31430.0,18343.0,41309.0,5385.0,4670.0,4898.0,3228.0,2426.0,1144.0,1984.0,988.0,1726.0,750.0,2280.0,4336.0,496.0,5363.0,978.0,884.0,2352.0,2023.0,3103.0,1921.0,2002.0,1761.0,9905.0
