date,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
2024-09-03,,,,,,,,,,,,,,564.0583,564.0312,563.9626,563.8476,563.8476,563.366,563.0399,562.812,562.8073,562.82,562.5126,562.1716,561.8479,561.9263,561.0853,561.0271,561.0168,561.2956,560.9605,561.3777,561.2801,561.1225,561.0896,560.9715,560.6423,560.5903,560.88,560.9378,560.9781,561.1639,561.1678,560.9032,561.0702,561.0129,561.2901,561.3013,561.1486,560.9315,560.6958,560.9531,561.0458,560.9583,561.328,561.3693,561.1178,560.9573,560.8111,561.048,561.4485,560.942,561.098,561.1317,561.3805,561.0269,560.9841,561.2647,561.3595,561.3258,561.277,560.7614,560.6679,560.7851,560.5336,560.4536,560.8705,560.5437,560.3894,559.7993,559.555,559.4187,558.6452,558.6899,558.1264,557.3978,561.3127,556.676,557.0345,557.2095,556.4257,556.3133,556.2184,555.6929,555.4199,555.4249,555.8685,556.3715,556.4473,556.2871,556.2076,556.4047,556.3155,556.6396,556.0161,556.0376,555.8265,555.7414,555.9042,555.812,555.5523,556.1916,556.1202,555.4853,555.5171,555.3715,555.131,554.9743,555.0637,554.9565,554.9976,555.343,555.0135,554.9545,555.5671,555.6784,556.2556,555.0895,555.1086,554.8212,554.766,558.5479,553.7853,555.8184,553.5,558.8473,553.1996,555.5957,553.3397,555.9094,555.5295,556.0697,552.8699,552.6797,552.7267,555.3552,554.7828,552.6691,552.7758,557.7902,554.2088,552.389,551.9003,553.2139,550.8994,551.6236,552.2451,552.2489,553.4079,551.8263,551.6416,551.3765,551.4898,551.3926,552.027,551.1248,551.4315,551.4883,551.4502,551.5781,551.4715,551.4074,551.473,551.3886,551.3886,551.3762,551.3599,551.3782,551.4158,551.3787,551.6664,551.1284,551.362,551.5137,551.7296,551.6111,551.6983,551.7694,551.7667,551.7034,551.5758,551.2833,551.2348,551.1451,551.2388,551.4697,551.4507,551.2897,551.1706,551.2702,551.0111,551.0937,550.9542,551.1893
2024-09-04,,,,,,,,,,,,,,550.1071,549.9608,549.9619,549.9769,550.0545,550.2612,550.6204,550.5287,550.0286,550.1073,550.0814,550.2256,550.1508,550.087,550.0725,550.3507,550.4775,550.2862,550.3481,550.5261,550.7194,550.7738,550.3936,550.3845,550.4733,550.2587,550.0418,549.8559,549.9351,549.9816,550.0137,550.0137,550.0204,550.0741,549.9985,549.7766,549.6548,549.6401,549.8922,549.6962,549.7513,549.8153,550.0055,550.1703,549.8338,549.7076,549.67,549.9236,549.8308,550.1828,550.0274,549.8587,549.8264,549.9365,549.8816,549.747,550.1776,550.5705,550.6132,550.6252,550.4896,550.4683,550.3321,550.2779,550.2319,550.1893,550.5316,551.3215,551.8282,551.7879,552.0024,552.2905,551.167,551.9415,552.3233,551.9072,551.7626,551.9601,552.7725,552.7144,553.1858,553.1145,553.1746,553.7093,554.1207,554.035,553.4362,553.1193,552.901,552.5174,551.9074,552.0128,551.6931,552.0058,552.0706,551.7382,551.6535,551.3428,551.4742,551.6641,551.8622,552.1423,552.6045,552.9044,552.3277,551.8579,552.1706,552.2179,551.8656,551.8555,551.9817,551.6227,551.7498,551.284,551.1455,551.1399,551.1274,551.2781,550.9194,550.9682,550.8716,550.8888,551.031,551.1288,550.8602,551.3439,551.2967,550.6165,550.5868,550.5011,550.3403,550.3413,549.9391,549.6938,549.7799,549.8059,550.177,550.9262,550.4462,550.4514,550.8362,551.0756,551.4633,551.2407,551.2043,551.2096,551.1069,551.0182,550.2318,550.4429,551.6115,550.9325,550.5952,550.6415,550.6562,550.7669,550.7649,550.7561,550.7561,550.7192,550.6894,550.7076,550.673,550.6999,550.6707,550.6954,550.716,550.7341,550.891,551.0183,551.0282,550.909,550.799,550.8841,550.9988,551.1151,550.9579,551.0706,551.0761,551.0187,550.9105,550.8,550.7033,550.57,550.4718,550.3125,550.5096,550.1427,549.7884,549.8915,549.9985,550.1254
2024-09-05,,,,,,,,,,,,,,551.923,551.7909,551.7069,551.695,551.566,551.8468,551.6554,551.6289,551.6957,551.6957,551.8044,551.8044,551.4955,551.3824,551.1635,551.148,550.7835,550.5814,550.7119,550.5244,550.8949,551.193,551.1274,551.0011,550.93,551.1114,551.1084,551.1084,551.0613,551.0736,551.1195,551.3957,551.2793,551.2793,551.1627,551.3155,551.4999,551.4984,551.0815,551.1458,551.1721,551.2281,551.6607,551.5426,551.2531,550.9834,550.7077,550.7514,550.8871,550.3744,550.4318,550.188,549.5118,549.627,550.507,550.1596,550.0219,550.2861,550.1317,550.4406,550.5399,550.5203,550.8922,550.9856,550.9649,550.9742,551.2134,551.5355,551.5162,551.5749,551.4963,551.9067,552.8947,553.1071,552.1835,551.9499,552.8686,553.4732,553.1515,552.8964,552.5586,551.2959,550.7146,550.7764,549.8122,550.1709,549.6244,549.3802,549.0339,548.1594,547.8467,548.1986,548.0505,548.0438,547.941,547.6589,547.9744,548.2048,547.8033,548.16,548.7381,548.4677,548.4564,548.4721,548.7402,548.575,548.5065,548.9172,548.7527,548.3329,549.8837,548.1401,548.3763,548.1919,547.9703,548.7608,549.3252,550.2103,550.2564,550.3901,550.597,550.5448,550.5525,550.5,550.4316,550.0489,550.2681,550.4293,550.286,550.5321,550.8416,550.4193,549.9539,549.8791,549.701,548.8362,548.6774,549.0196,549.7981,549.8875,548.8096,548.68,548.5012,548.9726,549.7033,549.8048,549.5996,549.5602,549.447,549.1567,549.206,549.2312,549.232,549.0259,549.0524,548.8578,549.1337,549.0375,549.065,549.1043,549.1259,549.0683,549.1481,549.1461,549.1461,549.1711,549.2393,549.2165,549.344,549.2175,549.0499,549.006,548.9441,548.7841,548.9421,548.8391,548.925,548.9481,549.0551,549.1098,549.0109,549.0015,548.8513,548.7892,548.7797,548.7766,548.8945,548.9115,548.9183,549.0149,549.0134,549.0268
2024-09-06,,,,,,,,,,,,,,546.3808,546.4931,546.4615,546.403,546.1859,546.3603,546.4421,546.2004,545.9636,545.7017,545.615,545.7375,545.7384,545.7622,545.6461,545.4465,545.7901,545.984,546.086,546.086,545.8381,545.8614,546.3283,546.1243,546.1179,546.1865,546.2088,546.129,546.1152,546.2722,546.203,546.0864,545.9932,545.9002,545.9002,545.9408,546.078,546.1472,546.2293,546.2604,546.3468,546.3755,546.2166,546.2937,546.3081,546.3796,546.6436,546.7912,546.801,546.9223,546.5019,546.7668,546.967,546.9882,547.652,548.7521,548.5393,549.2245,550.0885,549.6711,549.6409,549.9077,549.8311,550.0687,550.3005,549.9202,550.4465,550.4872,549.3779,550.0924,549.1192,548.4372,547.7803,547.4994,547.1914,546.8527,546.5516,545.5069,545.1452,544.0564,543.4195,542.9031,542.3543,543.5165,544.815,543.1821,542.3183,541.5144,541.5917,541.593,542.0794,541.7787,541.4446,540.7655,540.5387,540.9261,540.6032,540.6795,540.6898,540.3611,540.3684,540.2014,540.271,540.7258,540.4541,540.2456,539.8394,540.056,540.2456,540.6675,541.2607,541.2416,541.6458,541.4178,541.0567,540.4138,540.1648,540.1409,540.2699,540.7867,540.3291,539.9953,540.1528,540.0362,539.7875,539.7614,539.9878,539.7169,539.9945,539.9711,539.9812,542.5461,542.8423,541.1923,541.1779,541.08,542.5708,541.5486,541.1549,541.3913,541.3545,540.7855,540.7921,540.8177,545.8201,545.3776,540.0625,540.0626,539.1046,538.9029,538.6797,538.4845,538.3027,538.4586,538.0668,538.3681,538.544,539.8996,538.6658,538.8777,538.9524,538.9432,538.971,539.0035,538.953,538.8891,538.8294,538.6504,538.6558,538.6035,538.6004,538.6639,538.6249,538.7146,538.7522,538.75,538.7644,538.799,538.7378,538.7285,538.7649,538.7202,538.729,538.7264,538.7317,538.7711,538.7677,538.8264,538.8758,538.7713,538.7504,538.7389
2024-09-09,,,,,,,,,,,,,,543.6439,543.6871,543.6357,543.431,543.2541,543.4081,543.464,543.464,543.25,543.3605,543.6294,543.6021,543.5679,543.8263,543.9476,544.0568,544.1053,544.2803,544.2497,544.1003,544.0206,544.1436,544.0175,544.2105,544.332,544.5585,544.6542,544.595,544.475,544.4463,544.4765,544.2477,544.0991,544.1768,544.0247,543.971,544.05,544.19,544.3703,544.4948,544.45,544.5926,544.4901,544.0754,544.0564,543.9545,543.8641,543.953,543.7708,543.7165,543.5451,543.6242,543.4349,543.3,543.496,543.6914,543.7261,543.6565,543.8157,544.0792,544.0696,544.0281,543.9855,544.1005,543.9914,544.4769,544.5876,545.0204,544.786,544.6643,545.0209,545.2788,545.3542,545.3775,546.0456,545.8242,545.2159,544.923,544.2879,544.1664,542.177,543.9291,544.091,543.8194,543.4677,543.7182,543.1515,542.8519,543.1013,543.7494,544.6814,544.9878,542.271,543.42,545.7588,542.9488,546.1538,546.2232,542.9541,542.845,546.5792,546.8064,546.996,547.0034,547.3225,547.4525,547.5125,547.5308,547.4439,545.2175,547.5202,547.457,547.2991,547.3048,546.8705,546.9443,544.9805,546.3773,546.453,546.0282,545.5427,543.9085,545.1753,545.2338,545.2593,545.3257,544.9896,544.7104,544.9065,545.2927,545.3315,545.1392,544.9053,544.9771,544.9459,545.033,544.7045,545.2124,545.6881,545.7328,546.0039,544.1864,545.5164,545.4237,546.4842,546.5733,546.402,547.0328,547.2258,547.3357,547.3249,540.6328,547.3306,546.6244,547.0938,547.0914,547.1657,547.147,547.1831,547.2582,547.254,547.2633,547.2584,547.3266,547.2655,547.3065,547.3342,547.2856,547.483,547.4337,547.1169,547.0236,547.059,547.1232,547.1145,547.0824,546.9792,546.8879,546.8822,546.8857,546.8566,546.8663,546.9472,547.0263,547.2565,547.2477,547.2028,547.247,547.3109,547.34,547.1491,547.0999
2024-09-10,,,,,,,,,,,,,,547.1106,546.9943,546.8964,546.9476,546.7436,546.7096,546.5242,546.156,546.3236,546.3443,546.2007,546.2007,545.917,545.3589,544.9881,544.9957,545.2087,545.2087,545.2736,545.2752,545.9513,546.0871,546.1226,545.7972,545.7972,546.2013,545.8967,545.558,545.6548,546.1815,546.4362,546.5699,546.3395,546.3801,546.1133,545.9728,546.2327,546.4323,546.4184,546.3082,546.3045,546.5011,546.5267,546.4104,546.4426,546.8123,546.9498,546.9575,546.1586,546.9791,547.263,547.6971,547.748,547.8246,547.7408,547.7654,548.1273,548.173,548.0669,548.0934,548.1215,548.1628,548.0991,548.1137,548.3875,548.3896,548.3571,548.0124,548.0888,548.3038,547.9898,548.0697,547.7997,547.4926,546.4654,545.9886,546.0145,546.565,546.6595,546.74,546.6779,546.4389,546.1623,546.2644,546.447,546.4849,547.0589,547.1928,547.162,547.5365,547.4509,546.8783,546.623,546.2501,545.198,544.7908,543.8684,543.9692,543.9034,543.9162,544.2586,544.2998,544.3841,544.5781,544.846,544.8201,545.3318,545.4996,545.307,545.6328,546.4248,546.7345,546.5546,546.5678,546.5765,546.7861,547.0091,546.7613,546.9995,546.9564,547.5289,547.5653,547.5877,547.7745,547.5478,547.7032,548.1133,548.1273,548.1941,547.6529,548.1594,548.2304,548.1711,548.1981,547.7992,548.3548,548.5281,548.1909,548.7191,548.0242,548.4068,548.5483,548.5533,548.5831,548.3963,548.676,548.7821,548.6442,548.3284,548.2555,548.188,548.1668,548.1985,548.1854,548.2565,548.3569,548.4259,548.5684,548.5665,548.5996,548.558,548.558,548.5264,548.5264,548.5264,548.5914,548.5978,548.6002,548.4057,548.2552,548.2922,548.4001,548.359,548.281,548.3271,548.3076,548.3809,548.3623,548.4529,548.4594,548.5625,548.6143,548.6328,548.5912,548.6579,548.6787,548.633,548.632,548.5357,548.4704,548.3306,548.2241
2024-09-11,,,,,,,,,,,,,,547.6613,547.7464,547.4479,547.5282,547.7184,547.7083,547.5787,547.1937,546.994,546.9616,546.7739,546.7653,546.848,546.9356,547.2867,547.1725,546.8542,546.6999,547.0669,547.2569,547.2181,547.1166,547.2936,547.5502,547.6347,547.5732,547.4397,547.6009,547.6009,547.2353,547.3507,547.3507,547.5987,547.6616,547.6324,547.6752,547.5829,547.4708,547.6675,547.6831,547.7161,547.6524,547.7782,547.9299,548.2291,548.2191,548.3223,548.1889,547.8398,548.1559,548.1907,548.3053,548.3313,548.3826,546.3815,547.0368,546.489,547.2904,547.4384,548.0156,548.7963,548.7479,548.7876,549.0514,549.2302,548.9209,547.9505,546.5901,546.1237,545.6109,546.0541,544.9372,545.7068,545.6735,545.4078,543.0085,543.309,543.4181,541.7081,542.0707,542.361,543.0075,543.7634,540.5237,540.8223,541.7931,543.1184,542.5673,542.0368,542.2485,542.7648,543.4389,545.0886,545.6011,544.5734,543.6966,544.7459,546.0544,545.8008,545.9263,546.226,546.5651,547.2713,546.9165,547.7032,546.8979,547.217,547.2196,547.8712,548.5015,548.8983,548.711,548.4335,548.7831,549.0344,549.1336,549.4699,550.1563,550.2436,549.7664,549.9835,550.2452,549.8862,550.0166,550.1671,550.6679,551.2635,551.4096,552.1649,551.5253,551.2653,550.9737,551.5166,551.9485,552.1754,551.3598,552.8364,551.4649,553.2696,552.4813,552.6689,552.5379,553.3218,554.6259,553.0956,553.4224,554.1905,549.5874,554.5639,549.987,554.4907,554.4846,554.4379,554.4236,554.4113,554.4097,554.4644,554.4712,554.4195,554.3393,554.4037,554.4007,554.2891,554.2862,554.3075,554.3066,554.3562,554.3796,554.3268,554.2957,554.2706,554.2648,554.2955,554.2711,554.3715,554.4193,554.3511,554.3533,554.3921,554.3553,554.4101,554.3445,554.3114,554.3745,554.3514,554.3231,554.2887,554.2817,554.2335,554.2347,554.2772,554.2619
2024-09-12,,,,,,,,,,,,,,555.3651,555.1563,555.3589,555.3547,555.2986,555.3347,555.3347,555.6171,555.7142,555.8928,555.613,555.6052,555.5429,555.9592,556.1348,556.1908,556.2386,556.0543,556.1163,556.0669,555.9397,555.8277,555.6266,555.6266,555.6349,555.6629,555.7889,555.6823,555.5805,555.578,555.5488,555.8636,555.9298,556.034,555.7585,555.636,555.4855,555.425,555.5176,555.5614,555.5605,555.6038,555.5373,555.6382,555.6192,555.6703,555.7538,555.8834,555.8483,556.0259,555.9827,556.1055,556.1452,556.1862,555.9097,555.2171,555.4103,555.7822,555.3078,555.2498,555.2685,555.5177,555.631,555.4851,555.369,555.1244,554.8735,554.9563,554.8068,553.9554,553.3668,553.6029,553.9983,553.6914,554.7864,555.51,555.8043,555.2919,555.9364,555.036,555.4622,555.4384,555.2473,555.0242,554.6632,555.5287,556.1105,555.7556,555.4944,555.203,554.9279,555.2403,555.0688,554.5946,554.7111,554.5534,554.7074,554.8963,555.0036,555.16,555.2415,555.3919,555.0177,555.4444,555.3939,555.6635,556.3285,556.8558,557.1478,557.2352,557.268,557.5258,557.6229,557.9625,557.887,558.2448,558.4388,558.6582,558.9935,559.1122,557.8349,558.7833,557.6933,558.6293,558.0668,557.9762,558.9476,559.2435,559.2228,556.9537,557.4523,558.2115,557.6777,557.4412,557.724,557.698,558.6899,558.6258,558.7128,557.262,558.2726,558.2574,558.5058,558.184,558.7976,558.3681,558.7881,558.4086,555.1494,558.6138,558.6037,558.6159,559.0866,558.5324,558.5233,558.3624,558.2792,558.4118,558.3046,558.4252,558.4739,558.4694,558.4694,558.3382,558.4033,558.3611,558.3862,558.3772,558.5133,558.6498,558.7268,558.7977,558.7459,558.8088,558.895,558.7608,558.8518,558.9701,558.9964,559.0298,559.0763,559.3036,559.2704,559.2507,559.1338,559.1338,559.1931,559.1866,559.3722,559.4466,559.4115,559.246
2024-09-13,,,,,,,,,,,,,,559.4529,559.4903,559.7409,559.7471,559.8628,559.7969,559.7441,559.71,559.7122,559.9994,559.9644,559.7353,559.9071,560.0878,560.1474,560.142,560.2329,560.2329,560.281,560.4386,560.5065,560.4382,560.3193,560.2416,560.3176,560.4864,560.552,560.4258,560.3921,560.4647,560.4704,560.3223,560.258,560.2571,560.3743,560.4141,560.1547,560.1378,560.0983,560.0418,560.1825,560.2623,560.3051,560.0408,559.981,560.1071,560.2111,560.2196,560.0477,560.1977,560.2174,560.348,560.3695,560.2347,560.2049,559.9638,559.7213,560.0646,560.1524,560.3649,560.2039,560.2507,560.2731,560.1974,560.0468,559.9335,559.8613,560.4237,560.4712,560.9762,561.096,561.0203,560.8824,560.9759,561.3106,561.5794,561.8029,561.7109,560.7592,561.2252,562.0571,562.2785,561.8045,561.748,561.8493,561.8595,561.7406,561.7429,561.835,562.0085,562.037,562.0008,562.2862,561.6242,562.6373,562.6981,562.769,562.4,562.1572,561.788,561.7094,561.6142,561.5754,561.4928,561.555,561.4298,561.9041,562.1364,562.2723,562.4677,562.4606,562.6096,562.5654,562.5793,561.5372,562.7416,562.8662,562.9101,562.908,561.668,561.9282,562.5856,562.6252,562.3522,561.9916,561.4572,561.3095,561.3477,561.5458,561.5271,561.2696,561.3562,560.948,561.3561,561.2954,561.5743,560.0737,561.7685,561.078,561.6465,561.7311,561.3766,561.6718,561.6153,560.864,560.4047,561.6971,561.7349,561.9468,562.0214,561.9005,559.1312,561.7994,561.62,561.6474,561.619,561.5935,561.653,561.7211,561.7507,561.5979,561.6428,561.6483,561.9318,561.5709,561.5923,561.5744,561.7094,561.748,561.7459,561.7316,561.7799,561.7799,561.796,561.704,561.6079,561.6497,561.5825,561.5825,561.6906,561.6906,561.7465,561.7507,561.75,561.7443,561.7443,561.6273,561.6273,561.4895,561.4895,561.4895,561.5876
2024-09-16,,,,,,,,,,,,,,562.4021,562.5086,562.407,562.3791,562.5074,562.5707,562.4926,562.2977,562.2977,562.3755,562.4145,562.5304,562.5279,562.4781,562.6306,562.7029,562.6404,562.5899,562.5949,562.6031,562.5452,562.3698,562.3698,562.3269,562.1539,562.0098,562.0426,562.1344,562.099,561.7766,561.7766,561.7153,561.8554,561.8554,562.2062,562.1147,562.1529,562.042,562.0288,561.8164,561.6913,561.5848,561.6241,561.6996,561.7506,561.8234,561.7501,561.6833,561.9608,561.5107,561.7799,561.5849,561.4508,561.5187,561.5825,561.6715,561.4787,561.4133,561.4138,561.5386,561.6294,561.5401,561.4792,561.5327,561.4913,561.6374,561.7735,560.9923,560.9905,561.2766,562.2196,562.5818,562.3365,562.4828,562.4507,562.5338,562.1949,561.4703,560.5584,560.908,560.9743,560.8548,560.9677,560.7599,560.4057,560.7806,561.1213,561.1286,561.1607,561.0787,560.9966,560.8669,560.7587,560.6888,560.9675,561.2473,561.4377,561.1135,560.9884,560.6808,560.5311,561.1538,561.0627,561.5701,561.2188,561.1567,561.3844,561.4981,561.5012,561.4793,561.7477,561.5391,561.4812,561.5804,561.7021,561.9487,562.1851,562.2225,562.3845,562.4331,562.396,562.1441,562.4614,561.783,562.3835,562.5005,562.5365,562.5571,562.1548,562.1125,562.1949,562.1476,562.5569,562.4957,562.171,562.0866,562.047,562.1208,562.316,562.4759,562.6677,562.4104,562.5183,562.6629,562.7178,562.524,562.6976,562.4926,562.5131,562.5809,562.5398,562.5425,562.4754,562.6245,562.3759,562.346,562.2506,562.1653,562.2842,562.2577,562.2332,562.1567,562.2312,562.1818,562.1867,562.2454,562.0959,562.2271,562.3729,562.5014,562.5594,562.6707,562.776,562.8207,562.774,562.8317,562.8228,562.7836,562.7786,562.6819,562.81,562.7492,562.524,562.5343,562.5234,562.6468,562.6442,562.5423,562.5744,562.5667,562.6003,562.4765
