pattern,count,frequency_%,total_change,avg_change,std_dev,min_change,max_change,win_rate,return_risk_ratio,avg_volume
PPP,5241,10.91,2182.8577,0.4165,0.5212,0.0299,14.8650,100.00%,0.7992,271287
OPP,493,1.03,92.9117,0.1885,0.2383,0.0099,2.6200,100.00%,0.7909,119164
POP,464,0.97,80.6175,0.1737,0.2230,0.0199,3.0300,100.00%,0.7791,113461
PPO,471,0.98,79.0680,0.1679,0.1597,0.0100,1.2400,100.00%,1.0511,114649
NPP,5313,11.06,756.5082,0.1424,0.3917,-2.3300,16.7550,77.87%,0.3635,267546
PNP,5490,11.43,776.5674,0.1415,0.3195,-5.5319,8.2100,78.52%,0.4427,249067
PPN,5320,11.08,711.5860,0.1338,0.2886,-2.0800,5.4700,77.26%,0.4635,251743
OOP,94,0.20,6.5052,0.0692,0.0982,0.0022,0.6000,100.00%,0.7046,40364
OPO,89,0.19,4.7898,0.0538,0.0443,0.0100,0.2500,100.00%,1.2141,75590
POO,79,0.16,4.1072,0.0520,0.0472,0.0005,0.1900,100.00%,1.1015,33190
NOP,450,0.94,6.8708,0.0153,0.2358,-0.6200,4.4400,46.00%,0.0647,113763
PNO,475,0.99,4.1079,0.0086,0.1134,-0.5300,0.9900,46.32%,0.0763,107156
OOO,55,0.11,0.0000,0.0000,0.0000,-0.0001,0.0001,1.82%,0.0000,8879
ONP,467,0.97,-3.1994,-0.0069,0.1436,-1.5300,0.8000,41.54%,-0.0477,86562
OPN,477,0.99,-5.2283,-0.0110,0.1432,-1.3200,0.4700,42.35%,-0.0766,109468
NPO,493,1.03,-6.4781,-0.0131,0.1521,-2.7700,0.3800,39.15%,-0.0864,94732
PON,473,0.98,-8.7041,-0.0184,0.1968,-2.2736,0.4400,48.63%,-0.0935,143257
ONO,78,0.16,-4.1801,-0.0536,0.0750,-0.5000,-0.0099,0.00%,-0.7143,30341
OON,97,0.20,-6.1579,-0.0635,0.1286,-1.2100,-0.0001,0.00%,-0.4936,42593
NOO,81,0.17,-5.3877,-0.0665,0.0917,-0.7600,-0.0019,0.00%,-0.7257,54312
PNN,5125,10.67,-710.2313,-0.1386,0.3668,-10.9000,3.6200,20.68%,-0.3778,243137
NNP,5268,10.97,-756.7107,-0.1436,0.4554,-20.2900,7.1900,20.96%,-0.3155,262319
NPN,5348,11.14,-774.0903,-0.1447,0.3776,-11.2800,5.1650,19.52%,-0.3833,243388
NNO,402,0.84,-67.0323,-0.1667,0.1605,-1.1200,-0.0100,0.00%,-1.0389,119336
NON,403,0.84,-71.1448,-0.1765,0.1823,-1.3800,-0.0105,0.00%,-0.9685,106980
ONN,416,0.87,-78.3657,-0.1884,0.2330,-2.4300,-0.0099,0.00%,-0.8084,106732
NNN,4861,10.12,-2145.9167,-0.4415,0.4609,-8.8800,-0.0298,0.00%,-0.9578,287508
