pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,-88.1977,-65.316,-79.4433,-85.6076,-88.1437
NNNNP,-61.1922,-65.1234,-52.4197,-55.6157,-60.3156
NNNPN,-57.0732,-59.454,-57.7993,-61.5992,-52.2108
NNNPP,-20.8167,-30.3717,-23.0033,-22.4388,-27.4486
NNPNN,-55.2671,-60.4647,-63.4297,-67.6299,-65.3968
NNPNP,-22.321,-30.3926,-27.1288,-19.7715,-24.5281
NNPPN,-27.2354,-24.4161,-20.3239,-20.3604,-27.7091
NNPPP,9.6767,19.7737,15.8183,25.65,15.8025
NPNNN,-57.9118,-56.729,-50.353,-58.4012,-61.0656
NPNNP,-21.2756,-22.0154,-23.4445,-25.3756,-28.1305
NPNPN,-30.5431,-20.582,-27.8014,-30.5799,-20.0983
NPNPP,17.6595,16.8537,19.6979,13.4219,11.1474
NPPNN,-21.3398,-37.5547,-21.7025,-20.0894,-30.0931
NPPNP,12.1286,9.3938,20.009,21.0291,19.0791
NPPPN,12.6634,15.8337,18.5797,13.4726,14.8837
NPPPP,62.4883,62.0341,66.4581,71.9057,71.1048
PNNNN,-45.6087,-60.6688,-59.2204,-57.2718,-62.1919
PNNNP,-24.7884,-23.1135,-23.7901,-18.1033,-14.1998
PNNPN,-29.1398,-17.5717,-22.3411,-25.3025,-27.5785
PNNPP,24.0575,24.1113,22.4573,13.6261,25.7913
PNPNN,-20.4202,-21.9459,-27.3922,-25.2542,-15.5752
PNPNP,22.0282,21.922,23.9522,19.0612,15.6037
PNPPN,10.1597,22.1315,19.204,17.7157,12.079
PNPPP,64.8793,75.919,75.4053,67.0913,67.63
PPNNN,-29.4539,-25.4694,-30.1849,-21.9191,-16.2779
PPNNP,21.2939,23.5296,16.2344,17.9958,20.4523
PPNPN,24.9483,7.0474,17.761,16.8366,20.5718
PPNPP,77.2264,73.7043,67.5444,71.3431,68.2832
PPPNN,16.7869,15.6351,5.1622,9.2605,10.7261
PPPNP,80.0625,82.4147,68.7838,73.4208,85.2378
PPPPN,70.0393,66.0369,60.5673,72.5556,69.8475
PPPPP,145.666,144.4781,151.5532,150.5641,152.3033
