pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,165,143,160,144,170
NNNNP,191,204,182,177,184
NNNPN,190,204,192,184,183
NNNPP,203,242,255,226,220
NNPNN,197,190,222,217,194
NNPNP,244,263,245,227,246
NNPPN,225,231,252,246,245
NNPPP,343,274,317,312,312
NPNNN,187,180,197,186,215
NPNNP,245,245,246,273,247
NPNPN,251,229,261,256,231
NPNPP,334,337,327,299,321
NPPNN,220,249,240,257,279
NPPNP,315,314,325,334,329
NPPPN,352,327,291,326,319
NPPPP,441,474,473,461,471
PNNNN,182,199,161,210,186
PNNNP,255,243,228,226,209
PNNPN,263,263,252,256,258
PNNPP,302,327,303,331,348
PNPNN,228,253,237,245,237
PNPNP,322,325,310,325,339
PNPPN,338,334,339,362,290
PNPPP,458,490,470,478,481
PPNNN,255,209,239,209,222
PPNNP,345,310,341,333,318
PPNPN,327,318,309,320,319
PPNPP,491,472,513,472,475
PPPNN,299,331,302,283,321
PPPNP,475,508,467,460,489
PPPPN,487,442,452,484,455
PPPPP,870,869,891,880,886
