pattern,mean_change,total_occurrences,min_change,max_change,change_std
PPPPP,148.91294,4396,144.4781,152.3033,3.584768762835337
PPNPP,71.62028000000001,2423,67.5444,77.2264,3.9874004773787166
PPPNP,77.98391999999998,2399,68.7838,85.2378,6.746023892412476
PNPPP,70.18498,2377,64.8793,75.919,5.108320302898006
NPPPP,66.79820000000001,2320,62.0341,71.9057,4.637373034380562
PPPPN,67.80932,2320,60.5673,72.5556,4.670184383083817
PNPPN,16.257980000000003,1663,10.1597,22.1315,4.998877659735232
PPNNP,19.9012,1647,16.2344,23.5296,2.8497623786905457
PNPNP,20.513460000000002,1621,15.6037,23.9522,3.2526203802472864
NPNPP,15.756080000000003,1618,11.1474,19.6979,3.429797730479161
NPPNP,16.32792,1617,9.3938,21.0291,5.218638313487532
NPPPN,15.08662,1615,12.6634,18.5797,2.306402429542598
PNNPP,22.008699999999997,1611,13.6261,25.7913,4.832075011834978
PPNPN,17.43302,1593,7.0474,24.9483,6.607869623562499
NNPPP,17.34424,1558,9.6767,25.65,5.881848132857563
PPPNN,11.51416,1536,5.1622,16.7869,4.765274162941729
PNNPN,-24.386719999999997,1292,-29.1398,-17.5717,4.589306615601097
NPNNP,-24.048319999999997,1256,-28.1305,-21.2756,2.7663696548003127
NPPNN,-26.155899999999995,1245,-37.5547,-20.0894,7.504402013152013
NPNPN,-25.92094,1228,-30.5799,-20.0983,5.220484126304762
NNPNP,-24.8284,1225,-30.3926,-19.7715,4.129214037198847
PNPNN,-22.117539999999998,1200,-27.3922,-15.5752,4.565449323779642
NNPPN,-24.008979999999998,1199,-27.7091,-20.3239,3.576254022996689
PNNNP,-20.79902,1161,-24.7884,-14.1998,4.500976031595813
NNNPP,-24.81582,1146,-30.3717,-20.8167,3.9600425094940586
PPNNN,-24.66104,1134,-30.1849,-16.2779,5.743110076256592
NNPNN,-62.43764,1020,-67.6299,-55.2671,4.796079414271621
NPNNN,-56.89212,965,-61.0656,-50.353,3.985025205942869
NNNPN,-57.627300000000005,953,-61.5992,-52.2108,3.4924169839811525
NNNNP,-58.93332,938,-65.1234,-52.4197,4.969008332353653
PNNNN,-56.99231999999999,938,-62.1919,-45.6087,6.617805361825021
NNNNN,-81.34166,782,-88.1977,-65.316,9.642313335657578
