pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,880,150.5641,0.1711,0.1715,-0.0004,159200,0.2679,0.7887,59.6800
PPPNP,460,73.4208,0.1596,0.1607,-0.0011,306790,0.3042,0.7668,59.6800
PPPPN,484,72.5556,0.1499,0.1425,0.0075,375060,0.2650,0.7905,59.6800
NPPPP,461,71.9057,0.1560,0.1528,0.0032,327221,0.2589,0.7943,59.6800
PPNPP,472,71.3431,0.1512,0.1518,-0.0007,307693,0.2621,0.7924,59.6800
PNPPP,478,67.0913,0.1404,0.1451,-0.0048,302053,0.2733,0.7854,59.6800
NNPPP,312,25.6500,0.0822,0.0822,0.0000,445548,0.2982,0.7703,59.6800
NPPNP,334,21.0291,0.0630,0.0594,0.0036,425474,0.3066,0.7654,59.6800
PNPNP,325,19.0612,0.0586,0.0653,-0.0066,350094,0.2180,0.8210,59.6800
PPNNP,333,17.9958,0.0540,0.0530,0.0010,394539,0.2876,0.7766,59.6800
PNPPN,362,17.7157,0.0489,0.0347,0.0142,385782,0.2802,0.7812,59.6800
PPNPN,320,16.8366,0.0526,0.0496,0.0030,408342,0.2573,0.7954,59.6800
PNNPP,331,13.6261,0.0412,0.0486,-0.0075,390496,0.1973,0.8352,59.6800
NPPPN,326,13.4726,0.0413,0.0347,0.0066,423449,0.2278,0.8144,59.6800
NPNPP,299,13.4219,0.0449,0.0515,-0.0066,406068,0.2677,0.7888,59.6800
PPPNN,283,9.2605,0.0327,0.0265,0.0062,398964,0.3515,0.7399,59.6800
PNNNP,226,-18.1033,-0.0801,-0.0861,0.0060,567740,0.3155,0.7602,59.6800
NNPNP,227,-19.7715,-0.0871,-0.0879,0.0008,447230,0.2435,0.8042,59.6800
NPPNN,257,-20.0894,-0.0782,-0.0837,0.0055,499903,0.2688,0.7882,59.6800
NNPPN,246,-20.3604,-0.0828,-0.0943,0.0115,590413,0.2446,0.8035,59.6800
PPNNN,209,-21.9191,-0.1049,-0.1103,0.0054,461244,0.2663,0.7897,59.6800
NNNPP,226,-22.4388,-0.0993,-0.0900,-0.0093,494926,0.2580,0.7949,59.6800
PNPNN,245,-25.2542,-0.1031,-0.1064,0.0033,513461,0.2590,0.7943,59.6800
PNNPN,256,-25.3025,-0.0988,-0.0971,-0.0017,560876,0.2351,0.8096,59.6800
NPNNP,273,-25.3756,-0.0930,-0.1005,0.0076,485950,0.2219,0.8184,59.6800
NPNPN,256,-30.5799,-0.1195,-0.1217,0.0022,479514,0.2299,0.8131,59.6800
NNNNP,177,-55.6157,-0.3142,-0.3133,-0.0009,585724,0.4530,0.6882,59.6800
PNNNN,210,-57.2718,-0.2727,-0.2754,0.0027,578118,0.2772,0.7830,59.6800
NPNNN,186,-58.4012,-0.3140,-0.3122,-0.0018,525363,0.3697,0.7301,59.6800
NNNPN,184,-61.5992,-0.3348,-0.3357,0.0010,655584,0.2858,0.7777,59.6800
NNPNN,217,-67.6299,-0.3117,-0.3100,-0.0017,562758,0.3054,0.7661,59.6800
NNNNN,144,-85.6076,-0.5945,-0.5950,0.0005,753195,0.4824,0.6746,59.6800
