basket_id,pattern_type,start_time,end_time,duration_minutes,start_price,end_price,price_change,volume,trades,basket_high,basket_low,basket_range
0,NNP,2025-08-01 03:00:00,2025-08-01 03:02:00,2.00,629.5000,627.4600,-2.0400,16421.0,355,629.5000,627.1800,2.3200
1,NNN,2025-08-01 03:03:00,2025-08-01 03:05:00,2.00,627.4600,627.3000,-0.1600,5014.0,164,627.4600,627.1700,0.2900
2,PPN,2025-08-01 03:06:00,2025-08-01 03:08:00,2.00,627.3000,627.4100,0.1100,54901.0,557,627.5000,627.2600,0.2400
3,NNP,2025-08-01 03:09:00,2025-08-01 03:11:00,2.00,627.4100,627.1700,-0.2400,59901.0,616,627.4300,627.0100,0.4200
4,PPN,2025-08-01 03:12:00,2025-08-01 03:14:00,2.00,627.1700,627.4300,0.2600,7252.0,208,627.4700,627.1000,0.3700
5,PPP,2025-08-01 03:15:00,2025-08-01 03:17:00,2.00,627.4300,627.6600,0.2300,21140.0,321,627.6900,627.3900,0.3000
6,PNN,2025-08-01 03:18:00,2025-08-01 03:20:00,2.00,627.6600,627.3800,-0.2800,13021.0,208,627.7800,627.4200,0.3600
7,NPN,2025-08-01 03:21:00,2025-08-01 03:23:00,2.00,627.3800,627.1800,-0.2000,5048.0,118,627.3800,627.1500,0.2300
8,PNN,2025-08-01 03:24:00,2025-08-01 03:26:00,2.00,627.1800,626.6500,-0.5300,12211.0,230,627.3400,626.6800,0.6600
9,NNN,2025-08-01 03:27:00,2025-08-01 03:29:00,2.00,626.6500,626.2500,-0.4000,15184.0,381,626.6500,626.0600,0.5900
10,PNN,2025-08-01 03:30:00,2025-08-01 03:32:00,2.00,626.2500,626.2100,-0.0400,8527.0,186,626.5300,626.2000,0.3300
11,NPN,2025-08-01 03:33:00,2025-08-01 03:35:00,2.00,626.2100,625.8400,-0.3700,25136.0,318,626.3200,626.0000,0.3200
12,PNN,2025-08-01 03:36:00,2025-08-01 03:38:00,2.00,625.8400,625.7900,-0.0500,9920.0,250,626.2300,625.7900,0.4400
13,NPP,2025-08-01 03:39:00,2025-08-01 03:41:00,2.00,625.7900,626.2000,0.4100,5819.0,149,626.0000,625.6900,0.3100
14,NPP,2025-08-01 03:42:00,2025-08-01 03:44:00,2.00,626.2000,626.2600,0.0600,7358.0,183,626.2700,625.9300,0.3400
15,PNP,2025-08-01 03:45:00,2025-08-01 03:47:00,2.00,626.2600,626.5100,0.2500,7372.0,174,626.5800,626.2600,0.3200
16,PPN,2025-08-01 03:49:00,2025-08-01 03:51:00,2.00,626.5100,626.5800,0.0700,8510.0,147,626.7800,626.5100,0.2700
17,NPP,2025-08-01 03:52:00,2025-08-01 03:54:00,2.00,626.5800,626.6800,0.1000,3120.0,89,626.6300,626.4300,0.2000
18,PPN,2025-08-01 03:55:00,2025-08-01 03:57:00,2.00,626.6800,626.7200,0.0400,3498.0,97,626.8700,626.6300,0.2400
19,NPP,2025-08-01 03:58:00,2025-08-01 04:00:00,2.00,626.7200,626.7500,0.0300,20466.0,241,626.7200,626.5700,0.1500
20,PPP,2025-08-01 04:01:00,2025-08-01 04:03:00,2.00,626.7500,626.8800,0.1300,8619.0,120,626.8600,626.7200,0.1400
21,NPN,2025-08-01 04:04:00,2025-08-01 04:07:00,3.00,626.8800,626.8600,-0.0200,8992.0,171,627.1000,626.7800,0.3200
22,NPN,2025-08-01 04:08:00,2025-08-01 04:11:00,3.00,626.8600,626.6700,-0.1900,3712.0,93,626.8700,626.8000,0.0700
23,NPP,2025-08-01 04:14:00,2025-08-01 04:16:00,2.00,626.6700,626.8000,0.1300,4449.0,125,626.7400,626.5700,0.1700
24,PNN,2025-08-01 04:18:00,2025-08-01 04:20:00,2.00,626.8000,626.3600,-0.4400,21182.0,165,626.8200,626.3200,0.5000
25,PNP,2025-08-01 04:21:00,2025-08-01 04:23:00,2.00,626.3600,626.3400,-0.0200,3799.0,92,626.3900,626.2900,0.1000
26,PNN,2025-08-01 04:24:00,2025-08-01 04:26:00,2.00,626.3400,626.2800,-0.0600,4381.0,88,626.4000,626.3300,0.0700
27,PNP,2025-08-01 04:27:00,2025-08-01 04:30:00,3.00,626.2800,626.2000,-0.0800,3174.0,80,626.3200,626.1300,0.1900
28,PNN,2025-08-01 04:31:00,2025-08-01 04:33:00,2.00,626.2000,626.1200,-0.0800,3564.0,108,626.4200,626.1300,0.2900
29,PPP,2025-08-01 04:34:00,2025-08-01 04:36:00,2.00,626.1200,626.4100,0.2900,1481.0,59,626.3100,626.1200,0.1900
30,PNN,2025-08-01 04:38:00,2025-08-01 04:42:00,4.00,626.4100,626.5700,0.1600,5107.0,131,626.7100,626.4100,0.3000
31,NPP,2025-08-01 04:43:00,2025-08-01 04:46:00,3.00,626.5700,626.8400,0.2700,3894.0,108,626.6900,626.5400,0.1500
32,NPN,2025-08-01 04:47:00,2025-08-01 04:53:00,6.00,626.8400,626.7700,-0.0700,1163.0,66,626.8400,626.7700,0.0700
33,NPN,2025-08-01 04:54:00,2025-08-01 04:59:00,5.00,626.7700,626.6700,-0.1000,2875.0,78,626.7700,626.6500,0.1200
34,NNP,2025-08-01 05:00:00,2025-08-01 05:02:00,2.00,626.6700,626.3500,-0.3200,5461.0,133,626.6700,626.2300,0.4400
35,PNP,2025-08-01 05:03:00,2025-08-01 05:06:00,3.00,626.3500,626.2500,-0.1000,3636.0,94,626.4600,626.2200,0.2400
36,NPP,2025-08-01 05:07:00,2025-08-01 05:09:00,2.00,626.2500,626.3700,0.1200,7835.0,173,626.3300,626.0000,0.3300
