pattern,timestamp,minute_1_time,minute_2_time,minute_3_time,first_open,last_next_open,total_change,change_1,change_2,change_3,volume
NPN,2025-08-01 03:01:00,03:01:00,03:02:00,03:03:00,627.3100,627.3800,0.0700,-0.0300,0.1800,-0.0800,10510.0
NNP,2025-08-01 03:04:00,03:04:00,03:05:00,03:06:00,627.3800,627.4500,0.0700,-0.0700,-0.0100,0.1500,21369.0
PNN,2025-08-01 03:07:00,03:07:00,03:08:00,03:09:00,627.4500,627.3700,-0.0800,0.0500,-0.0900,-0.0400,56676.0
NPP,2025-08-01 03:10:00,03:10:00,03:11:00,03:12:00,627.3700,627.3400,-0.0300,-0.2200,0.0200,0.1700,45343.0
PNP,2025-08-01 03:13:00,03:13:00,03:14:00,03:15:00,627.3400,627.4600,0.1200,0.1200,-0.0300,0.0300,4816.0
PPP,2025-08-01 03:16:00,03:16:00,03:17:00,03:18:00,627.4600,627.7100,0.2500,0.0800,0.1200,0.0500,22696.0
NNN,2025-08-01 03:19:00,03:19:00,03:20:00,03:21:00,627.7100,627.1600,-0.5500,-0.2000,-0.1300,-0.2200,11760.0
PNP,2025-08-01 03:22:00,03:22:00,03:23:00,03:24:00,627.1600,627.3400,0.1800,0.0800,-0.0600,0.1600,3954.0
NNN,2025-08-01 03:25:00,03:25:00,03:26:00,03:27:00,627.3400,626.3900,-0.9500,-0.4300,-0.2600,-0.2600,22377.0
NNP,2025-08-01 03:28:00,03:28:00,03:29:00,03:30:00,626.3900,626.4900,0.1000,-0.0200,-0.1200,0.2400,8448.0
NNN,2025-08-01 03:31:00,03:31:00,03:32:00,03:33:00,626.4900,626.0800,-0.4100,-0.0300,-0.2500,-0.1300,4998.0
PNP,2025-08-01 03:34:00,03:34:00,03:35:00,03:36:00,626.0800,626.1000,0.0200,0.2100,-0.4500,0.2600,29284.0
NNN,2025-08-01 03:37:00,03:37:00,03:38:00,03:39:00,626.1000,625.6900,-0.4100,-0.2100,-0.1000,-0.1000,6935.0
PPN,2025-08-01 03:40:00,03:40:00,03:41:00,03:42:00,625.6900,625.9800,0.2900,0.1800,0.3300,-0.2200,7258.0
PPP,2025-08-01 03:43:00,03:43:00,03:44:00,03:45:00,625.9800,626.3600,0.3800,0.0800,0.2000,0.1000,4577.0
NPP,2025-08-01 03:46:00,03:46:00,03:47:00,03:49:00,626.3600,626.6300,0.2700,-0.0200,0.1700,0.1200,7068.0
PNN,2025-08-01 03:50:00,03:50:00,03:51:00,03:52:00,626.6300,626.5700,-0.0600,0.1200,-0.1700,-0.0100,9183.0
PPP,2025-08-01 03:53:00,03:53:00,03:54:00,03:55:00,626.5700,626.7800,0.2100,0.0500,0.0600,0.1000,2443.0
PNN,2025-08-01 03:56:00,03:56:00,03:57:00,03:58:00,626.7800,626.6600,-0.1200,0.0800,-0.1400,-0.0600,3695.0
PPP,2025-08-01 03:59:00,03:59:00,04:00:00,04:01:00,626.6600,626.7800,0.1200,0.0100,0.0800,0.0300,22978.0
PPN,2025-08-01 04:02:00,04:02:00,04:03:00,04:04:00,626.7800,626.7800,0.0000,0.0200,0.0800,-0.1000,8043.0
PNN,2025-08-01 04:06:00,04:06:00,04:07:00,04:08:00,626.7800,626.8000,0.0200,0.3100,-0.2300,-0.0600,8650.0
PNN,2025-08-01 04:09:00,04:09:00,04:11:00,04:14:00,626.8000,626.6600,-0.1400,0.0700,-0.2000,-0.0100,3901.0
PPP,2025-08-01 04:15:00,04:15:00,04:16:00,04:18:00,626.6600,626.8200,0.1600,0.0600,0.0800,0.0200,2739.0
NNP,2025-08-01 04:19:00,04:19:00,04:20:00,04:21:00,626.8200,626.3800,-0.4400,-0.3800,-0.0800,0.0200,23121.0
NPP,2025-08-01 04:22:00,04:22:00,04:23:00,04:24:00,626.3800,626.3900,0.0100,-0.0900,0.0500,0.0500,2369.0
NNP,2025-08-01 04:25:00,04:25:00,04:26:00,04:27:00,626.3900,626.3100,-0.0800,-0.0600,-0.0500,0.0300,4130.0
NPP,2025-08-01 04:28:00,04:28:00,04:30:00,04:31:00,626.3100,626.4200,0.1100,-0.1800,0.0700,0.2200,3524.0
NNP,2025-08-01 04:32:00,04:32:00,04:33:00,04:34:00,626.4200,626.2900,-0.1300,-0.1200,-0.1800,0.1700,2741.0
