pattern,count,frequency_%,total_change,avg_change,std_dev,min_change,max_change,win_rate,return_risk_ratio,avg_volume
PPP,5308,11.05,2260.0546,0.4258,0.5529,0.0108,16.1200,100.00%,0.7701,282098
OPP,435,0.91,83.4113,0.1918,0.3713,0.0200,5.9700,100.00%,0.5165,97605
PPO,468,0.97,86.6233,0.1851,0.2678,0.0149,3.2200,100.00%,0.6912,134910
POP,513,1.07,88.8951,0.1733,0.1838,0.0192,1.6800,100.00%,0.9429,111051
PNP,5442,11.33,772.8081,0.1420,0.3197,-2.6300,8.9600,78.81%,0.4441,254875
PPN,5275,10.98,677.7502,0.1285,0.3013,-5.7500,3.6700,77.21%,0.4264,252542
NPP,5290,11.02,673.1471,0.1272,0.2913,-3.9200,6.0322,76.96%,0.4368,242982
POO,110,0.23,7.0941,0.0645,0.0605,0.0100,0.3400,100.00%,1.0663,31681
OOP,99,0.21,5.7588,0.0582,0.0627,0.0002,0.3000,100.00%,0.9271,30888
OPO,77,0.16,4.2896,0.0557,0.0656,0.0100,0.3500,100.00%,0.8498,53613
NOP,447,0.93,2.7758,0.0062,0.1124,-0.6190,0.7400,48.10%,0.0552,101771
ONP,487,1.01,2.9402,0.0060,0.1174,-0.5200,0.8200,45.79%,0.0514,117283
PNO,467,0.97,2.7419,0.0059,0.1057,-0.6500,0.7800,48.18%,0.0555,104165
OOO,41,0.09,0.0001,0.0000,0.0000,-0.0001,0.0001,4.88%,0.0905,5522
OPN,478,1.00,-3.8921,-0.0081,0.1894,-3.3500,1.0100,44.56%,-0.0430,105706
NPO,471,0.98,-4.5866,-0.0097,0.1029,-0.5701,0.3500,41.19%,-0.0947,127136
PON,447,0.93,-7.4533,-0.0167,0.1235,-0.9600,0.4200,39.82%,-0.1350,79470
ONO,63,0.13,-3.8251,-0.0607,0.0592,-0.3000,-0.0050,0.00%,-1.0251,33486
NOO,95,0.20,-5.9977,-0.0631,0.0833,-0.5100,-0.0013,0.00%,-0.7578,48950
OON,110,0.23,-8.8660,-0.0806,0.1789,-1.5930,-0.0008,0.00%,-0.4504,23539
NPN,5337,11.11,-731.0385,-0.1370,0.2805,-3.6800,3.4100,20.25%,-0.4883,242979
NNP,5225,10.88,-727.7208,-0.1393,0.3922,-11.3199,9.0062,20.63%,-0.3551,269327
PNN,5251,10.93,-755.5224,-0.1439,0.4450,-21.5400,3.6300,21.75%,-0.3234,257897
NNO,404,0.84,-69.6458,-0.1724,0.1680,-1.4200,-0.0050,0.00%,-1.0263,121544
NON,404,0.84,-73.0533,-0.1808,0.2591,-2.4100,-0.0108,0.00%,-0.6979,102808
ONN,433,0.90,-84.2048,-0.1945,0.2252,-2.2500,-0.0100,0.00%,-0.8636,129637
NNN,4847,10.09,-2127.8239,-0.4390,0.4782,-9.8700,-0.0200,0.00%,-0.9180,273326
