date,spy_open,spy_high,spy_low,spy_close,spy_close_prev_day,spy_volume,expiration_date,atm_strike,atm_call_ticker,atm_call_open,atm_call_high,atm_call_low,atm_call_close,atm_call_volume,atm_call_vwap,atm_call_prev_open,atm_call_prev_close,atm_call_prev_volume,atm_call_prev_vwap,atm_put_ticker,atm_put_open,atm_put_high,atm_put_low,atm_put_close,atm_put_volume,atm_put_vwap,atm_put_prev_open,atm_put_prev_close,atm_put_prev_volume,atm_put_prev_vwap,plus_1_strike,plus_1_call_ticker,plus_1_call_open,plus_1_call_high,plus_1_call_low,plus_1_call_close,plus_1_call_volume,plus_1_call_vwap,plus_1_call_prev_open,plus_1_call_prev_close,plus_1_call_prev_volume,plus_1_call_prev_vwap,plus_1_put_ticker,plus_1_put_open,plus_1_put_high,plus_1_put_low,plus_1_put_close,plus_1_put_volume,plus_1_put_vwap,plus_1_put_prev_open,plus_1_put_prev_close,plus_1_put_prev_volume,plus_1_put_prev_vwap,plus_2_strike,plus_2_call_ticker,plus_2_call_open,plus_2_call_high,plus_2_call_low,plus_2_call_close,plus_2_call_volume,plus_2_call_vwap,plus_2_call_prev_open,plus_2_call_prev_close,plus_2_call_prev_volume,plus_2_call_prev_vwap,plus_2_put_ticker,plus_2_put_open,plus_2_put_high,plus_2_put_low,plus_2_put_close,plus_2_put_volume,plus_2_put_vwap,plus_2_put_prev_open,plus_2_put_prev_close,plus_2_put_prev_volume,plus_2_put_prev_vwap,plus_3_strike,plus_3_call_ticker,plus_3_call_open,plus_3_call_high,plus_3_call_low,plus_3_call_close,plus_3_call_volume,plus_3_call_vwap,plus_3_call_prev_open,plus_3_call_prev_close,plus_3_call_prev_volume,plus_3_call_prev_vwap,plus_3_put_ticker,plus_3_put_open,plus_3_put_high,plus_3_put_low,plus_3_put_close,plus_3_put_volume,plus_3_put_vwap,plus_3_put_prev_open,plus_3_put_prev_close,plus_3_put_prev_volume,plus_3_put_prev_vwap,plus_4_strike,plus_4_call_ticker,plus_4_call_open,plus_4_call_high,plus_4_call_low,plus_4_call_close,plus_4_call_volume,plus_4_call_vwap,plus_4_call_prev_open,plus_4_call_prev_close,plus_4_call_prev_volume,plus_4_call_prev_vwap,plus_4_put_ticker,plus_4_put_open,plus_4_put_high,plus_4_put_low,plus_4_put_close,plus_4_put_volume,plus_4_put_vwap,plus_4_put_prev_open,plus_4_put_prev_close,plus_4_put_prev_volume,plus_4_put_prev_vwap,plus_5_strike,plus_5_call_ticker,plus_5_call_open,plus_5_call_high,plus_5_call_low,plus_5_call_close,plus_5_call_volume,plus_5_call_vwap,plus_5_call_prev_open,plus_5_call_prev_close,plus_5_call_prev_volume,plus_5_call_prev_vwap,plus_5_put_ticker,plus_5_put_open,plus_5_put_high,plus_5_put_low,plus_5_put_close,plus_5_put_volume,plus_5_put_vwap,plus_5_put_prev_open,plus_5_put_prev_close,plus_5_put_prev_volume,plus_5_put_prev_vwap,minus_1_strike,minus_1_call_ticker,minus_1_call_open,minus_1_call_high,minus_1_call_low,minus_1_call_close,minus_1_call_volume,minus_1_call_vwap,minus_1_call_prev_open,minus_1_call_prev_close,minus_1_call_prev_volume,minus_1_call_prev_vwap,minus_1_put_ticker,minus_1_put_open,minus_1_put_high,minus_1_put_low,minus_1_put_close,minus_1_put_volume,minus_1_put_vwap,minus_1_put_prev_open,minus_1_put_prev_close,minus_1_put_prev_volume,minus_1_put_prev_vwap,minus_2_strike,minus_2_call_ticker,minus_2_call_open,minus_2_call_high,minus_2_call_low,minus_2_call_close,minus_2_call_volume,minus_2_call_vwap,minus_2_call_prev_open,minus_2_call_prev_close,minus_2_call_prev_volume,minus_2_call_prev_vwap,minus_2_put_ticker,minus_2_put_open,minus_2_put_high,minus_2_put_low,minus_2_put_close,minus_2_put_volume,minus_2_put_vwap,minus_2_put_prev_open,minus_2_put_prev_close,minus_2_put_prev_volume,minus_2_put_prev_vwap,minus_3_strike,minus_3_call_ticker,minus_3_call_open,minus_3_call_high,minus_3_call_low,minus_3_call_close,minus_3_call_volume,minus_3_call_vwap,minus_3_call_prev_open,minus_3_call_prev_close,minus_3_call_prev_volume,minus_3_call_prev_vwap,minus_3_put_ticker,minus_3_put_open,minus_3_put_high,minus_3_put_low,minus_3_put_close,minus_3_put_volume,minus_3_put_vwap,minus_3_put_prev_open,minus_3_put_prev_close,minus_3_put_prev_volume,minus_3_put_prev_vwap
2023-09-05,450.73,451.06,449.17,449.24,451.19,54634810.0,2023-09-05,451,O:SPY230905C00451000,0.82,1.0,0.01,0.01,378366,0.3166,3.01,1.17,110229,1.2673,O:SPY230905P00451000,1.06,2.05,0.54,1.81,166802,1.0906,0.9,1.06,112815,1.2871,453,O:SPY230905C00453000,0.2,0.24,0.01,0.01,74145,0.0696,1.78,0.37,77197.0,0.869,O:SPY230905P00453000,2.5,3.88,1.9,3.84,4435,3.0483,1.57,2.27,40565.0,2.2739,455,O:SPY230905C00455000,0.04,0.05,0.01,0.01,15312.0,0.0186,0.89,0.08,56395.0,0.3698,O:SPY230905P00455000,4.34,5.8,4.0,5.8,965.0,4.8753,2.85,3.94,5482.0,3.4492,457,O:SPY230905C00457000,0.01,0.05,0.01,0.01,5895.0,0.01,0.39,0.03,14047.0,0.1259,O:SPY230905P00457000,6.85,7.81,5.99,7.68,7400.0,6.8676,4.17,5.86,516.0,5.8002,459,O:SPY230905C00459000,0.01,0.01,0.01,0.01,326.0,0.01,0.13,0.01,2463.0,0.0505,O:SPY230905P00459000,8.31,9.46,8.31,8.87,60.0,8.7728,5.57,8.03,20.0,7.884,461,O:SPY230905C00461000,0.01,0.01,0.01,0.01,70.0,0.01,0.06,0.01,1126.0,0.0268,O:SPY230905P00461000,10.73,11.58,10.09,11.17,11.0,11.0873,8.61,10.0,613.0,10.0696,449,O:SPY230905C00449000,2.09,2.24,0.1,0.24,103666,1.1739,4.64,2.52,15822,2.3944,O:SPY230905P00449000,0.34,0.78,0.01,0.01,445545,0.3189,0.43,0.38,65357,0.65,447,O:SPY230905C00447000,3.82,4.04,2.02,2.08,4910,2.8126,6.84,4.27,990,4.1597,O:SPY230905P00447000,0.1,0.21,0.01,0.01,92001,0.0839,0.22,0.14,50498,0.2213,445,O:SPY230905C00445000,5.75,6.05,4.14,4.14,944,4.9947,8.36,6.11,1664,6.0139,O:SPY230905P00445000,0.03,0.06,0.01,0.01,28645,0.0325,0.12,0.06,19408,0.1099
2023-09-06,448.4,448.51,443.81,446.22,449.24,70758512.0,2023-09-06,449,O:SPY230906C00449000,0.66,0.7,0.01,0.01,152540,0.2463,2.48,1.2,43082,1.8174,O:SPY230906P00449000,1.25,5.13,1.14,2.97,33285,2.0358,0.75,0.94,116760,0.866,451,O:SPY230906C00451000,0.14,0.21,0.01,0.01,42222,0.0539,1.34,0.42,121702.0,0.8841,O:SPY230906P00451000,2.7,7.11,2.65,5.1,4063,4.1496,1.54,2.12,48637.0,1.7027,453,O:SPY230906C00453000,0.02,0.05,0.01,0.01,15365.0,0.0172,0.55,0.09,37151.0,0.2984,O:SPY230906P00453000,4.49,9.12,4.49,7.04,4517.0,7.158,2.78,3.92,8418.0,3.1918,455,O:SPY230906C00455000,0.01,0.04,0.01,0.01,6803.0,0.0104,0.18,0.03,16230.0,0.0861,O:SPY230906P00455000,6.62,10.86,6.62,9.16,945.0,7.3796,4.49,5.77,939.0,5.1541,457,O:SPY230906C00457000,0.01,0.01,0.01,0.01,4241.0,0.01,0.05,0.02,3075.0,0.0344,O:SPY230906P00457000,9.21,11.04,8.98,11.04,13.0,10.0415,6.45,6.79,293.0,7.0848,459,O:SPY230906C00459000,0.01,0.01,0.01,0.01,106.0,0.01,0.03,0.01,1050.0,0.0158,O:SPY230906P00459000,12.81,14.16,12.81,14.16,5.0,13.332,8.43,9.79,1609.0,8.583,447,O:SPY230906C00447000,1.84,1.86,0.01,0.01,332832,0.3072,4.11,2.51,5259,3.1825,O:SPY230906P00447000,0.42,3.17,0.37,0.98,250655,0.9521,0.34,0.33,33463,0.3328,445,O:SPY230906C00445000,3.55,3.56,0.25,1.04,274294,0.8,5.7,4.45,873,5.2249,O:SPY230906P00445000,0.12,1.52,0.01,0.01,442445,0.3829,0.15,0.09,40510,0.1309,443,O:SPY230906C00443000,5.33,5.46,1.18,2.94,12933,2.2923,7.18,6.17,208,7.3892,O:SPY230906P00443000,0.04,0.37,0.01,0.01,151628,0.1075,0.09,0.04,6547,0.0551
2023-09-07,443.11,445.55,442.75,444.85,446.22,70348426.0,2023-09-07,446,O:SPY230907C00446000,0.18,0.35,0.01,0.01,251903,0.1558,3.22,1.24,136137,1.1996,O:SPY230907P00446000,3.0,3.33,0.56,1.15,83249,1.4935,0.55,0.98,123384,1.1841,448,O:SPY230907C00448000,0.02,0.09,0.01,0.01,37079,0.0318,1.78,0.41,80976.0,0.7016,O:SPY230907P00448000,4.92,5.25,2.58,3.19,4141,3.8527,1.18,2.18,48117.0,1.9397,450,O:SPY230907C00450000,0.02,0.03,0.01,0.01,18330.0,0.0108,0.81,0.09,41140.0,0.2685,O:SPY230907P00450000,6.81,7.18,4.62,5.95,1862.0,5.8514,2.22,4.0,5833.0,3.202,452,O:SPY230907C00452000,0.01,0.01,0.01,0.01,1659.0,0.01,0.29,0.02,13443.0,0.093,O:SPY230907P00452000,8.25,9.2,6.75,7.18,1804.0,7.1812,4.21,6.05,501.0,6.0114,454,O:SPY230907C00454000,0.01,0.01,0.01,0.01,761.0,0.01,0.09,0.01,3960.0,0.0435,O:SPY230907P00454000,11.0,11.0,8.85,8.85,19.0,9.6621,6.0,7.9,117.0,7.7184,456,O:SPY230907C00456000,0.01,0.01,0.01,0.01,159.0,0.01,0.03,0.01,3709.0,0.0161,,,,,,,,,,,,444,O:SPY230907C00444000,0.67,1.45,0.4,0.95,414231,0.9055,4.36,2.6,23665,2.0717,O:SPY230907P00444000,1.51,1.76,0.01,0.01,483038,0.5037,0.23,0.35,87066,0.7041,442,O:SPY230907C00442000,1.7,3.35,1.36,2.78,19628,2.0901,5.9,4.49,799,3.6531,O:SPY230907P00442000,0.58,0.75,0.01,0.01,239662,0.3011,0.11,0.11,27670,0.2476,440,O:SPY230907C00440000,3.29,5.26,2.98,4.7,7256,4.1149,8.15,6.35,724,5.9736,O:SPY230907P00440000,0.21,0.25,0.01,0.01,89253,0.1054,0.06,0.05,16499,0.1151
2023-09-08,444.9,447.11,444.53,445.52,444.85,62068437.0,2023-09-08,445,O:SPY230908C00445000,1.0,2.27,0.11,0.88,285627,0.8568,0.81,1.18,192897,1.1481,O:SPY230908P00445000,1.1,1.14,0.01,0.01,521721,0.3426,2.59,1.15,129853,1.4583,447,O:SPY230908C00447000,0.31,0.84,0.01,0.01,432061,0.3824,0.35,0.42,48902.0,0.4416,O:SPY230908P00447000,2.37,2.45,0.69,0.95,147633,1.1437,4.11,2.4,8517.0,2.8815,449,O:SPY230908C00449000,0.06,0.16,0.01,0.01,54868.0,0.0603,0.11,0.1,34838.0,0.1258,O:SPY230908P00449000,4.25,4.45,2.1,3.12,3682.0,2.942,5.85,4.05,971.0,4.9623,451,O:SPY230908C00451000,0.01,0.03,0.01,0.01,7083.0,0.0119,0.04,0.03,12795.0,0.0391,O:SPY230908P00451000,6.0,6.31,3.98,5.06,1352.0,4.9589,7.88,6.14,329.0,6.684,453,O:SPY230908C00453000,0.01,0.01,0.01,0.01,732.0,0.01,0.02,0.01,2970.0,0.0142,O:SPY230908P00453000,7.77,8.34,5.98,8.13,1328.0,7.4654,9.92,8.3,520.0,8.193,455,O:SPY230908C00455000,0.01,0.01,0.01,0.01,363.0,0.01,0.01,0.01,1941.0,0.0107,O:SPY230908P00455000,9.03,10.36,8.05,9.72,368.0,8.8316,12.11,10.0,217.0,10.708,443,O:SPY230908C00443000,2.27,4.12,1.58,2.95,11243,2.5016,1.69,2.48,35569,2.055,O:SPY230908P00443000,0.39,0.41,0.01,0.01,115111,0.0724,1.48,0.45,139967,1.014,441,O:SPY230908C00441000,4.42,6.1,3.58,4.9,1575,5.168,2.98,4.08,8786,3.3826,O:SPY230908P00441000,0.12,0.12,0.01,0.01,29689,0.0378,0.8,0.15,44198,0.5249,439,O:SPY230908C00439000,6.21,8.01,5.56,6.48,982,6.9518,4.61,6.01,201,5.4245,O:SPY230908P00439000,0.04,0.04,0.01,0.01,6566,0.0151,0.39,0.06,19809,0.1725
2023-09-11,448.24,448.77,446.4699,448.45,445.52,59977618.0,2023-09-11,446,O:SPY230911C00446000,2.46,2.91,0.95,2.31,71150,1.5538,1.1,1.07,143503,1.2466,O:SPY230911P00446000,0.24,0.5,0.01,0.01,266837,0.2649,2.15,1.13,117979,1.3097,448,O:SPY230911C00448000,1.03,1.33,0.17,0.36,517497,0.4788,0.47,0.33,61627.0,0.5639,O:SPY230911P00448000,0.76,1.7,0.01,0.02,374169,0.5507,3.51,2.34,9796.0,2.3893,450,O:SPY230911C00450000,0.21,0.35,0.01,0.01,151996.0,0.0973,0.16,0.07,41447.0,0.1647,O:SPY230911P00450000,2.08,3.56,1.3,1.49,13308.0,2.1311,5.24,4.13,1592.0,4.4201,452,O:SPY230911C00452000,0.04,0.05,0.01,0.01,12167.0,0.0236,0.05,0.02,6480.0,0.0508,O:SPY230911P00452000,3.69,5.51,3.33,3.6,730.0,4.3855,6.5,6.3,179.0,6.0342,454,O:SPY230911C00454000,0.02,0.02,0.01,0.01,1811.0,0.0106,0.02,0.01,5132.0,0.017,O:SPY230911P00454000,5.49,7.41,5.31,5.64,7008.0,6.5407,7.75,8.9,15.0,7.8547,456,O:SPY230911C00456000,0.01,0.01,0.01,0.01,291.0,0.01,0.01,0.01,3792.0,0.0106,O:SPY230911P00456000,7.74,9.13,7.74,8.92,80.0,8.6213,10.25,11.04,12.0,10.5475,444,O:SPY230911C00444000,4.29,4.83,2.62,4.4,3695,3.6663,2.1,2.37,20083,2.2203,O:SPY230911P00444000,0.07,0.14,0.01,0.01,72496,0.0648,1.18,0.45,79787,0.6765,442,O:SPY230911C00442000,6.21,6.75,4.56,6.42,1504,5.6582,3.96,4.22,1264,4.2282,O:SPY230911P00442000,0.05,0.06,0.01,0.01,21606,0.0195,0.59,0.17,29295,0.2419,440,O:SPY230911C00440000,8.39,8.75,6.57,8.5,360,7.752,6.16,6.12,468,5.8133,O:SPY230911P00440000,0.01,0.06,0.01,0.01,13771,0.0101,0.28,0.07,22475,0.106
2023-09-12,446.95,448.53,445.39,445.99,448.45,67565422.0,2023-09-12,448,O:SPY230912C00448000,0.44,0.82,0.01,0.01,495817,0.3185,1.5,1.23,150344,1.0949,O:SPY230912P00448000,1.46,2.6,0.3,1.86,211415,1.0059,1.21,0.78,113927,1.112,450,O:SPY230912C00450000,0.07,0.14,0.01,0.01,79784,0.0497,0.64,0.4,89681.0,0.4506,O:SPY230912P00450000,3.08,4.5,1.6,4.06,9700,2.9413,2.29,1.93,11776.0,2.274,452,O:SPY230912C00452000,0.02,0.04,0.01,0.01,11916.0,0.0136,0.21,0.08,38516.0,0.1014,O:SPY230912P00452000,4.99,6.47,3.6,5.98,1299.0,4.7987,3.74,3.7,2378.0,4.6197,454,O:SPY230912C00454000,0.01,0.01,0.01,0.01,654.0,0.01,0.05,0.02,6302.0,0.0307,O:SPY230912P00454000,7.1,7.93,5.61,7.85,2852.0,7.1961,5.68,5.65,2194.0,5.6485,456,O:SPY230912C00456000,0.01,0.01,0.01,0.01,232.0,0.01,0.01,0.01,1022.0,0.0132,O:SPY230912P00456000,8.37,9.98,8.18,9.98,93.0,8.7982,8.55,7.69,25.0,8.4616,458,O:SPY230912C00458000,0.01,0.01,0.01,0.01,1408.0,0.01,0.01,0.01,1322.0,0.01,O:SPY230912P00458000,11.1,11.86,10.52,11.86,28.0,11.7679,10.95,9.56,38.0,9.9461,446,O:SPY230912C00446000,1.36,2.51,0.08,0.2,300336,0.6155,2.84,2.68,21828,2.2108,O:SPY230912P00446000,0.47,0.69,0.03,0.06,510284,0.3078,0.57,0.25,100045,0.6587,444,O:SPY230912C00444000,3.06,4.41,1.44,2.17,5224,2.4477,4.7,4.69,1375,4.1482,O:SPY230912P00444000,0.12,0.14,0.01,0.01,77451,0.0534,0.26,0.08,34178,0.2189,442,O:SPY230912C00442000,4.89,6.39,3.51,4.32,903,4.7929,6.1,6.6,412,5.8028,O:SPY230912P00442000,0.05,0.05,0.01,0.01,9557,0.0197,0.12,0.04,9590,0.0977
2023-09-13,446.22,447.71,445.0793,446.51,445.99,60123672.0,2023-09-13,446,O:SPY230913C00446000,1.19,1.81,0.12,0.75,280768,0.7746,2.15,1.56,62981,1.7347,O:SPY230913P00446000,0.92,1.38,0.01,0.01,607426,0.4497,1.2,1.33,133949,1.2173,448,O:SPY230913C00448000,0.4,0.7,0.01,0.01,397306,0.2621,1.12,0.69,119060.0,1.1478,O:SPY230913P00448000,2.28,3.0,0.64,1.22,126110,1.1781,2.12,2.44,57765.0,1.9015,450,O:SPY230913C00450000,0.1,0.17,0.01,0.01,101874.0,0.0603,0.49,0.24,58117.0,0.3801,O:SPY230913P00450000,3.84,4.88,2.45,3.21,9119.0,3.2195,3.56,3.95,4836.0,3.2077,452,O:SPY230913C00452000,0.03,0.03,0.01,0.01,8797.0,0.0141,0.17,0.06,28342.0,0.1195,O:SPY230913P00452000,5.6,6.52,4.35,5.95,742.0,5.3299,5.27,5.85,1440.0,4.9779,454,O:SPY230913C00454000,0.01,0.01,0.01,0.01,967.0,0.01,0.06,0.02,6195.0,0.0491,O:SPY230913P00454000,7.25,8.52,6.49,7.84,1467.0,7.11,7.18,7.73,188.0,6.1024,456,O:SPY230913C00456000,0.01,0.01,0.01,0.01,727.0,0.01,0.01,0.01,2066.0,0.0211,O:SPY230913P00456000,8.97,10.24,8.51,8.74,93.0,9.3694,8.83,9.87,72.0,9.7133,444,O:SPY230913C00444000,2.5,3.66,1.43,2.78,10174,2.2638,3.52,2.86,5160,2.9473,O:SPY230913P00444000,0.35,0.44,0.01,0.01,182257,0.1702,0.58,0.64,39170,0.6155,442,O:SPY230913C00442000,4.32,5.56,3.35,4.36,1002,4.6002,5.7,4.4,558,5.3816,O:SPY230913P00442000,0.12,0.14,0.01,0.01,38611,0.0465,0.28,0.28,23126,0.2764,440,O:SPY230913C00440000,6.1,7.5,5.2,6.68,1211,6.4126,6.83,6.35,6474,7.6161,O:SPY230913P00440000,0.05,0.05,0.01,0.01,20540,0.0197,0.13,0.12,44075,0.1206
2023-09-14,449.07,451.08,447.715,450.36,446.51,83133514.0,2023-09-14,447,O:SPY230914C00447000,2.29,4.2,1.23,3.77,35085,2.1478,1.24,1.06,137811,1.2795,O:SPY230914P00447000,0.27,0.49,0.01,0.01,275071,0.226,1.91,1.16,137996,1.3082,449,O:SPY230914C00449000,0.87,2.09,0.31,1.81,303175,0.7938,0.59,0.34,36885.0,0.4921,O:SPY230914P00449000,0.82,1.58,0.01,0.01,485998,0.4636,3.15,2.4,11169.0,2.4277,451,O:SPY230914C00451000,0.16,0.36,0.01,0.03,316104.0,0.1651,0.24,0.09,38761.0,0.1201,O:SPY230914P00451000,2.07,3.3,0.21,0.21,141985.0,0.8078,5.52,4.1,1941.0,4.1671,453,O:SPY230914C00453000,0.02,0.04,0.01,0.01,24261.0,0.0152,0.08,0.01,12519.0,0.0386,O:SPY230914P00453000,4.39,5.23,1.97,2.67,1936.0,3.0827,6.45,6.23,1801.0,6.4168,455,O:SPY230914C00455000,0.01,0.01,0.01,0.01,2661.0,0.01,0.02,0.01,3595.0,0.0137,O:SPY230914P00455000,6.2,6.87,4.02,4.21,1260.0,5.4381,8.45,8.37,63.0,8.7341,457,O:SPY230914C00457000,0.01,0.01,0.01,0.01,366.0,0.01,0.01,0.01,654.0,0.0106,O:SPY230914P00457000,7.76,8.81,6.35,6.35,5604.0,6.8741,10.2,9.81,124.0,9.9373,445,O:SPY230914C00445000,4.16,5.94,2.84,5.75,2924,4.2129,2.45,2.38,28256,2.2528,O:SPY230914P00445000,0.08,0.13,0.01,0.01,62582,0.0568,1.02,0.45,122559,0.7418,443,O:SPY230914C00443000,6.22,7.97,4.77,7.44,684,6.2818,3.29,4.06,1173,3.633,O:SPY230914P00443000,0.04,0.07,0.01,0.01,19565,0.0232,0.51,0.15,33708,0.3309,441,O:SPY230914C00441000,8.19,9.9,6.77,9.33,429,7.7006,6.13,6.02,852,5.8305,O:SPY230914P00441000,0.02,0.08,0.01,0.01,10117,0.015,0.26,0.05,12345,0.1383
2023-09-15,447.14,447.48,442.92,443.37,450.36,111798734.0,2023-09-15,450,O:SPY230915C00450000,0.15,0.21,0.01,0.01,107879,0.0665,0.57,0.87,258919,0.7188,O:SPY230915P00450000,2.97,7.0,2.48,6.63,15336,4.0314,3.0,1.41,122367,2.0414,452,O:SPY230915C00452000,0.02,0.06,0.01,0.01,16145,0.0199,0.16,0.22,63849.0,0.2094,O:SPY230915P00452000,4.81,8.89,4.7,8.69,1248,6.2031,5.08,2.9,4869.0,3.6112,454,O:SPY230915C00454000,0.02,0.02,0.01,0.01,8316.0,0.0103,0.05,0.06,21533.0,0.065,O:SPY230915P00454000,6.78,10.86,6.54,10.51,991.0,7.7712,6.82,4.81,1748.0,5.1721,456,O:SPY230915C00456000,0.01,0.02,0.01,0.01,2898.0,0.01,0.02,0.03,4505.0,0.0231,O:SPY230915P00456000,8.7,12.69,8.7,12.69,104.0,10.4743,8.85,7.31,99.0,7.8234,458,O:SPY230915C00458000,0.01,0.01,0.01,0.01,116.0,0.01,0.01,0.02,2267.0,0.0107,O:SPY230915P00458000,11.5,14.67,11.2,14.17,123.0,14.5361,10.7,9.19,2223.0,9.8624,460,O:SPY230915C00460000,0.01,0.03,0.01,0.01,207.0,0.0103,0.01,0.01,4690.0,0.0101,O:SPY230915P00460000,12.57,16.73,12.57,16.7,180.0,15.1915,12.79,10.76,194.0,11.8461,448,O:SPY230915C00448000,0.61,1.25,0.01,0.01,279811,0.256,1.61,2.85,132819,1.823,O:SPY230915P00448000,1.42,5.0,1.28,4.35,51760,2.0947,1.48,0.55,142513,1.3466,446,O:SPY230915C00446000,1.74,2.04,0.01,0.01,318925,0.4899,3.26,4.91,63752,4.3224,O:SPY230915P00446000,0.55,3.0,0.41,2.3,239977,0.9976,0.82,0.2,78515,0.6514,444,O:SPY230915C00444000,3.36,4.2,0.01,0.01,295486,0.4685,5.11,6.94,72625,6.4134,O:SPY230915P00444000,0.19,1.25,0.1,0.35,361849,0.5008,0.45,0.1,39481,0.2964
2023-09-18,443.05,444.97,442.56,443.63,443.37,55752213.0,2023-09-18,443,O:SPY230918C00443000,0.98,2.06,0.3,0.85,203430,0.9901,4.57,1.54,36581,1.5965,O:SPY230918P00443000,0.91,1.14,0.01,0.01,483248,0.3521,0.27,0.77,92593,0.8366,445,O:SPY230918C00445000,0.23,0.5,0.01,0.01,308161,0.2296,2.94,0.56,119025.0,1.0787,O:SPY230918P00445000,2.14,2.55,0.54,1.1,146966,0.9474,0.65,1.77,84241.0,1.2511,447,O:SPY230918C00447000,0.04,0.05,0.01,0.01,71008.0,0.0284,1.63,0.13,118684.0,0.6838,O:SPY230918P00447000,3.98,4.42,2.09,3.18,4439.0,2.918,1.32,3.33,32802.0,1.9239,449,O:SPY230918C00449000,0.02,0.02,0.01,0.01,13496.0,0.0151,0.75,0.03,41610.0,0.2801,O:SPY230918P00449000,5.96,6.44,4.19,5.32,2409.0,5.2947,2.42,5.44,5593.0,2.9904,451,O:SPY230918C00451000,0.01,0.01,0.01,0.01,1880.0,0.01,0.26,0.02,23592.0,0.0964,O:SPY230918P00451000,7.43,8.18,6.26,6.85,6363.0,7.2766,3.99,7.92,1505.0,5.2325,453,O:SPY230918C00453000,0.01,0.01,0.01,0.01,1568.0,0.01,0.07,0.02,5558.0,0.0393,O:SPY230918P00453000,10.11,10.11,8.29,9.47,58.0,8.9924,5.73,9.4,131.0,7.6218,441,O:SPY230918C00441000,2.31,3.94,1.97,2.7,5408,2.7286,6.47,2.99,935,3.2836,O:SPY230918P00441000,0.29,0.39,0.01,0.01,157530,0.1472,0.15,0.27,27447,0.335,439,O:SPY230918C00439000,3.97,5.95,3.75,4.72,1136,4.5681,7.23,4.75,166,4.9581,O:SPY230918P00439000,0.08,0.11,0.01,0.01,36095,0.0469,0.09,0.09,18171,0.1299,437,O:SPY230918C00437000,6.09,7.78,5.65,6.25,31,6.4161,10.15,6.59,22,7.7305,O:SPY230918P00437000,0.03,0.03,0.01,0.01,5501,0.0155,0.06,0.04,7687,0.0613
