Column,Type,Description
date,object,Trading date in YYYY-MM-DD format
spy_open,float64,SPY opening price for the day
spy_high,float64,SPY highest price for the day
spy_low,float64,SPY lowest price for the day
spy_close,float64,SPY closing price for the day
spy_close_prev_day,float64,SPY previous day closing price
spy_volume,float64,SPY trading volume for the day
expiration_date,object,Option expiration date
atm_strike,int64,Strike price for atm
atm_call_ticker,object,Option ticker symbol for atm call
atm_call_open,float64,Open price for atm call option
atm_call_high,float64,High price for atm call option
atm_call_low,float64,Low price for atm call option
atm_call_close,float64,Close price for atm call option
atm_call_volume,int64,Trading volume for atm call option
atm_call_vwap,float64,Volume-weighted average price for atm call option
atm_call_prev_open,float64,Previous day open for atm call option
atm_call_prev_close,float64,Previous day close for atm call option
atm_call_prev_volume,int64,Previous day volume for atm call option
atm_call_prev_vwap,float64,Previous day vwap for atm call option
atm_put_ticker,object,Option ticker symbol for atm put
atm_put_open,float64,Open price for atm put option
atm_put_high,float64,High price for atm put option
atm_put_low,float64,Low price for atm put option
atm_put_close,float64,Close price for atm put option
atm_put_volume,int64,Trading volume for atm put option
atm_put_vwap,float64,Volume-weighted average price for atm put option
atm_put_prev_open,float64,Previous day open for atm put option
atm_put_prev_close,float64,Previous day close for atm put option
atm_put_prev_volume,int64,Previous day volume for atm put option
atm_put_prev_vwap,float64,Previous day vwap for atm put option
plus_1_strike,int64,Strike price for plus_1
plus_1_call_ticker,object,Option ticker symbol for plus_1 call
plus_1_call_open,float64,Open price for plus_1 call option
plus_1_call_high,float64,High price for plus_1 call option
plus_1_call_low,float64,Low price for plus_1 call option
plus_1_call_close,float64,Close price for plus_1 call option
plus_1_call_volume,int64,Trading volume for plus_1 call option
plus_1_call_vwap,float64,Volume-weighted average price for plus_1 call option
plus_1_call_prev_open,float64,Previous day open for plus_1 call option
plus_1_call_prev_close,float64,Previous day close for plus_1 call option
plus_1_call_prev_volume,float64,Previous day volume for plus_1 call option
plus_1_call_prev_vwap,float64,Previous day vwap for plus_1 call option
plus_1_put_ticker,object,Option ticker symbol for plus_1 put
plus_1_put_open,float64,Open price for plus_1 put option
plus_1_put_high,float64,High price for plus_1 put option
plus_1_put_low,float64,Low price for plus_1 put option
plus_1_put_close,float64,Close price for plus_1 put option
plus_1_put_volume,int64,Trading volume for plus_1 put option
