date,spy_open,spy_high,spy_low,spy_close,spy_close_prev_day,spy_volume,expiration_date,minus_3_strike,minus_2_strike,minus_1_strike,atm_strike,plus_1_strike,plus_2_strike,plus_3_strike,plus_4_strike,plus_5_strike,minus_3_call_ticker,minus_2_call_ticker,minus_1_call_ticker,atm_call_ticker,plus_1_call_ticker,plus_2_call_ticker,plus_3_call_ticker,plus_4_call_ticker,plus_5_call_ticker,minus_3_call_open,minus_2_call_open,minus_1_call_open,atm_call_open,plus_1_call_open,plus_2_call_open,plus_3_call_open,plus_4_call_open,plus_5_call_open,minus_3_call_high,minus_2_call_high,minus_1_call_high,atm_call_high,plus_1_call_high,plus_2_call_high,plus_3_call_high,plus_4_call_high,plus_5_call_high,minus_3_call_low,minus_2_call_low,minus_1_call_low,atm_call_low,plus_1_call_low,plus_2_call_low,plus_3_call_low,plus_4_call_low,plus_5_call_low,minus_3_call_close,minus_2_call_close,minus_1_call_close,atm_call_close,plus_1_call_close,plus_2_call_close,plus_3_call_close,plus_4_call_close,plus_5_call_close,minus_3_call_volume,minus_2_call_volume,minus_1_call_volume,atm_call_volume,plus_1_call_volume,plus_2_call_volume,plus_3_call_volume,plus_4_call_volume,plus_5_call_volume,minus_3_call_vwap,minus_2_call_vwap,minus_1_call_vwap,atm_call_vwap,plus_1_call_vwap,plus_2_call_vwap,plus_3_call_vwap,plus_4_call_vwap,plus_5_call_vwap,minus_3_call_prev_open,minus_2_call_prev_open,minus_1_call_prev_open,atm_call_prev_open,plus_1_call_prev_open,plus_2_call_prev_open,plus_3_call_prev_open,plus_4_call_prev_open,plus_5_call_prev_open,minus_3_call_prev_close,minus_2_call_prev_close,minus_1_call_prev_close,atm_call_prev_close,plus_1_call_prev_close,plus_2_call_prev_close,plus_3_call_prev_close,plus_4_call_prev_close,plus_5_call_prev_close,minus_3_call_prev_volume,minus_2_call_prev_volume,minus_1_call_prev_volume,atm_call_prev_volume,plus_1_call_prev_volume,plus_2_call_prev_volume,plus_3_call_prev_volume,plus_4_call_prev_volume,plus_5_call_prev_volume,minus_3_call_prev_vwap,minus_2_call_prev_vwap,minus_1_call_prev_vwap,atm_call_prev_vwap,plus_1_call_prev_vwap,plus_2_call_prev_vwap,plus_3_call_prev_vwap,plus_4_call_prev_vwap,plus_5_call_prev_vwap,minus_3_put_ticker,minus_2_put_ticker,minus_1_put_ticker,atm_put_ticker,plus_1_put_ticker,plus_2_put_ticker,plus_3_put_ticker,plus_4_put_ticker,plus_5_put_ticker,minus_3_put_open,minus_2_put_open,minus_1_put_open,atm_put_open,plus_1_put_open,plus_2_put_open,plus_3_put_open,plus_4_put_open,plus_5_put_open,minus_3_put_high,minus_2_put_high,minus_1_put_high,atm_put_high,plus_1_put_high,plus_2_put_high,plus_3_put_high,plus_4_put_high,plus_5_put_high,minus_3_put_low,minus_2_put_low,minus_1_put_low,atm_put_low,plus_1_put_low,plus_2_put_low,plus_3_put_low,plus_4_put_low,plus_5_put_low,minus_3_put_close,minus_2_put_close,minus_1_put_close,atm_put_close,plus_1_put_close,plus_2_put_close,plus_3_put_close,plus_4_put_close,plus_5_put_close,minus_3_put_volume,minus_2_put_volume,minus_1_put_volume,atm_put_volume,plus_1_put_volume,plus_2_put_volume,plus_3_put_volume,plus_4_put_volume,plus_5_put_volume,minus_3_put_vwap,minus_2_put_vwap,minus_1_put_vwap,atm_put_vwap,plus_1_put_vwap,plus_2_put_vwap,plus_3_put_vwap,plus_4_put_vwap,plus_5_put_vwap,minus_3_put_prev_open,minus_2_put_prev_open,minus_1_put_prev_open,atm_put_prev_open,plus_1_put_prev_open,plus_2_put_prev_open,plus_3_put_prev_open,plus_4_put_prev_open,plus_5_put_prev_open,minus_3_put_prev_close,minus_2_put_prev_close,minus_1_put_prev_close,atm_put_prev_close,plus_1_put_prev_close,plus_2_put_prev_close,plus_3_put_prev_close,plus_4_put_prev_close,plus_5_put_prev_close,minus_3_put_prev_volume,minus_2_put_prev_volume,minus_1_put_prev_volume,atm_put_prev_volume,plus_1_put_prev_volume,plus_2_put_prev_volume,plus_3_put_prev_volume,plus_4_put_prev_volume,plus_5_put_prev_volume,minus_3_put_prev_vwap,minus_2_put_prev_vwap,minus_1_put_prev_vwap,atm_put_prev_vwap,plus_1_put_prev_vwap,plus_2_put_prev_vwap,plus_3_put_prev_vwap,plus_4_put_prev_vwap,plus_5_put_prev_vwap
2023-09-05,450.73,451.06,449.17,449.24,451.19,54634810.0,2023-09-05,445,447,449,451,453,455,457,459,461,O:SPY230905C00445000,O:SPY230905C00447000,O:SPY230905C00449000,O:SPY230905C00451000,O:SPY230905C00453000,O:SPY230905C00455000,O:SPY230905C00457000,O:SPY230905C00459000,O:SPY230905C00461000,5.75,3.82,2.09,0.82,0.2,0.04,0.01,0.01,0.01,6.05,4.04,2.24,1.0,0.24,0.05,0.05,0.01,0.01,4.14,2.02,0.1,0.01,0.01,0.01,0.01,0.01,0.01,4.14,2.08,0.24,0.01,0.01,0.01,0.01,0.01,0.01,944,4910,103666,378366,74145,15312.0,5895.0,326.0,70.0,4.9947,2.8126,1.1739,0.3166,0.0696,0.0186,0.01,0.01,0.01,8.36,6.84,4.64,3.01,1.78,0.89,0.39,0.13,0.06,6.11,4.27,2.52,1.17,0.37,0.08,0.03,0.01,0.01,1664,990,15822,110229,77197.0,56395.0,14047.0,2463.0,1126.0,6.0139,4.1597,2.3944,1.2673,0.869,0.3698,0.1259,0.0505,0.0268,O:SPY230905P00445000,O:SPY230905P00447000,O:SPY230905P00449000,O:SPY230905P00451000,O:SPY230905P00453000,O:SPY230905P00455000,O:SPY230905P00457000,O:SPY230905P00459000,O:SPY230905P00461000,0.03,0.1,0.34,1.06,2.5,4.34,6.85,8.31,10.73,0.06,0.21,0.78,2.05,3.88,5.8,7.81,9.46,11.58,0.01,0.01,0.01,0.54,1.9,4.0,5.99,8.31,10.09,0.01,0.01,0.01,1.81,3.84,5.8,7.68,8.87,11.17,28645,92001,445545,166802,4435,965.0,7400.0,60.0,11.0,0.0325,0.0839,0.3189,1.0906,3.0483,4.8753,6.8676,8.7728,11.0873,0.12,0.22,0.43,0.9,1.57,2.85,4.17,5.57,8.61,0.06,0.14,0.38,1.06,2.27,3.94,5.86,8.03,10.0,19408,50498,65357,112815,40565.0,5482.0,516.0,20.0,613.0,0.1099,0.2213,0.65,1.2871,2.2739,3.4492,5.8002,7.884,10.0696
2023-09-06,448.4,448.51,443.81,446.22,449.24,70758512.0,2023-09-06,443,445,447,449,451,453,455,457,459,O:SPY230906C00443000,O:SPY230906C00445000,O:SPY230906C00447000,O:SPY230906C00449000,O:SPY230906C00451000,O:SPY230906C00453000,O:SPY230906C00455000,O:SPY230906C00457000,O:SPY230906C00459000,5.33,3.55,1.84,0.66,0.14,0.02,0.01,0.01,0.01,5.46,3.56,1.86,0.7,0.21,0.05,0.04,0.01,0.01,1.18,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.94,1.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12933,274294,332832,152540,42222,15365.0,6803.0,4241.0,106.0,2.2923,0.8,0.3072,0.2463,0.0539,0.0172,0.0104,0.01,0.01,7.18,5.7,4.11,2.48,1.34,0.55,0.18,0.05,0.03,6.17,4.45,2.51,1.2,0.42,0.09,0.03,0.02,0.01,208,873,5259,43082,121702.0,37151.0,16230.0,3075.0,1050.0,7.3892,5.2249,3.1825,1.8174,0.8841,0.2984,0.0861,0.0344,0.0158,O:SPY230906P00443000,O:SPY230906P00445000,O:SPY230906P00447000,O:SPY230906P00449000,O:SPY230906P00451000,O:SPY230906P00453000,O:SPY230906P00455000,O:SPY230906P00457000,O:SPY230906P00459000,0.04,0.12,0.42,1.25,2.7,4.49,6.62,9.21,12.81,0.37,1.52,3.17,5.13,7.11,9.12,10.86,11.04,14.16,0.01,0.01,0.37,1.14,2.65,4.49,6.62,8.98,12.81,0.01,0.01,0.98,2.97,5.1,7.04,9.16,11.04,14.16,151628,442445,250655,33285,4063,4517.0,945.0,13.0,5.0,0.1075,0.3829,0.9521,2.0358,4.1496,7.158,7.3796,10.0415,13.332,0.09,0.15,0.34,0.75,1.54,2.78,4.49,6.45,8.43,0.04,0.09,0.33,0.94,2.12,3.92,5.77,6.79,9.79,6547,40510,33463,116760,48637.0,8418.0,939.0,293.0,1609.0,0.0551,0.1309,0.3328,0.866,1.7027,3.1918,5.1541,7.0848,8.583
2023-09-07,443.11,445.55,442.75,444.85,446.22,70348426.0,2023-09-07,440,442,444,446,448,450,452,454,456,O:SPY230907C00440000,O:SPY230907C00442000,O:SPY230907C00444000,O:SPY230907C00446000,O:SPY230907C00448000,O:SPY230907C00450000,O:SPY230907C00452000,O:SPY230907C00454000,O:SPY230907C00456000,3.29,1.7,0.67,0.18,0.02,0.02,0.01,0.01,0.01,5.26,3.35,1.45,0.35,0.09,0.03,0.01,0.01,0.01,2.98,1.36,0.4,0.01,0.01,0.01,0.01,0.01,0.01,4.7,2.78,0.95,0.01,0.01,0.01,0.01,0.01,0.01,7256,19628,414231,251903,37079,18330.0,1659.0,761.0,159.0,4.1149,2.0901,0.9055,0.1558,0.0318,0.0108,0.01,0.01,0.01,8.15,5.9,4.36,3.22,1.78,0.81,0.29,0.09,0.03,6.35,4.49,2.6,1.24,0.41,0.09,0.02,0.01,0.01,724,799,23665,136137,80976.0,41140.0,13443.0,3960.0,3709.0,5.9736,3.6531,2.0717,1.1996,0.7016,0.2685,0.093,0.0435,0.0161,O:SPY230907P00440000,O:SPY230907P00442000,O:SPY230907P00444000,O:SPY230907P00446000,O:SPY230907P00448000,O:SPY230907P00450000,O:SPY230907P00452000,O:SPY230907P00454000,,0.21,0.58,1.51,3.0,4.92,6.81,8.25,11.0,,0.25,0.75,1.76,3.33,5.25,7.18,9.2,11.0,,0.01,0.01,0.01,0.56,2.58,4.62,6.75,8.85,,0.01,0.01,0.01,1.15,3.19,5.95,7.18,8.85,,89253,239662,483038,83249,4141,1862.0,1804.0,19.0,,0.1054,0.3011,0.5037,1.4935,3.8527,5.8514,7.1812,9.6621,,0.06,0.11,0.23,0.55,1.18,2.22,4.21,6.0,,0.05,0.11,0.35,0.98,2.18,4.0,6.05,7.9,,16499,27670,87066,123384,48117.0,5833.0,501.0,117.0,,0.1151,0.2476,0.7041,1.1841,1.9397,3.202,6.0114,7.7184,
2023-09-08,444.9,447.11,444.53,445.52,444.85,62068437.0,2023-09-08,439,441,443,445,447,449,451,453,455,O:SPY230908C00439000,O:SPY230908C00441000,O:SPY230908C00443000,O:SPY230908C00445000,O:SPY230908C00447000,O:SPY230908C00449000,O:SPY230908C00451000,O:SPY230908C00453000,O:SPY230908C00455000,6.21,4.42,2.27,1.0,0.31,0.06,0.01,0.01,0.01,8.01,6.1,4.12,2.27,0.84,0.16,0.03,0.01,0.01,5.56,3.58,1.58,0.11,0.01,0.01,0.01,0.01,0.01,6.48,4.9,2.95,0.88,0.01,0.01,0.01,0.01,0.01,982,1575,11243,285627,432061,54868.0,7083.0,732.0,363.0,6.9518,5.168,2.5016,0.8568,0.3824,0.0603,0.0119,0.01,0.01,4.61,2.98,1.69,0.81,0.35,0.11,0.04,0.02,0.01,6.01,4.08,2.48,1.18,0.42,0.1,0.03,0.01,0.01,201,8786,35569,192897,48902.0,34838.0,12795.0,2970.0,1941.0,5.4245,3.3826,2.055,1.1481,0.4416,0.1258,0.0391,0.0142,0.0107,O:SPY230908P00439000,O:SPY230908P00441000,O:SPY230908P00443000,O:SPY230908P00445000,O:SPY230908P00447000,O:SPY230908P00449000,O:SPY230908P00451000,O:SPY230908P00453000,O:SPY230908P00455000,0.04,0.12,0.39,1.1,2.37,4.25,6.0,7.77,9.03,0.04,0.12,0.41,1.14,2.45,4.45,6.31,8.34,10.36,0.01,0.01,0.01,0.01,0.69,2.1,3.98,5.98,8.05,0.01,0.01,0.01,0.01,0.95,3.12,5.06,8.13,9.72,6566,29689,115111,521721,147633,3682.0,1352.0,1328.0,368.0,0.0151,0.0378,0.0724,0.3426,1.1437,2.942,4.9589,7.4654,8.8316,0.39,0.8,1.48,2.59,4.11,5.85,7.88,9.92,12.11,0.06,0.15,0.45,1.15,2.4,4.05,6.14,8.3,10.0,19809,44198,139967,129853,8517.0,971.0,329.0,520.0,217.0,0.1725,0.5249,1.014,1.4583,2.8815,4.9623,6.684,8.193,10.708
2023-09-11,448.24,448.77,446.4699,448.45,445.52,59977618.0,2023-09-11,440,442,444,446,448,450,452,454,456,O:SPY230911C00440000,O:SPY230911C00442000,O:SPY230911C00444000,O:SPY230911C00446000,O:SPY230911C00448000,O:SPY230911C00450000,O:SPY230911C00452000,O:SPY230911C00454000,O:SPY230911C00456000,8.39,6.21,4.29,2.46,1.03,0.21,0.04,0.02,0.01,8.75,6.75,4.83,2.91,1.33,0.35,0.05,0.02,0.01,6.57,4.56,2.62,0.95,0.17,0.01,0.01,0.01,0.01,8.5,6.42,4.4,2.31,0.36,0.01,0.01,0.01,0.01,360,1504,3695,71150,517497,151996.0,12167.0,1811.0,291.0,7.752,5.6582,3.6663,1.5538,0.4788,0.0973,0.0236,0.0106,0.01,6.16,3.96,2.1,1.1,0.47,0.16,0.05,0.02,0.01,6.12,4.22,2.37,1.07,0.33,0.07,0.02,0.01,0.01,468,1264,20083,143503,61627.0,41447.0,6480.0,5132.0,3792.0,5.8133,4.2282,2.2203,1.2466,0.5639,0.1647,0.0508,0.017,0.0106,O:SPY230911P00440000,O:SPY230911P00442000,O:SPY230911P00444000,O:SPY230911P00446000,O:SPY230911P00448000,O:SPY230911P00450000,O:SPY230911P00452000,O:SPY230911P00454000,O:SPY230911P00456000,0.01,0.05,0.07,0.24,0.76,2.08,3.69,5.49,7.74,0.06,0.06,0.14,0.5,1.7,3.56,5.51,7.41,9.13,0.01,0.01,0.01,0.01,0.01,1.3,3.33,5.31,7.74,0.01,0.01,0.01,0.01,0.02,1.49,3.6,5.64,8.92,13771,21606,72496,266837,374169,13308.0,730.0,7008.0,80.0,0.0101,0.0195,0.0648,0.2649,0.5507,2.1311,4.3855,6.5407,8.6213,0.28,0.59,1.18,2.15,3.51,5.24,6.5,7.75,10.25,0.07,0.17,0.45,1.13,2.34,4.13,6.3,8.9,11.04,22475,29295,79787,117979,9796.0,1592.0,179.0,15.0,12.0,0.106,0.2419,0.6765,1.3097,2.3893,4.4201,6.0342,7.8547,10.5475
2023-09-12,446.95,448.53,445.39,445.99,448.45,67565422.0,2023-09-12,442,444,446,448,450,452,454,456,458,O:SPY230912C00442000,O:SPY230912C00444000,O:SPY230912C00446000,O:SPY230912C00448000,O:SPY230912C00450000,O:SPY230912C00452000,O:SPY230912C00454000,O:SPY230912C00456000,O:SPY230912C00458000,4.89,3.06,1.36,0.44,0.07,0.02,0.01,0.01,0.01,6.39,4.41,2.51,0.82,0.14,0.04,0.01,0.01,0.01,3.51,1.44,0.08,0.01,0.01,0.01,0.01,0.01,0.01,4.32,2.17,0.2,0.01,0.01,0.01,0.01,0.01,0.01,903,5224,300336,495817,79784,11916.0,654.0,232.0,1408.0,4.7929,2.4477,0.6155,0.3185,0.0497,0.0136,0.01,0.01,0.01,6.1,4.7,2.84,1.5,0.64,0.21,0.05,0.01,0.01,6.6,4.69,2.68,1.23,0.4,0.08,0.02,0.01,0.01,412,1375,21828,150344,89681.0,38516.0,6302.0,1022.0,1322.0,5.8028,4.1482,2.2108,1.0949,0.4506,0.1014,0.0307,0.0132,0.01,O:SPY230912P00442000,O:SPY230912P00444000,O:SPY230912P00446000,O:SPY230912P00448000,O:SPY230912P00450000,O:SPY230912P00452000,O:SPY230912P00454000,O:SPY230912P00456000,O:SPY230912P00458000,0.05,0.12,0.47,1.46,3.08,4.99,7.1,8.37,11.1,0.05,0.14,0.69,2.6,4.5,6.47,7.93,9.98,11.86,0.01,0.01,0.03,0.3,1.6,3.6,5.61,8.18,10.52,0.01,0.01,0.06,1.86,4.06,5.98,7.85,9.98,11.86,9557,77451,510284,211415,9700,1299.0,2852.0,93.0,28.0,0.0197,0.0534,0.3078,1.0059,2.9413,4.7987,7.1961,8.7982,11.7679,0.12,0.26,0.57,1.21,2.29,3.74,5.68,8.55,10.95,0.04,0.08,0.25,0.78,1.93,3.7,5.65,7.69,9.56,9590,34178,100045,113927,11776.0,2378.0,2194.0,25.0,38.0,0.0977,0.2189,0.6587,1.112,2.274,4.6197,5.6485,8.4616,9.9461
2023-09-13,446.22,447.71,445.0793,446.51,445.99,60123672.0,2023-09-13,440,442,444,446,448,450,452,454,456,O:SPY230913C00440000,O:SPY230913C00442000,O:SPY230913C00444000,O:SPY230913C00446000,O:SPY230913C00448000,O:SPY230913C00450000,O:SPY230913C00452000,O:SPY230913C00454000,O:SPY230913C00456000,6.1,4.32,2.5,1.19,0.4,0.1,0.03,0.01,0.01,7.5,5.56,3.66,1.81,0.7,0.17,0.03,0.01,0.01,5.2,3.35,1.43,0.12,0.01,0.01,0.01,0.01,0.01,6.68,4.36,2.78,0.75,0.01,0.01,0.01,0.01,0.01,1211,1002,10174,280768,397306,101874.0,8797.0,967.0,727.0,6.4126,4.6002,2.2638,0.7746,0.2621,0.0603,0.0141,0.01,0.01,6.83,5.7,3.52,2.15,1.12,0.49,0.17,0.06,0.01,6.35,4.4,2.86,1.56,0.69,0.24,0.06,0.02,0.01,6474,558,5160,62981,119060.0,58117.0,28342.0,6195.0,2066.0,7.6161,5.3816,2.9473,1.7347,1.1478,0.3801,0.1195,0.0491,0.0211,O:SPY230913P00440000,O:SPY230913P00442000,O:SPY230913P00444000,O:SPY230913P00446000,O:SPY230913P00448000,O:SPY230913P00450000,O:SPY230913P00452000,O:SPY230913P00454000,O:SPY230913P00456000,0.05,0.12,0.35,0.92,2.28,3.84,5.6,7.25,8.97,0.05,0.14,0.44,1.38,3.0,4.88,6.52,8.52,10.24,0.01,0.01,0.01,0.01,0.64,2.45,4.35,6.49,8.51,0.01,0.01,0.01,0.01,1.22,3.21,5.95,7.84,8.74,20540,38611,182257,607426,126110,9119.0,742.0,1467.0,93.0,0.0197,0.0465,0.1702,0.4497,1.1781,3.2195,5.3299,7.11,9.3694,0.13,0.28,0.58,1.2,2.12,3.56,5.27,7.18,8.83,0.12,0.28,0.64,1.33,2.44,3.95,5.85,7.73,9.87,44075,23126,39170,133949,57765.0,4836.0,1440.0,188.0,72.0,0.1206,0.2764,0.6155,1.2173,1.9015,3.2077,4.9779,6.1024,9.7133
2023-09-14,449.07,451.08,447.715,450.36,446.51,83133514.0,2023-09-14,441,443,445,447,449,451,453,455,457,O:SPY230914C00441000,O:SPY230914C00443000,O:SPY230914C00445000,O:SPY230914C00447000,O:SPY230914C00449000,O:SPY230914C00451000,O:SPY230914C00453000,O:SPY230914C00455000,O:SPY230914C00457000,8.19,6.22,4.16,2.29,0.87,0.16,0.02,0.01,0.01,9.9,7.97,5.94,4.2,2.09,0.36,0.04,0.01,0.01,6.77,4.77,2.84,1.23,0.31,0.01,0.01,0.01,0.01,9.33,7.44,5.75,3.77,1.81,0.03,0.01,0.01,0.01,429,684,2924,35085,303175,316104.0,24261.0,2661.0,366.0,7.7006,6.2818,4.2129,2.1478,0.7938,0.1651,0.0152,0.01,0.01,6.13,3.29,2.45,1.24,0.59,0.24,0.08,0.02,0.01,6.02,4.06,2.38,1.06,0.34,0.09,0.01,0.01,0.01,852,1173,28256,137811,36885.0,38761.0,12519.0,3595.0,654.0,5.8305,3.633,2.2528,1.2795,0.4921,0.1201,0.0386,0.0137,0.0106,O:SPY230914P00441000,O:SPY230914P00443000,O:SPY230914P00445000,O:SPY230914P00447000,O:SPY230914P00449000,O:SPY230914P00451000,O:SPY230914P00453000,O:SPY230914P00455000,O:SPY230914P00457000,0.02,0.04,0.08,0.27,0.82,2.07,4.39,6.2,7.76,0.08,0.07,0.13,0.49,1.58,3.3,5.23,6.87,8.81,0.01,0.01,0.01,0.01,0.01,0.21,1.97,4.02,6.35,0.01,0.01,0.01,0.01,0.01,0.21,2.67,4.21,6.35,10117,19565,62582,275071,485998,141985.0,1936.0,1260.0,5604.0,0.015,0.0232,0.0568,0.226,0.4636,0.8078,3.0827,5.4381,6.8741,0.26,0.51,1.02,1.91,3.15,5.52,6.45,8.45,10.2,0.05,0.15,0.45,1.16,2.4,4.1,6.23,8.37,9.81,12345,33708,122559,137996,11169.0,1941.0,1801.0,63.0,124.0,0.1383,0.3309,0.7418,1.3082,2.4277,4.1671,6.4168,8.7341,9.9373
2023-09-15,447.14,447.48,442.92,443.37,450.36,111798734.0,2023-09-15,444,446,448,450,452,454,456,458,460,O:SPY230915C00444000,O:SPY230915C00446000,O:SPY230915C00448000,O:SPY230915C00450000,O:SPY230915C00452000,O:SPY230915C00454000,O:SPY230915C00456000,O:SPY230915C00458000,O:SPY230915C00460000,3.36,1.74,0.61,0.15,0.02,0.02,0.01,0.01,0.01,4.2,2.04,1.25,0.21,0.06,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,295486,318925,279811,107879,16145,8316.0,2898.0,116.0,207.0,0.4685,0.4899,0.256,0.0665,0.0199,0.0103,0.01,0.01,0.0103,5.11,3.26,1.61,0.57,0.16,0.05,0.02,0.01,0.01,6.94,4.91,2.85,0.87,0.22,0.06,0.03,0.02,0.01,72625,63752,132819,258919,63849.0,21533.0,4505.0,2267.0,4690.0,6.4134,4.3224,1.823,0.7188,0.2094,0.065,0.0231,0.0107,0.0101,O:SPY230915P00444000,O:SPY230915P00446000,O:SPY230915P00448000,O:SPY230915P00450000,O:SPY230915P00452000,O:SPY230915P00454000,O:SPY230915P00456000,O:SPY230915P00458000,O:SPY230915P00460000,0.19,0.55,1.42,2.97,4.81,6.78,8.7,11.5,12.57,1.25,3.0,5.0,7.0,8.89,10.86,12.69,14.67,16.73,0.1,0.41,1.28,2.48,4.7,6.54,8.7,11.2,12.57,0.35,2.3,4.35,6.63,8.69,10.51,12.69,14.17,16.7,361849,239977,51760,15336,1248,991.0,104.0,123.0,180.0,0.5008,0.9976,2.0947,4.0314,6.2031,7.7712,10.4743,14.5361,15.1915,0.45,0.82,1.48,3.0,5.08,6.82,8.85,10.7,12.79,0.1,0.2,0.55,1.41,2.9,4.81,7.31,9.19,10.76,39481,78515,142513,122367,4869.0,1748.0,99.0,2223.0,194.0,0.2964,0.6514,1.3466,2.0414,3.6112,5.1721,7.8234,9.8624,11.8461
2023-09-18,443.05,444.97,442.56,443.63,443.37,55752213.0,2023-09-18,437,439,441,443,445,447,449,451,453,O:SPY230918C00437000,O:SPY230918C00439000,O:SPY230918C00441000,O:SPY230918C00443000,O:SPY230918C00445000,O:SPY230918C00447000,O:SPY230918C00449000,O:SPY230918C00451000,O:SPY230918C00453000,6.09,3.97,2.31,0.98,0.23,0.04,0.02,0.01,0.01,7.78,5.95,3.94,2.06,0.5,0.05,0.02,0.01,0.01,5.65,3.75,1.97,0.3,0.01,0.01,0.01,0.01,0.01,6.25,4.72,2.7,0.85,0.01,0.01,0.01,0.01,0.01,31,1136,5408,203430,308161,71008.0,13496.0,1880.0,1568.0,6.4161,4.5681,2.7286,0.9901,0.2296,0.0284,0.0151,0.01,0.01,10.15,7.23,6.47,4.57,2.94,1.63,0.75,0.26,0.07,6.59,4.75,2.99,1.54,0.56,0.13,0.03,0.02,0.02,22,166,935,36581,119025.0,118684.0,41610.0,23592.0,5558.0,7.7305,4.9581,3.2836,1.5965,1.0787,0.6838,0.2801,0.0964,0.0393,O:SPY230918P00437000,O:SPY230918P00439000,O:SPY230918P00441000,O:SPY230918P00443000,O:SPY230918P00445000,O:SPY230918P00447000,O:SPY230918P00449000,O:SPY230918P00451000,O:SPY230918P00453000,0.03,0.08,0.29,0.91,2.14,3.98,5.96,7.43,10.11,0.03,0.11,0.39,1.14,2.55,4.42,6.44,8.18,10.11,0.01,0.01,0.01,0.01,0.54,2.09,4.19,6.26,8.29,0.01,0.01,0.01,0.01,1.1,3.18,5.32,6.85,9.47,5501,36095,157530,483248,146966,4439.0,2409.0,6363.0,58.0,0.0155,0.0469,0.1472,0.3521,0.9474,2.918,5.2947,7.2766,8.9924,0.06,0.09,0.15,0.27,0.65,1.32,2.42,3.99,5.73,0.04,0.09,0.27,0.77,1.77,3.33,5.44,7.92,9.4,7687,18171,27447,92593,84241.0,32802.0,5593.0,1505.0,131.0,0.0613,0.1299,0.335,0.8366,1.2511,1.9239,2.9904,5.2325,7.6218
